Source,Destination,Number of Tweets
ZA,TR,165.0
BE,ZA,530.0
NL,MC,68.0
EC,NL,65.0
IE,ES,202.0
NG,CO,89.0
PK,CA,1146.0
DE,RU,425.0
PK,BR,104.0
ES,IT,1186.0
FI,IT,95.0
AU,SK,46.0
AU,NG,905.0
KE,VG,59.0
RO,US,961.0
PT,NL,268.0
ID,TW,360.0
VE,IN,1467.0
AR,IN,415.0
PL,NL,665.0
IT,AR,284.0
HK,NZ,680.0
ES,CN,97.0
ES,NG,815.0
DE,JP,2354.0
TR,PK,230.0
CO,CZ,36.0
FR,YT,123.0
ID,DE,624.0
KE,MU,206.0
HK,IS,11.0
TR,CY,42.0
DE,EG,280.0
NP,MY,292.0
IN,FI,138.0
PA,CL,187.0
TN,GB,71.0
GB,CU,538.0
AQ,US,53.0
KR,BN,228.0
JP,CO,347.0
FR,TN,38.0
IN,MU,455.0
BE,MU,12.0
AR,MX,613.0
NL,TR,539.0
JP,BZ,4.0
BM,KE,6.0
MC,TR,573.0
DK,SE,658.0
TZ,KE,642.0
DE,RO,197.0
GR,BE,516.0
AT,JP,83.0
ID,ZW,728.0
FR,TR,200.0
AU,MA,296.0
PK,SG,178.0
HR,KE,3.0
CU,KW,7.0
MM,US,280.0
BE,CL,86.0
IL,FI,79.0
CO,AR,1436.0
MA,ZW,19.0
CA,NO,703.0
ES,CH,1048.0
AT,FI,116.0
SA,OM,280.0
ES,IL,272.0
CU,CA,815.0
IL,MY,401.0
CA,EE,40.0
ZW,AU,321.0
KP,IT,10.0
IN,GH,186.0
PK,NG,508.0
PK,QA,575.0
TW,HK,2569.0
MX,PA,391.0
GR,CH,298.0
TR,CA,624.0
FR,AE,192.0
JP,KW,13.0
CW,US,173.0
IT,EG,350.0
MX,AR,955.0
CN,SI,91.0
MA,FR,458.0
PK,ZA,635.0
MY,TH,340.0
AF,IN,380.0
RU,GR,160.0
SG,GB,611.0
VN,NG,110.0
BE,HR,136.0
JO,EG,75.0
TR,IL,131.0
CA,TR,685.0
GH,KE,168.0
US,MM,516.0
ID,MX,1171.0
CH,BE,1433.0
IL,PL,603.0
VN,MY,288.0
VN,KE,102.0
US,PS,216.0
ID,PH,323.0
DK,AT,74.0
CN,AR,534.0
GB,PG,157.0
ZA,GH,637.0
BE,DK,667.0
ZW,DE,194.0
US,TT,1139.0
CO,CH,296.0
CN,DK,309.0
MY,NO,244.0
HK,ZW,66.0
MX,KE,167.0
AE,BR,22.0
IT,VE,1523.0
HR,CL,3.0
CA,RW,18.0
UG,GB,380.0
PL,IL,53.0
CR,US,316.0
US,TJ,118.0
KR,RU,293.0
GB,BM,581.0
US,SN,117.0
DE,MY,513.0
UG,SE,49.0
TH,DK,56.0
PA,MY,357.0
CN,ZA,1247.0
MX,DK,145.0
DK,DE,694.0
TH,MX,177.0
HK,FR,611.0
AS,US,185.0
CH,BD,112.0
VE,DE,306.0
CO,BE,551.0
MX,GR,88.0
ES,SI,15.0
NG,SG,197.0
CN,CM,78.0
BH,SA,19.0
CG,SS,146.0
GB,MC,1399.0
CU,KE,364.0
DK,IE,101.0
CH,PE,106.0
CF,US,185.0
BS,US,1313.0
HK,IL,272.0
ID,IL,223.0
CN,GH,206.0
AT,AU,531.0
GB,BJ,120.0
HR,AU,71.0
DE,BD,207.0
BH,ES,6.0
TH,PH,273.0
CH,AE,184.0
ID,AE,185.0
DE,PE,97.0
TW,CN,316.0
CA,IL,508.0
AU,MC,147.0
IL,GH,119.0
LB,PR,19.0
DE,TH,750.0
ZA,PG,530.0
CG,SE,135.0
TH,NZ,73.0
PH,ZA,305.0
NG,KW,121.0
RW,FR,19.0
PR,CA,358.0
VG,CL,66.0
PT,IT,265.0
TZ,UG,126.0
AU,DK,411.0
NO,IE,36.0
CO,DO,450.0
AT,TR,92.0
KR,GR,545.0
KR,NG,144.0
PH,AE,200.0
AR,ES,529.0
NZ,MY,213.0
RS,IT,190.0
PL,CH,334.0
ES,IQ,40.0
JP,CN,674.0
RS,US,1180.0
CN,NP,502.0
UM,IN,4.0
CO,BR,825.0
DK,NG,114.0
GB,SK,396.0
CZ,ES,204.0
CZ,CO,558.0
BE,FR,1840.0
AR,UY,216.0
TR,AS,44.0
IL,ID,382.0
PH,NL,49.0
IQ,SA,188.0
PR,DE,63.0
OM,KW,41.0
KR,MU,116.0
GB,JO,482.0
PA,CH,452.0
GB,EC,294.0
CA,RS,494.0
PK,SE,132.0
HK,AT,435.0
CA,BE,931.0
UY,MX,213.0
MY,BR,27.0
GR,IN,546.0
CO,IE,225.0
CG,MZ,351.0
FI,GB,481.0
CZ,CA,62.0
BD,DE,107.0
QA,TR,18.0
RU,JP,313.0
KR,BE,26.0
MM,GB,111.0
MY,IT,309.0
RS,HR,87.0
FR,ZM,204.0
SI,GB,229.0
BE,SE,922.0
CH,KE,908.0
SV,CA,132.0
NG,NO,138.0
JE,GB,191.0
JO,IN,79.0
HK,RU,532.0
IN,IQ,511.0
EG,TR,71.0
PL,DK,240.0
TW,AU,366.0
CA,ES,1411.0
ZW,FR,89.0
US,AX,305.0
US,AQ,538.0
DK,IN,966.0
KR,MP,5.0
IQ,QA,7.0
RU,NA,8.0
KE,JO,16.0
JO,KW,27.0
TH,TW,1022.0
SE,NL,408.0
GB,VG,171.0
ES,EC,209.0
OM,SA,1097.0
BE,JP,478.0
IN,FR,2328.0
MX,VE,1216.0
SV,CU,36.0
LB,IQ,448.0
GB,SD,210.0
GB,FI,1286.0
ZA,MU,337.0
IR,PK,44.0
CN,PA,872.0
TR,PL,135.0
US,BJ,642.0
BE,PH,40.0
SG,NL,99.0
DZ,ZA,1.0
KW,UG,86.0
US,VU,365.0
BN,AE,29.0
PL,HK,242.0
AR,PR,84.0
ZA,IL,156.0
ZW,MZ,124.0
ZA,CD,282.0
PH,KE,283.0
CH,RS,171.0
ZA,SA,234.0
FR,SE,256.0
CN,VG,173.0
NL,IT,765.0
AU,PE,198.0
SY,US,238.0
TT,CW,8.0
EG,AU,68.0
NG,BE,59.0
GB,KW,818.0
MZ,ZA,285.0
US,MG,249.0
FR,PA,281.0
KE,AG,8.0
DE,IE,471.0
VN,ZA,222.0
PH,IT,234.0
FR,MA,821.0
DZ,US,59.0
BE,MX,449.0
US,BB,422.0
TW,NL,55.0
PH,AF,1.0
CA,HR,176.0
SG,KR,40.0
DE,BR,457.0
PT,BR,897.0
IT,CU,342.0
ID,FR,86.0
KE,IT,443.0
NL,KE,293.0
GB,NP,756.0
MV,IN,445.0
DM,MX,1.0
US,VC,554.0
HK,BE,683.0
UM,CA,19.0
NL,ZA,555.0
QA,PK,83.0
TJ,US,29.0
NL,PT,414.0
KE,NA,172.0
DE,AR,861.0
IN,AG,184.0
KR,VN,950.0
BE,QA,6.0
QA,IN,411.0
EG,FR,345.0
CN,GR,565.0
TN,SE,3.0
ID,BE,11.0
TW,CA,422.0
CF,ES,13.0
VE,FR,77.0
FI,DE,274.0
MU,US,118.0
BE,CH,1110.0
JP,CH,317.0
CL,VE,226.0
US,TV,405.0
KR,ES,265.0
CH,UG,31.0
NZ,ZA,228.0
FR,AT,152.0
HR,DE,124.0
RS,EG,5.0
PT,DE,421.0
PL,GR,384.0
FR,RE,27.0
MY,PK,61.0
MA,US,822.0
CH,HU,68.0
IL,MA,76.0
PL,TR,50.0
CH,SA,204.0
DK,CH,218.0
IR,IN,67.0
NZ,FR,95.0
ZW,KE,808.0
SD,DE,52.0
MX,TH,211.0
ES,VG,7.0
AU,KR,364.0
LU,PL,1.0
BR,SA,54.0
GB,MZ,229.0
NO,GB,1857.0
ES,CU,426.0
PK,PT,222.0
CO,PL,48.0
NZ,TR,10.0
ZW,CN,101.0
BR,FR,373.0
DE,VE,817.0
DE,IL,591.0
ID,GH,14.0
DE,AE,98.0
CA,SE,1328.0
IL,ZW,36.0
NO,DE,386.0
CN,TL,3.0
AR,VE,371.0
PA,IL,32.0
ZM,FR,3.0
NZ,DK,28.0
MX,PY,301.0
ES,UY,273.0
HK,JE,9.0
NG,CN,293.0
IT,MZ,22.0
GB,JE,606.0
PR,IN,143.0
ZA,UG,524.0
SE,CH,481.0
ID,BR,357.0
NG,PT,995.0
DE,HU,337.0
ID,IN,845.0
IE,DE,426.0
ID,HK,369.0
GB,MV,309.0
GR,UY,15.0
NL,CU,219.0
NG,AE,483.0
IT,LB,211.0
AE,ID,73.0
PK,KR,107.0
MA,CN,5.0
MY,JP,1460.0
HK,AR,397.0
NP,MX,9.0
IE,MX,138.0
CA,AE,391.0
RS,MX,13.0
SD,CA,33.0
US,BW,262.0
US,TF,244.0
ES,TH,45.0
AU,PT,243.0
CZ,DE,409.0
GB,AZ,61.0
PT,NG,643.0
UG,KE,704.0
IL,AE,154.0
NL,AT,196.0
FJ,DE,34.0
MR,US,182.0
IQ,CA,156.0
CF,GB,43.0
DK,AU,502.0
GB,VI,169.0
HK,AE,197.0
CA,UY,60.0
KE,NL,389.0
BE,AE,107.0
DE,CZ,499.0
SG,CA,293.0
AU,RO,327.0
AG,GB,224.0
KW,PK,121.0
HK,RO,95.0
CH,SE,1090.0
NO,AT,52.0
VN,AR,4.0
IN,TL,117.0
FJ,IN,806.0
CN,EG,372.0
CG,PA,5.0
KR,TN,133.0
PE,CL,26.0
NO,TR,143.0
SA,AU,144.0
MY,SG,676.0
CH,ZA,842.0
NG,HK,287.0
AU,CZ,85.0
NL,CO,423.0
PS,CA,734.0
MG,ZM,8.0
ES,PT,375.0
PT,KE,29.0
AT,IN,326.0
GH,SR,1.0
KR,PT,152.0
TL,HK,1.0
EE,US,51.0
DE,RS,494.0
FR,CR,23.0
IN,JO,249.0
FR,IT,1342.0
NG,RU,55.0
LA,TH,58.0
IT,CL,356.0
IN,AT,249.0
CU,BR,474.0
MA,MY,88.0
FR,TW,78.0
PL,IE,126.0
HR,NO,17.0
DK,CZ,16.0
CU,ES,1207.0
MC,AU,79.0
IN,OM,297.0
SG,MX,65.0
BR,GB,1436.0
IN,FJ,24.0
IN,HR,104.0
AU,KH,75.0
TR,JP,337.0
CH,PR,57.0
CH,GH,28.0
TH,NL,106.0
GB,GU,37.0
JP,BD,40.0
MX,RO,30.0
GB,LV,716.0
AU,CU,60.0
IE,NL,104.0
KW,OM,96.0
CU,MZ,608.0
ZA,FR,1037.0
NG,ES,483.0
CL,MY,8.0
TR,EG,120.0
TH,ID,331.0
ID,HR,42.0
TW,PL,173.0
OM,EG,17.0
RU,PL,159.0
KH,TH,38.0
CL,GB,493.0
VN,GB,573.0
KR,FR,247.0
CG,GQ,5.0
ZA,PK,336.0
SE,HK,832.0
NG,PL,178.0
NG,UG,555.0
NZ,NP,71.0
UG,LI,3.0
TR,ZW,219.0
ID,PG,121.0
US,MK,455.0
ZA,SG,103.0
CO,NG,43.0
JP,PK,58.0
MA,NG,8.0
CH,FI,200.0
AU,MU,22.0
PL,SV,1.0
SA,TR,84.0
PH,ID,492.0
MX,EC,275.0
IQ,AU,166.0
NG,TH,100.0
IT,HK,280.0
CA,QA,41.0
PK,ID,282.0
AT,PL,80.0
IT,MX,820.0
NP,IT,22.0
AE,GB,541.0
ES,IE,140.0
CZ,CH,49.0
RO,CA,35.0
RU,ES,97.0
KR,KH,11.0
IT,DK,144.0
IN,BM,62.0
PL,SE,518.0
FJ,PG,183.0
IE,UY,3.0
CA,PG,30.0
SG,IT,209.0
ES,SA,95.0
IE,AU,356.0
MX,IL,139.0
GS,US,173.0
IL,PA,624.0
SE,TH,201.0
CA,VG,35.0
RO,EG,18.0
VC,GB,80.0
MC,ZA,39.0
DK,EC,32.0
TR,IN,669.0
KE,BE,203.0
NZ,PE,7.0
RU,RS,387.0
NG,MY,598.0
BS,HK,13.0
GH,IN,275.0
AU,EG,183.0
PR,AT,14.0
ID,TR,286.0
NO,NZ,78.0
PL,VE,28.0
HK,PA,152.0
AU,LK,132.0
CN,BE,569.0
PR,ES,228.0
SE,IQ,110.0
ES,MA,32.0
CA,RU,279.0
GH,ID,11.0
NG,SK,87.0
IR,US,1027.0
KR,CN,78.0
ZA,TW,114.0
CN,CU,1340.0
GB,CD,62.0
SA,AE,622.0
KZ,CA,22.0
OM,MX,9.0
CG,PR,9.0
NG,AR,304.0
CA,GR,583.0
TR,UY,14.0
MX,VI,10.0
NP,ES,11.0
CH,SD,41.0
QA,AU,13.0
US,BG,313.0
TH,UY,2.0
BR,PR,24.0
ZA,PH,197.0
SE,PL,262.0
PK,FR,291.0
FJ,GB,956.0
IN,CL,64.0
DE,CN,446.0
GB,BH,544.0
ZA,GR,164.0
AU,GR,678.0
CO,NO,588.0
ID,FI,104.0
PH,BE,6.0
NL,NZ,68.0
US,SO,193.0
MR,IN,14.0
IQ,IN,399.0
GB,GF,19.0
SI,IN,217.0
PE,IL,14.0
MX,PL,90.0
CA,TJ,11.0
NA,IN,25.0
ID,GQ,117.0
IT,TC,16.0
MX,NO,174.0
LA,AU,51.0
JP,PL,149.0
ID,JO,7.0
GB,EE,180.0
AU,AE,273.0
EG,CU,80.0
ZW,BD,132.0
CA,BD,185.0
CG,TZ,90.0
EG,GR,104.0
BD,CA,125.0
BA,US,12.0
GB,AG,301.0
HR,MY,14.0
AU,ES,1150.0
CN,PR,209.0
CH,CL,59.0
HK,BD,141.0
PL,RU,55.0
ES,FR,932.0
CN,PE,301.0
ZA,AE,265.0
FR,MC,269.0
GB,PF,391.0
DM,AU,6.0
EG,SI,2.0
PL,ES,215.0
HK,LA,6.0
JE,US,145.0
AR,NG,90.0
BD,KW,6.0
BE,RO,169.0
QA,EG,53.0
CO,ID,218.0
PH,AU,501.0
AR,CO,863.0
MA,IT,123.0
RW,KM,2.0
MY,ES,154.0
IT,TH,333.0
ER,PL,1.0
PA,ZA,34.0
IQ,DJ,88.0
RU,AR,493.0
DK,ZA,163.0
PR,PA,72.0
JP,SE,329.0
TH,HU,45.0
ZW,SA,157.0
TR,CU,147.0
CN,LB,165.0
BD,PH,8.0
IQ,CO,43.0
US,ET,22.0
CU,PE,53.0
VG,IN,32.0
BG,IN,6.0
CO,UY,143.0
PR,ID,234.0
ZA,PR,63.0
DK,GR,130.0
NL,CL,56.0
CU,NZ,56.0
PH,DE,329.0
HK,ML,30.0
RU,CL,46.0
PR,MX,275.0
FR,CU,352.0
SA,NG,459.0
IT,IR,105.0
NP,PK,206.0
AL,US,17.0
TN,CH,32.0
RU,CH,158.0
US,GD,590.0
NO,HK,60.0
PH,BR,37.0
ZA,NZ,210.0
CN,VN,236.0
CA,RO,139.0
DE,GH,127.0
CU,AR,419.0
AZ,IN,28.0
BR,IL,214.0
UG,IN,137.0
KR,RO,285.0
US,OM,489.0
NA,ZA,501.0
IT,AZ,40.0
ID,NO,69.0
DE,IQ,130.0
CM,FR,79.0
IL,CZ,46.0
SE,UG,43.0
KR,CL,62.0
GR,ES,125.0
DK,NO,212.0
LR,IN,8.0
HR,NL,76.0
CO,TR,383.0
PY,CO,29.0
PA,AR,124.0
MP,US,677.0
CA,KR,371.0
DE,MP,29.0
VE,ZW,4.0
BR,BE,128.0
RU,AT,62.0
DE,NZ,304.0
NA,GB,31.0
RU,PK,86.0
BJ,US,142.0
TR,BH,14.0
IL,CL,294.0
NP,FI,14.0
AE,SA,948.0
NL,CW,220.0
MY,PS,172.0
CG,AE,37.0
GB,HR,709.0
PH,KW,69.0
MA,KE,12.0
VE,TH,11.0
CA,PL,572.0
HK,UY,26.0
KE,NZ,36.0
IT,SG,47.0
AT,CA,432.0
US,CG,209.0
LT,KE,4.0
MP,AU,15.0
KE,SG,12.0
GB,TZ,621.0
NG,ZM,54.0
DE,SD,95.0
PK,KE,268.0
MX,MA,34.0
IL,TR,423.0
DK,TR,170.0
NG,BR,128.0
US,ML,304.0
TR,NG,365.0
RW,KE,365.0
KR,BR,163.0
UG,CA,167.0
HK,VN,695.0
JO,TR,21.0
FR,RU,106.0
BR,AU,437.0
CA,CD,19.0
KR,EG,183.0
PL,NG,373.0
VN,ID,352.0
PS,IL,23.0
AT,BE,590.0
PT,FR,105.0
DE,SI,319.0
RU,PA,30.0
FR,DK,61.0
DE,PG,52.0
KE,CM,35.0
MX,IT,618.0
FR,ID,233.0
ES,ZA,203.0
VE,TR,25.0
IN,KZ,17.0
DK,CN,30.0
SV,IL,3.0
ES,TW,42.0
CA,AG,40.0
IQ,CL,9.0
PL,IN,1075.0
KP,VE,403.0
DK,BE,502.0
KR,AU,762.0
NO,ES,81.0
EG,DE,136.0
NL,BR,182.0
US,SS,91.0
CN,BJ,12.0
DK,IT,298.0
US,BZ,151.0
MC,IN,147.0
PH,TW,147.0
NG,PF,18.0
PL,JP,157.0
JP,AR,186.0
RU,SE,116.0
VN,MX,51.0
DK,BD,102.0
MX,CL,462.0
CA,BS,83.0
AT,HR,12.0
CA,TZ,10.0
EC,GB,149.0
MM,EE,1.0
LB,BH,99.0
RU,DE,495.0
PA,UY,25.0
IL,TV,47.0
MX,SG,164.0
ID,RU,277.0
CO,AT,65.0
CL,PH,8.0
ID,CU,45.0
LB,ZA,126.0
ES,RU,119.0
PT,AO,6.0
US,AF,218.0
IT,IE,207.0
PF,BR,8.0
US,GM,83.0
DO,ES,145.0
CL,FR,129.0
CU,JP,592.0
BE,DO,13.0
IL,MZ,53.0
TW,LB,3.0
KR,SE,226.0
MC,BE,18.0
MX,MV,3.0
AE,KW,70.0
AR,CL,220.0
AT,ZA,49.0
GB,CR,102.0
RO,SE,54.0
GB,CM,280.0
KW,QA,65.0
SV,MX,70.0
PS,DE,128.0
IQ,TR,125.0
DE,SG,346.0
DE,AQ,203.0
TW,GB,614.0
CZ,CL,91.0
CN,GI,2.0
JP,SA,52.0
IN,GR,269.0
VE,SE,92.0
FR,PL,83.0
CU,PR,243.0
VE,CN,50.0
SR,CU,20.0
GR,NG,119.0
BE,SK,85.0
IL,DK,467.0
FR,BJ,102.0
PL,TW,56.0
RW,QA,27.0
PR,AU,165.0
NL,EG,56.0
AU,VE,272.0
BE,IQ,74.0
CU,ZA,162.0
AM,DE,18.0
TR,MX,184.0
IT,PL,765.0
KE,TW,50.0
HK,PE,225.0
ZA,CM,66.0
IL,KR,226.0
QA,GB,139.0
PA,DE,144.0
TH,RO,12.0
PK,IQ,134.0
MX,PR,539.0
HK,DK,450.0
RU,MX,636.0
US,AM,211.0
LI,IT,17.0
MP,GB,21.0
ID,MA,54.0
GB,RW,194.0
LB,PK,75.0
SI,SA,1.0
NG,CM,184.0
ES,NP,61.0
US,NI,112.0
AU,GH,125.0
TR,GR,349.0
FR,GR,75.0
ID,NG,53.0
PA,MX,519.0
PE,SE,6.0
TR,PG,225.0
VE,BE,38.0
JP,VN,721.0
VN,GR,33.0
CH,CN,175.0
AE,IR,4.0
CU,GR,97.0
CH,PA,197.0
PL,FI,64.0
CA,PT,425.0
IT,PT,147.0
CG,FR,102.0
NG,CH,299.0
TW,CO,39.0
NO,SE,427.0
SI,MX,15.0
EG,JO,50.0
MV,JP,3.0
SE,GH,26.0
SA,BR,23.0
BG,JP,1.0
JP,SG,504.0
NL,SE,292.0
ZA,SZ,123.0
RW,ZA,364.0
TT,DE,89.0
PF,IT,252.0
BR,MX,352.0
ZA,IE,209.0
PK,EG,154.0
SV,IT,35.0
ID,RO,8.0
NP,NO,10.0
CN,CL,469.0
TW,PH,95.0
IN,VG,67.0
RO,AT,75.0
ZA,IQ,60.0
NG,IL,113.0
BE,PA,73.0
NG,NA,45.0
IN,PR,126.0
KZ,TR,2.0
MC,AE,5.0
GQ,US,29.0
IE,AT,17.0
MY,SA,398.0
PA,CN,70.0
CH,MY,168.0
FR,UY,208.0
CL,DO,171.0
TH,GR,50.0
DK,FI,104.0
CU,BS,220.0
BD,NL,143.0
FR,ZA,372.0
KE,LS,12.0
GR,IT,662.0
KE,RO,11.0
LI,BE,7.0
RS,DE,251.0
IR,IT,56.0
BE,MA,101.0
PK,PL,73.0
DE,TT,256.0
ZW,PH,109.0
GN,US,2.0
NZ,KE,69.0
FI,SE,230.0
NL,AE,32.0
DE,PH,187.0
IN,AZ,196.0
AU,UG,60.0
MA,IN,125.0
AE,JP,82.0
ZW,UG,149.0
ZW,SG,61.0
JP,CU,138.0
IL,UA,17.0
JM,TC,5.0
DE,HR,169.0
IT,RO,125.0
JO,GB,122.0
GR,DE,822.0
DO,PA,75.0
PK,PR,58.0
IR,DE,52.0
AU,CO,1032.0
BR,CA,681.0
PA,IN,345.0
IL,KE,786.0
IN,RO,135.0
IT,MT,5.0
SD,AU,18.0
QA,ZA,21.0
MA,BE,54.0
RS,CA,492.0
KE,HK,279.0
LB,MY,98.0
IN,JM,15.0
PK,BH,112.0
BD,PK,75.0
VE,UY,266.0
IE,NZ,56.0
US,DZ,373.0
ES,TR,437.0
CU,FR,663.0
CZ,PH,3.0
EC,CA,384.0
IN,PE,43.0
NL,NG,358.0
AM,GR,20.0
MX,BR,408.0
CH,MR,2.0
US,KG,107.0
CL,CA,163.0
TN,PS,115.0
FI,EE,31.0
RU,KW,4.0
CA,LB,245.0
AU,AR,198.0
CA,SK,68.0
IL,SA,249.0
ZA,BW,418.0
HR,ID,109.0
CA,CN,428.0
AM,RS,30.0
ZA,AT,83.0
JP,TR,124.0
IL,PE,104.0
AR,ZA,94.0
JO,CA,21.0
AI,US,36.0
JP,DK,224.0
GR,KR,8.0
CH,TW,107.0
SG,ZA,77.0
DO,IN,128.0
ZA,FI,33.0
TR,NO,281.0
CA,KN,33.0
FI,NO,116.0
CA,VI,124.0
NG,IE,233.0
HK,TZ,25.0
IT,NP,45.0
PK,BD,336.0
EG,MA,63.0
BD,SA,36.0
MP,PT,9.0
NP,BD,129.0
TZ,ZA,135.0
EG,MC,11.0
PH,TR,28.0
NO,MY,54.0
ID,BN,205.0
RU,NL,151.0
AU,SG,221.0
PK,AT,59.0
TW,ES,180.0
ID,SK,8.0
CW,VE,7.0
SE,CN,35.0
CG,NA,356.0
AU,TV,62.0
RU,IL,82.0
VA,US,12.0
CH,JO,64.0
RW,MC,2.0
IT,SA,268.0
NZ,DE,306.0
CL,CU,76.0
CA,AL,5.0
US,GF,85.0
IE,ZA,193.0
PS,BJ,1.0
FR,NZ,149.0
CG,DK,73.0
TH,MY,251.0
IE,BE,104.0
CA,ZW,183.0
FI,CA,82.0
CH,SG,32.0
PR,MU,2.0
PH,ES,59.0
DK,RS,118.0
AU,PR,209.0
SK,IN,93.0
TR,BA,257.0
ES,GR,56.0
AU,DJ,15.0
CA,SI,280.0
AT,ES,56.0
SK,AU,16.0
MX,BH,14.0
RO,HK,190.0
GR,SE,125.0
CN,BM,52.0
TH,NO,105.0
GH,FR,10.0
BR,PL,22.0
IT,RS,189.0
IL,PY,46.0
HK,GH,310.0
ID,AR,58.0
NZ,IL,40.0
US,LC,295.0
CL,CO,363.0
CN,NO,390.0
HK,CL,123.0
IN,PL,1149.0
IN,AR,90.0
ES,TZ,4.0
LB,CF,1.0
CA,GH,247.0
NL,BG,64.0
UY,AR,205.0
US,SL,420.0
IL,MX,534.0
ZA,RU,85.0
GR,CA,259.0
IL,EG,260.0
BE,UY,197.0
BR,NL,272.0
AE,CH,13.0
IT,GH,139.0
TR,CO,193.0
CO,AE,48.0
AM,US,212.0
LI,GB,37.0
PS,NG,27.0
GH,SG,3.0
CH,IQ,108.0
SE,KE,130.0
GB,VA,114.0
PR,PH,21.0
KE,PH,192.0
MR,GH,1.0
RW,CG,18.0
ZA,TZ,152.0
GB,TT,100.0
BE,JO,138.0
HK,NO,331.0
SY,IN,464.0
SE,SA,90.0
HR,CA,131.0
MM,NL,13.0
CG,IT,117.0
RS,RU,23.0
VI,GB,43.0
US,AL,276.0
MX,CU,474.0
DE,PA,161.0
EC,DE,30.0
PK,CN,430.0
NZ,BD,39.0
VN,HK,109.0
JP,GR,106.0
GB,SV,46.0
IL,BD,51.0
SV,CO,98.0
PL,AT,159.0
NL,TH,39.0
KR,AZ,55.0
IN,RS,169.0
SA,PS,22.0
PT,ES,79.0
MX,VG,4.0
NZ,CN,68.0
BE,RU,106.0
FR,EC,78.0
KR,NL,117.0
CN,IS,4.0
AT,PT,35.0
DK,GH,4.0
TG,KE,43.0
PH,SE,37.0
SO,TR,12.0
JP,MX,585.0
FI,IN,103.0
CN,MC,328.0
AM,CA,59.0
GH,CA,188.0
RW,NG,89.0
ZW,MX,67.0
ZA,VN,25.0
SN,US,15.0
SK,HR,4.0
BE,MY,281.0
AU,VN,146.0
SY,GR,1.0
MX,JP,371.0
KR,AR,151.0
ZA,BD,41.0
RO,AU,30.0
HK,EG,236.0
TH,LA,180.0
LB,PT,103.0
VI,SA,1.0
CH,PK,147.0
PL,RS,72.0
US,SH,41.0
DE,ZW,73.0
PK,BE,230.0
DM,GB,44.0
CN,IQ,169.0
HK,CU,114.0
US,MD,225.0
FR,CL,190.0
CN,EC,270.0
TR,IQ,97.0
FJ,CA,259.0
AU,FI,282.0
BR,CH,115.0
UG,FR,14.0
GH,AU,78.0
UG,CH,10.0
NZ,ID,70.0
TR,ES,301.0
ZW,EG,69.0
RU,BR,153.0
CN,MV,156.0
KR,AT,58.0
NO,BD,17.0
DE,BG,13.0
VE,PR,208.0
RU,VN,168.0
PH,FR,65.0
IN,CZ,267.0
EG,QA,54.0
IE,MY,23.0
NA,DE,44.0
JP,OM,3.0
SL,GB,15.0
TZ,GB,161.0
IL,NZ,142.0
BE,KE,323.0
ES,BR,382.0
EG,BH,22.0
SK,IT,28.0
PT,CA,216.0
RU,KE,234.0
EG,RS,74.0
SG,MC,33.0
JP,EC,5.0
AR,CU,72.0
RU,CO,333.0
EG,OM,41.0
MC,NG,55.0
NP,DE,94.0
VE,BR,268.0
CZ,PA,40.0
PH,AT,35.0
CU,HK,40.0
IL,PK,237.0
LB,FI,8.0
US,BY,57.0
IL,AT,523.0
AR,AU,100.0
AE,PK,571.0
PH,MX,158.0
SA,DE,136.0
KR,DK,82.0
IE,AE,55.0
CU,UY,204.0
MZ,NO,2.0
MA,BJ,6.0
TR,ME,41.0
CA,SV,32.0
RU,DK,72.0
VG,GB,93.0
ZW,BN,122.0
UG,AU,26.0
ES,DK,96.0
CN,KW,53.0
SG,AU,387.0
NP,IL,26.0
AE,PH,29.0
US,UA,411.0
RS,GB,245.0
FR,HT,49.0
KE,BR,224.0
TH,CO,74.0
JP,IQ,28.0
JO,CO,58.0
MX,RU,73.0
IN,SI,127.0
ZA,TN,142.0
PK,BM,52.0
BR,ZW,23.0
CH,VE,226.0
GB,CF,64.0
IT,SI,110.0
FI,HK,34.0
AU,PA,326.0
KR,SI,90.0
DO,MX,57.0
HU,BE,47.0
CW,CM,9.0
PA,PR,161.0
MC,CL,42.0
CA,CM,69.0
CW,NL,266.0
CM,RW,15.0
NG,SA,208.0
TH,SG,91.0
CA,KW,105.0
AZ,US,113.0
IT,KR,141.0
HT,US,657.0
US,YT,134.0
ZA,BE,235.0
ZW,MU,38.0
AU,RU,210.0
US,LT,233.0
CH,SI,210.0
NL,NP,23.0
NZ,CO,110.0
FR,NA,16.0
TR,NZ,41.0
LR,FI,14.0
CG,CM,121.0
PA,CU,41.0
MX,GH,175.0
BE,FI,353.0
HK,TT,7.0
MX,UM,19.0
PL,MZ,18.0
IN,VN,230.0
CL,SE,33.0
OM,GB,52.0
JP,BR,224.0
KR,RS,47.0
NO,AE,43.0
BH,CL,5.0
MY,AE,83.0
PE,PA,21.0
GR,TR,142.0
ES,RO,42.0
EG,AT,19.0
EC,FR,12.0
DJ,ZW,10.0
RO,ZA,32.0
CN,PG,77.0
VE,CA,602.0
ZA,HK,453.0
US,AS,519.0
CN,IL,123.0
NG,DK,77.0
US,YE,121.0
IL,SN,36.0
NG,QA,51.0
RW,IN,495.0
IN,IS,121.0
JP,AT,129.0
NZ,AT,25.0
TR,SE,352.0
CZ,NO,51.0
AE,FI,1.0
