Source,Destination,Number of Tweets
US,VN,9122.0
KH,US,492.0
CN,CH,368.0
PA,VE,452.0
US,NZ,32837.0
ID,AU,1320.0
CZ,US,1811.0
VG,US,2027.0
HK,IT,2752.0
KR,ZA,306.0
CH,ES,7786.0
ZA,KE,5089.0
AU,ID,10737.0
NZ,IN,2056.0
IN,HK,6717.0
TH,KW,15.0
TW,KE,20.0
IN,SK,100.0
DE,CO,4287.0
CN,BD,192.0
NL,HK,459.0
CO,IN,1908.0
GB,PT,6347.0
ES,CO,5275.0
DJ,US,364.0
DE,AU,2719.0
KE,AU,948.0
FR,BD,39.0
ZA,NL,637.0
PY,FR,10.0
VC,AG,46.0
IN,NG,5364.0
AU,CN,541.0
US,JO,2445.0
AU,ZA,2689.0
ZA,CN,462.0
FR,CO,1182.0
HK,AU,6951.0
DE,BE,5358.0
PK,MY,1857.0
IT,CO,2006.0
KP,US,1124.0
AU,BR,590.0
DE,JO,365.0
IN,NO,762.0
PS,GB,727.0
CN,SA,636.0
IL,IE,254.0
HK,CO,706.0
CU,DE,504.0
AU,EE,68.0
TR,GB,3429.0
ZW,CA,466.0
NG,FR,1139.0
TW,IN,1372.0
MY,NG,1739.0
US,IR,2008.0
IN,CN,2086.0
GB,SI,1018.0
US,PG,1511.0
NZ,GR,16.0
JP,IT,914.0
GB,OM,129.0
GR,US,7340.0
DE,NL,6668.0
GB,UG,2267.0
US,EC,4826.0
IN,IT,3542.0
CA,CL,322.0
GB,AE,2453.0
US,IS,1029.0
NO,AU,3331.0
CO,DE,1999.0
SV,US,1683.0
IR,AU,36.0
US,VG,1182.0
UG,TR,19.0
SA,US,2789.0
CA,FR,3516.0
IN,ZA,4997.0
TR,ID,8742.0
GB,RO,2454.0
GB,BD,1183.0
DE,GR,802.0
ID,ZA,162.0
GB,GR,6811.0
VE,CU,9449.0
FI,US,1837.0
BD,GB,628.0
ZA,IN,4161.0
HK,TW,5267.0
GH,US,3514.0
LB,AR,41.0
PA,US,5022.0
CA,BR,1285.0
AU,IN,15705.0
PH,PK,627.0
NL,CN,176.0
PL,PK,40.0
US,PY,3405.0
VE,AR,879.0
ZW,NG,7532.0
JM,CA,106.0
US,BS,4457.0
US,LY,2285.0
PL,US,17493.0
GR,MX,213.0
KE,ZA,2911.0
ZA,JP,544.0
CN,ID,2025.0
MX,ES,2311.0
ZA,LS,584.0
GB,TH,3958.0
PE,US,953.0
CH,FR,2483.0
HK,ID,2706.0
JP,HK,5068.0
MX,BS,6.0
VE,CL,903.0
US,RW,385.0
IN,DE,7236.0
NG,GR,393.0
ES,BE,504.0
MY,PH,161.0
HR,PH,7.0
IT,FR,1412.0
KW,SA,9475.0
PF,US,217.0
CO,PR,1147.0
DK,US,6028.0
PH,LB,53.0
SA,GB,936.0
FI,MY,132.0
CD,FR,27.0
GB,JM,488.0
PK,GB,7764.0
IN,BE,502.0
TR,FR,433.0
CN,DE,2819.0
IN,TW,778.0
HK,HR,111.0
EC,US,10827.0
NG,AU,564.0
PH,IN,825.0
GB,EG,2597.0
NL,AU,876.0
IN,ES,2405.0
BE,CO,1535.0
MY,KR,958.0
KR,JP,1076.0
ES,ID,81.0
CU,IT,1296.0
GB,HU,633.0
PA,AU,1581.0
US,LV,1515.0
BE,CA,2209.0
CR,GB,23.0
EC,AU,81.0
GB,KR,2156.0
MY,IN,1752.0
CN,MY,2240.0
CU,EG,358.0
HK,MX,823.0
CN,VE,3552.0
US,MV,1504.0
CH,MA,81.0
FR,KE,183.0
JP,PH,850.0
US,RS,6779.0
FJ,US,5063.0
IL,BE,384.0
CN,TH,1206.0
MX,AU,980.0
IN,BD,4577.0
PL,BD,4.0
CA,ID,1643.0
US,LR,504.0
JP,AU,1614.0
IN,PG,885.0
DE,PL,1780.0
IL,IN,7784.0
US,NA,1904.0
GB,CH,10423.0
BE,NL,4216.0
DE,SK,389.0
US,BD,7391.0
FR,NL,916.0
US,AG,2148.0
NZ,PT,10.0
NL,GR,607.0
BN,US,1464.0
PR,VE,115.0
PS,JO,39.0
ZA,DK,131.0
US,TM,226.0
FR,ES,1939.0
IE,GB,9065.0
CN,NL,879.0
IT,GB,9164.0
US,KH,1311.0
FR,CA,4195.0
US,MZ,1446.0
LB,PL,56.0
GB,SO,122.0
DK,GB,3421.0
BR,PT,1086.0
US,UY,3946.0
NL,GB,4837.0
RW,UG,145.0
DE,TN,57.0
CO,VE,12813.0
KE,UG,1657.0
IL,DE,3113.0
VN,TH,299.0
US,UG,8206.0
HK,NG,1777.0
ZA,MX,474.0
CU,LB,13.0
US,ZM,543.0
MY,CH,726.0
IT,RU,599.0
IN,KE,2751.0
US,FI,7684.0
CO,EC,1140.0
KR,DO,45.0
MX,CA,2274.0
ZA,NA,1051.0
CA,TC,42.0
VE,MX,1648.0
IE,US,9355.0
NL,DE,2742.0
CA,PH,4344.0
GB,NO,4364.0
IL,NG,3850.0
BE,SI,242.0
US,CF,368.0
GH,NG,734.0
GB,TW,1233.0
MX,IN,5399.0
ZA,ES,349.0
GB,LB,1487.0
AE,AU,70.0
PA,ES,485.0
CA,JP,2363.0
GB,LR,109.0
IN,PT,513.0
NL,BE,2942.0
US,UM,7100.0
SG,US,6237.0
NL,CA,1469.0
TR,NL,721.0
DE,IN,7402.0
IN,KW,4045.0
IT,ID,3423.0
US,JM,3265.0
ID,IT,499.0
LT,TR,270.0
NG,TR,411.0
GB,TR,5721.0
US,AZ,442.0
BR,IN,557.0
CA,BB,35.0
DE,KE,503.0
ES,MC,87.0
CA,MY,2976.0
VE,CO,7041.0
IQ,JO,197.0
LB,IT,196.0
US,MP,849.0
GB,AT,3086.0
US,VI,7400.0
JP,GB,5090.0
GB,PR,1914.0
RS,IN,222.0
US,DM,778.0
IQ,SD,45.0
AU,PG,739.0
DE,ZA,2761.0
CH,AT,2043.0
CH,AU,3485.0
ES,AU,1391.0
AR,DE,75.0
SA,LB,76.0
ZA,GB,11674.0
CU,EC,774.0
IL,GB,7490.0
ID,CH,289.0
AT,IQ,16.0
TW,ID,145.0
VG,VI,36.0
CG,GB,933.0
MY,GB,5317.0
NO,CA,1125.0
JP,FR,396.0
CA,PK,845.0
DO,VE,77.0
CH,NZ,219.0
HK,TH,3434.0
AR,US,4221.0
DE,DK,971.0
CA,ZA,4669.0
EC,CO,199.0
IN,DK,1579.0
GB,DK,4115.0
TW,IL,15.0
IN,NL,2419.0
HK,MC,202.0
NZ,AU,3193.0
CN,ZW,398.0
TR,SA,172.0
US,TZ,1868.0
VE,CH,32.0
CN,RU,588.0
MX,DE,909.0
HK,BN,48.0
AU,VU,265.0
DE,FI,1283.0
ES,CA,611.0
NL,ID,818.0
ZA,CA,5664.0
KR,HK,1713.0
KR,IT,766.0
MY,ID,2646.0
DE,FR,2804.0
IN,ID,1623.0
GB,BS,447.0
ZW,NO,61.0
CO,KR,53.0
HK,SA,238.0
SA,ID,280.0
CH,DE,19738.0
FR,MX,1442.0
AT,IT,383.0
KR,DE,589.0
LB,JO,232.0
US,AE,11565.0
AU,SA,332.0
KR,PH,2467.0
ZA,MY,1286.0
IR,BR,1795.0
NG,IN,2567.0
CA,PR,594.0
DE,ES,1859.0
IT,ES,1492.0
TT,US,565.0
KR,CO,682.0
CH,IT,2727.0
DE,SE,1585.0
PK,SA,3387.0
AT,CH,1788.0
HK,PH,2622.0
IN,TH,2010.0
NG,MU,390.0
NG,NL,536.0
CA,NG,4895.0
AG,IN,298.0
RS,AT,60.0
SE,CA,1272.0
CA,CU,533.0
VC,US,412.0
SE,AU,728.0
BE,NG,218.0
CZ,VE,3307.0
CN,KR,789.0
IT,BE,1395.0
CO,EG,62.0
ES,PR,492.0
NG,KR,56.0
AU,PK,621.0
IN,NP,3242.0
IQ,IT,167.0
SV,IN,71.0
HK,SI,209.0
IN,LB,368.0
US,MA,3203.0
AU,MY,2478.0
CO,AU,1512.0
VN,US,4619.0
MR,FR,551.0
IL,CH,795.0
NG,ZA,4055.0
RU,ID,230.0
US,DO,5690.0
NG,KE,2248.0
MM,AU,52.0
PL,IT,608.0
DO,CL,402.0
SE,GB,3833.0
ZW,US,6379.0
IN,BH,607.0
IL,IT,4732.0
MX,SE,253.0
IS,US,36.0
AU,NL,2252.0
DE,PK,350.0
HU,US,411.0
NL,CH,758.0
BE,RS,414.0
HK,KR,1315.0
BE,KW,12.0
AU,MX,1522.0
IN,KR,1097.0
CU,MX,2160.0
GR,NL,895.0
LB,CA,762.0
GB,PH,4427.0
IL,JP,807.0
VG,VE,8.0
US,BN,2488.0
KH,CA,64.0
IQ,LB,139.0
TN,SA,79.0
GB,SG,1881.0
BE,IT,5303.0
TH,GB,3671.0
BM,US,984.0
NL,MX,459.0
VE,SV,81.0
CA,MX,3134.0
CA,CO,1480.0
SG,ID,1282.0
FR,BE,817.0
US,GS,1001.0
CN,DO,508.0
ID,TC,149.0
GB,VE,1026.0
US,BH,1103.0
GB,RS,2231.0
PR,GR,29.0
TR,MY,809.0
ID,TL,42.0
TH,JP,2046.0
CG,NG,2556.0
BE,IN,1760.0
AU,PH,1498.0
CN,PL,836.0
UG,ZA,187.0
LB,AU,449.0
CA,CH,2068.0
PR,GB,935.0
AU,AT,1370.0
KE,GB,4621.0
KE,TZ,424.0
CU,IE,197.0
IT,SE,450.0
AU,IT,2195.0
IN,CO,831.0
CN,RS,401.0
PT,US,4962.0
CH,MX,434.0
LB,EG,421.0
CH,GR,1066.0
KR,MY,1124.0
GB,ZW,4103.0
IT,NL,835.0
CO,PA,2553.0
IR,CH,44.0
SD,US,728.0
MX,FI,32.0
US,GU,1664.0
KR,PA,37.0
CA,PS,5.0
TH,VN,165.0
PK,KW,282.0
MC,GB,953.0
TH,RU,59.0
IL,RU,220.0
RS,NO,46.0
PR,JP,69.0
RW,US,920.0
GB,GQ,86.0
PE,VE,185.0
PK,NL,221.0
LB,BD,50.0
MV,BE,1.0
US,LU,352.0
KR,TH,1648.0
GB,VN,720.0
CH,JP,1975.0
PL,LU,12.0
GB,UY,183.0
BE,BR,183.0
GR,AU,257.0
KR,SG,157.0
