URL,num
https://www.ibtimes.sg/a000apq?utm_source=social&utm_medium=twitter&utm_campaign=/north-koreas-first-confirmed-coronavirus-covid-19-patient-shot-dead-report-40042,2783
https://www.soompi.com/article/1480848wpp/ji-chang-wook-tests-positive-for-covid-19,2756
https://bit.ly/3tywbxw,2744
https://bit.ly/3bu5ymb,2725
https://wapo.st/2vusivu,2679
https://bbc.in/2pbbtiv,2676
https://hindi.opindia.com/national/kerala-model-covid-19/,2668
https://bit.ly/2uydreq,2665
https://www.matichon.co.th/covid19/thai-covid19/news_2803102,2604
http://apne.ws/nz0hsbm,2580
https://apnews.com/5d306f8176972692ce700b569b01cd73,2569
https://www.washingtonpost.com/nation/2020/11/03/covid-coronavirus-updates-2/,2548
https://olympics.com/ja/video/sport-combat-coronavirus-president-bach-ioc-who-strengthen-ties,2541
https://news.ch7.com/detail/399728?refid=google,2532
https://trib.al/ulgyep2,2513
https://cnnindonesia.com/nasional/20200314204703-20-483487/istana-menhub-budi-karya-positif-corona?utm_source=twitter&utm_medium=oa&utm_content=cnnindonesia&utm_campaign=cmssocmed,2484
https://www.straitstimes.com/.../sinovac-covid-19-vaccine,2473
https://wapo.st/2vdlefu,2460
https://entertain.naver.com/read?oid=421&aid=0005021907,2451
https://bbc.in/38i1nds,2423
https://f1.com/ausmclaren,2406
https://www.thehindu.com/news/cities/coimbatore/foreigners-in-quarantine-at-isha/article31221606.ece,2383
http://ow.ly/gprc50zjrx0,2371
http://toi.in/3czl8z/a24gk,2347
https://www.newsweek.com/florida-bars-are-shutting-down-again-after-new-positive-coronavirus-cases-1510906?utm_term=autofeed&utm_medium=social&utm_source=twitter#echobox=1592231181,2337
http://tmz.me/lfula7p,2334
https://entertain.naver.com/read?oid=018&aid=0004610638,2333
https://www.bloomberg.com/news/articles/2021-06-29/moderna-s-covid-shot-produces-antibodies-against-delta-variant,2330
https://p.dw.com/p/3zevv,2329
http://bit.ly/2wrjdof,2324
https://nyti.ms/2i92rma,2321
https://www.allkpop.com/article/2020/03/pledis-confirms-minhyun-tested-negative-for-coronavirus,2307
https://cnnindonesia.com/nasional/20200321152024-20-485600/satu-keluarga-di-jatisampurna-bekasi-positif-corona?utm_source=twitter&utm_medium=oa&utm_content=cnnindonesia&utm_campaign=cmssocmed,2296
http://a.msn.com/01/ja-jp/bb12wxii?ocid=st,2295
https://www.freepressjournal.in/india/47000-ventilators-in-70-years-50000-with-pm-cares-bjp-hails-pm-modi-amid-fight-against-coronavirus-pandemic,2287
https://bit.ly/3frmk45,2280
https://jp.reuters.com/article/health-coronavirus-mongolia-idjpkcn20m13m,2269
https://lc.org/newsroom/details/110121-lancet-study-finds-covid-shots-do-not-prevent-transmission,2266
https://hindi.opindia.com/opinion/political-issues/delhi-coronavirus-deaths-reported-by-kejriwal-govt-less-than-figures-from-hospitals/amp/?__twitter_impression=true,2263
https://cbsn.ws/3to56bv,2261
https://www.wsj.com/articles/more-than-1-000-current-and-former-cdc-officers-condemn-u-s-covid-19-response-11602884265,2261
https://www.wwe.com/article/drew-mcintyre-has-tested-positive-for-covid-19,2258
