i,j,contacts,mentions
849588931263832064,2450621492,1,0
1020058453,18965007,1,0
1383272101,800168637109633024,32,0
1045110787,325885589,3,0
111527043,1189494217661407233,6,0
9130702,2786857361,2,0
467571978,1050900986368335873,8,0
918804624303382528,115570410,10,0
1133245400423522304,259289426,1,0
