i,j,count,vi,vj,cij
'US','PA',2415,1617816.0,4481.0,0.001488630010411164
'ZW','NG',2411,8357.0,70751.0,0.030477322141881983
'CH','DE',2409,24498.0,86225.0,0.021756997191188822
'US','VE',2407,1617816.0,13215.0,0.0014757536797277305
'NO','US',2384,11559.0,1617816.0,0.0014631377061756809
'CA','IN',2379,259814.0,259796.0,0.004578433825369026
'TR','US',2312,22031.0,1617816.0,0.0014098876297605812
'GB','GR',2307,714016.0,11427.0,0.0031801257989945452
'DE','AT',2291,86225.0,12430.0,0.023222340479448583
'HK','TW',2261,78856.0,6517.0,0.026483782929029084
'PL','US',2243,12346.0,1617816.0,0.0013759368700779432
'GB','JP',2232,714016.0,40643.0,0.0029576272197111542
'PS','US',2229,2687.0,1617816.0,0.0013754988420262104
'CN','IN',2130,18011.0,259796.0,0.007667193411253136
'ZA','ZW',2122,80877.0,8357.0,0.023780173476477574
'GB','IE',2115,714016.0,11239.0,0.00291621567586573
'SE','US',2097,14655.0,1617816.0,0.0012845557440224053
'US','EG',2058,1617816.0,5224.0,0.0012679909305993691
'IN','AU',2038,259796.0,119320.0,0.005375663385349075
'US','AE',1986,1617816.0,4878.0,0.001223890641119028
'PR','US',1976,16266.0,1617816.0,0.0012092416414843318
'PK','US',1976,14986.0,1617816.0,0.0012101896004536987
'US','AR',1916,1617816.0,4849.0,0.0011807736039170132
'GB','KE',1880,714016.0,30837.0,0.0025239879546702505
'US','GH',1821,1617816.0,5350.0,0.0011218815574007834
'KR','IN',1773,24753.0,259796.0,0.006230912777764111
'NZ','US',1753,9278.0,1617816.0,0.001077380901164899
'GB','GH',1744,714016.0,5350.0,0.002424357003250084
'ZA','KE',1719,80877.0,30837.0,0.015387507384929373
'NG','GB',1681,70751.0,714016.0,0.0021420370632302325
'AU','CA',1628,119320.0,259814.0,0.0042939963179245335
'GB','PK',1608,714016.0,14986.0,0.0022057552654176533
'CA','AU',1595,259814.0,119320.0,0.004206955852020657
'VE','CO',1590,13215.0,53611.0,0.023793134408763055
'FJ','US',1577,2325.0,1617816.0,0.0009733720707024883
'US','DK',1560,1617816.0,6051.0,0.0009606698085495918
'GB','NL',1536,714016.0,42375.0,0.002030695764492174
'US','CU',1523,1617816.0,7869.0,0.0009368358568849439
'ZA','GB',1504,80877.0,714016.0,0.001892078556484961
'IN','NG',1501,259796.0,70751.0,0.0045409578668086535
'HK','CA',1470,78856.0,259814.0,0.004340508459562406
'IN','PK',1457,259796.0,14986.0,0.0053023851635114385
'PL','GB',1447,12346.0,714016.0,0.0019921196318089325
'GB','ID',1431,714016.0,36044.0,0.0019078473722102232
'KW','SA',1420,3949.0,11250.0,0.09342719915783933
'AU','IN',1417,119320.0,259796.0,0.0037376423047299507
'US','IQ',1404,1617816.0,2899.0,0.000866284325128107
'US','IL',1366,1617816.0,9907.0,0.0008392091283344894
'IE','US',1354,11239.0,1617816.0,0.000831156713554791
'US','RU',1338,1617816.0,4298.0,0.0008248495481821869
'LB','US',1329,4512.0,1617816.0,0.0008191931594597393
'DE','IN',1325,86225.0,259796.0,0.0038292473578193232
'GB','NO',1324,714016.0,11559.0,0.0018247596733625055
'IN','NP',1317,259796.0,2542.0,0.005020241063056058
'IE','GB',1315,11239.0,714016.0,0.0018131553729377942
'US','SI',1314,1617816.0,1989.0,0.0008112087566095919
'ES','GB',1312,27634.0,714016.0,0.001769028517494775
'ES','CO',1312,27634.0,53611.0,0.016148686072989107
'US','TW',1252,1617816.0,6517.0,0.000770777913149582
'US','DO',1214,1617816.0,1997.0,0.0007494692288554296
'US','RS',1194,1617816.0,2371.0,0.0007369519691245517
'IT','ID',1186,48194.0,36044.0,0.014079156675134737
'MX','CO',1172,55562.0,53611.0,0.01073525505390527
'DK','HK',1161,6051.0,78856.0,0.013673784258070596
'AU','ID',1156,119320.0,36044.0,0.007440591127931825
'IN','KW',1150,259796.0,3949.0,0.00436027223264896
'CU','US',1148,7869.0,1617816.0,0.0007061638632330371
'CO','ES',1144,53611.0,27634.0,0.014080866514862454
'HK','ID',1132,78856.0,36044.0,0.009852045256744995
'CH','GB',1103,24498.0,714016.0,0.0014935397297816968
'GB','SA',1099,714016.0,11250.0,0.0015153061083795463
'GB','TH',1096,714016.0,18117.0,0.0014969957644307796
'NG','CA',1078,70751.0,259814.0,0.003261083296779756
'CA','ZA',1076,259814.0,80877.0,0.003158287128218826
'BE','GB',1070,16868.0,714016.0,0.0014639806043093022
'HK','MY',1059,78856.0,45204.0,0.008536192165081412
'ZA','IN',1041,80877.0,259796.0,0.003055716185315537
'TH','GB',1039,18117.0,714016.0,0.0014191410577039964
'FR','GB',1035,33733.0,714016.0,0.0013841543084644713
'IN','DE',1034,259796.0,86225.0,0.0029882579381020225
'DE','TR',1007,86225.0,22031.0,0.009302024830032516
'TR','ID',1006,22031.0,36044.0,0.01732242789496341
'US','BM',1002,1617816.0,1834.0,0.0006186521779396783
'US','LB',978,1617816.0,4512.0,0.0006028374040268059
'AU','JP',972,119320.0,40643.0,0.006076405168695261
'EC','US',968,1956.0,1617816.0,0.0005976149729715046
'AT','US',967,12430.0,1617816.0,0.0005931620135856797
'DE','CA',965,86225.0,259814.0,0.0027887030074644765
'CO','MX',965,53611.0,55562.0,0.008839181848991967
'US','UM',953,1617816.0,1161.0,0.0005886433222954989
'IN','JP',947,259796.0,40643.0,0.003152054160744777
'TH','KR',930,18117.0,24753.0,0.021693491952414275
'VE','US',922,13215.0,1617816.0,0.0005652866193223795
'GB','CH',916,714016.0,24498.0,0.0012403285516591426
'CU','VE',910,7869.0,13215.0,0.04316069057104914
'VN','US',898,2866.0,1617816.0,0.00055408772356329
'DE','CO',896,86225.0,53611.0,0.006407505935524471
'US','VI',894,1617816.0,1237.0,0.000552174635419594
'BE','PL',893,16868.0,12346.0,0.03056753611282262
'GR','US',890,11427.0,1617816.0,0.000546265965236616
'GB','AT',884,714016.0,12430.0,0.0012168832920822746
'KE','NG',882,30837.0,70751.0,0.008682127810371304
'PT','US',882,7427.0,1617816.0,0.0005426880780289471
'ID','MY',861,36044.0,45204.0,0.01059718393068137
'TR','DE',848,22031.0,86225.0,0.007833284067395802
'TW','US',837,6517.0,1617816.0,0.0005152884291583068
'GB','NZ',835,714016.0,9278.0,0.0011544406562200157
'ZW','US',835,8357.0,1617816.0,0.0005134755035288373
'BE','IN',832,16868.0,259796.0,0.0030072579012809762
'MY','GB',829,45204.0,714016.0,0.0010919101182792867
'GB','BR',807,714016.0,18534.0,0.0011016312879666918
'US','BD',801,1617816.0,2288.0,0.000494412704369596
'HK','AU',797,78856.0,119320.0,0.004021677700629743
'ID','NL',797,36044.0,42375.0,0.010163353268978182
'CA','PH',792,259814.0,18017.0,0.002850653814729098
'KE','ZA',790,30837.0,80877.0,0.007071629339205471
'CU','CO',788,7869.0,53611.0,0.012817176317501627
'RU','US',774,4298.0,1617816.0,0.0004771551198004579
'DK','US',756,6051.0,1617816.0,0.00046555536875864833
'DE','IT',755,86225.0,48194.0,0.005616765487021924
'US','FI',747,1617816.0,1671.0,0.0004612571758834742
'KR','ID',742,24753.0,36044.0,0.012204549566590457
'CZ','VE',740,1659.0,13215.0,0.04975124378109453
'DE','NL',740,86225.0,42375.0,0.0057542768273716955
'GB','PT',732,714016.0,7427.0,0.001014633172683081
'PA','US',726,4481.0,1617816.0,0.00044751361803664803
'CG','NG',703,2139.0,70751.0,0.009644670050761422
'ID','GB',699,36044.0,714016.0,0.0009319254459643229
'US','ZW',696,1617816.0,8357.0,0.00042799874306116264
'CA','FR',691,259814.0,33733.0,0.002353967167097603
'CA','MY',681,259814.0,45204.0,0.0022326551219928005
'GB','SG',675,714016.0,5384.0,0.0009382819015846538
'NO','AU',675,11559.0,119320.0,0.005157435493853101
'UG','US',673,2749.0,1617816.0,0.0004152872609244307
'BE','DE',673,16868.0,86225.0,0.006528086291018789
'GB','PH',660,714016.0,18017.0,0.0009015986984193335
'HK','DE',659,78856.0,86225.0,0.003991979694816484
'HK','JP',651,78856.0,40643.0,0.005447744332588557
'CN','HK',651,18011.0,78856.0,0.006720554987766731
'IL','IN',647,9907.0,259796.0,0.0023989351249337236
'US','PE',638,1617816.0,1401.0,0.0003940176023349557
'SG','US',638,5384.0,1617816.0,0.00039305076392311486
'PH','MY',634,18017.0,45204.0,0.010028313376884264
'US','UG',633,1617816.0,2749.0,0.00039060451138954623
'KR','TH',633,24753.0,18117.0,0.01476557032890133
'PK','IN',632,14986.0,259796.0,0.002300005094947995
'US','BS',631,1617816.0,1084.0,0.00038977083204645127
'BE','IT',624,16868.0,48194.0,0.009590851802895699
'PK','GB',623,14986.0,714016.0,0.0008545929915144266
'GB','PL',622,714016.0,12346.0,0.0008563223296372882
'US','BN',621,1617816.0,1288.0,0.0003835454671225567
'MX','ID',614,55562.0,36044.0,0.006702617732462939
'PH','CA',614,18017.0,259814.0,0.0022099765684894775
'CA','DE',606,259814.0,86225.0,0.0017512476917341687
'BE','CO',602,16868.0,53611.0,0.008541551384100229
'CA','NG',596,259814.0,70751.0,0.0018029736965498465
'CN','CO',590,18011.0,53611.0,0.0082376923291726
'SA','US',589,11250.0,1617816.0,0.0003615568675547829
'AU','DE',581,119320.0,86225.0,0.002826631637840862
'SA','EG',571,11250.0,5224.0,0.034660677431103556
'ZA','AU',563,80877.0,119320.0,0.0028122299534958065
'HK','PH',558,78856.0,18017.0,0.005760118918584125
'PK','SA',550,14986.0,11250.0,0.020963561518524167
'IN','MY',548,259796.0,45204.0,0.0017967213114754097
'US','VN',543,1617816.0,2866.0,0.00033504413574038584
'KR','GB',539,24753.0,714016.0,0.0007295920646372547
'NG','IN',538,70751.0,259796.0,0.001627605151461063
'MY','ID',532,45204.0,36044.0,0.0065478534856242615
'IT','IN',529,48194.0,259796.0,0.0017175882333842008
'GH','US',528,5350.0,1617816.0,0.0003252902044522865
'GB','AE',521,714016.0,4878.0,0.0007247243682656971
'GB','BE',520,714016.0,16868.0,0.0007114672095708759
'CN','NG',520,18011.0,70751.0,0.005858362812915437
'AR','US',518,4849.0,1617816.0,0.0003192279367583574
'US','AG',511,1617816.0,1065.0,0.00031565013117085196
'ZW','ZA',510,8357.0,80877.0,0.0057153103077302375
'AU','ZA',507,119320.0,80877.0,0.0025325054821001315
'FR','IN',502,33733.0,259796.0,0.0017102228399919598
'CH','IN',500,24498.0,259796.0,0.001758742710011467
'ES','MX',500,27634.0,55562.0,0.006009904322323189
'DE','FR',499,86225.0,33733.0,0.004159789259574184
'CU','IN',492,7869.0,259796.0,0.0018381185437020156
'KE','UG',485,30837.0,2749.0,0.01444054070148276
'US','RO',485,1617816.0,1082.0,0.0002995865088473764
'CH','CA',481,24498.0,259814.0,0.001691803370944596
