Source,Destination,Number of Tweets,All Degree of Source,All Degree of Destination,Vi - Out Degree of Source,Vj - In Degree of Destination,Percentage of Incoming at Destination (Total Tweet / Vj),Percentage of Outgoing From Source (Total Tweet / Vi),Tweets Per Population,Cij (All Degrees),Cij
US,US,1632.0,3592.0,3592.0,1804.0,1788.0,91.2751677852349,90.46563192904657,2.4859894766542177e-06,0.22717149220489977,0.45434298440979953
TR,TR,3.0,8.0,8.0,4.0,4.0,75.0,75.0,1.7979227160523273e-08,0.1875,0.375
GB,GB,240.0,637.0,637.0,324.0,313.0,76.6773162939297,74.07407407407408,1.7954824315410604e-06,0.18838304552590268,0.37676609105180536
IL,IL,3.0,12.0,12.0,7.0,5.0,60.0,42.857142857142854,1.656854406680437e-07,0.125,0.25
AU,AU,70.0,186.0,186.0,88.0,98.0,71.42857142857143,79.54545454545455,1.3798918298852005e-06,0.1881720430107527,0.3763440860215054
CA,CA,76.0,238.0,238.0,107.0,131.0,58.01526717557252,71.02803738317756,1.0109270035681998e-06,0.15966386554621848,0.31932773109243695
IN,IN,12.0,29.0,29.0,13.0,16.0,75.0,92.3076923076923,4.39104364857367e-09,0.20689655172413793,0.41379310344827586
FI,FI,2.0,5.0,5.0,2.0,3.0,66.66666666666666,100.0,1.811491157930509e-07,0.2,0.4
UA,UA,2.0,4.0,4.0,2.0,2.0,100.0,100.0,2.2530055375496606e-08,0.25,0.5
US,AU,20.0,3592.0,186.0,1804.0,98.0,20.408163265306122,1.1086474501108647,5.656047334102688e-08,0.005293806246691371,0.010515247108307046
NO,NO,3.0,8.0,8.0,5.0,3.0,100.0,60.0,2.804841380610244e-07,0.1875,0.375
DE,DE,10.0,28.0,28.0,15.0,13.0,76.92307692307693,66.66666666666666,6.014473300724543e-08,0.17857142857142858,0.35714285714285715
ZA,ZA,31.0,80.0,80.0,42.0,38.0,81.57894736842105,73.80952380952381,2.6469361202098354e-07,0.19375,0.3875
CA,US,29.0,238.0,3592.0,107.0,1788.0,1.6219239373601788,27.102803738317753,7.927205618879881e-08,0.007571801566579634,0.015303430079155673
KE,KE,4.0,11.0,11.0,7.0,4.0,100.0,57.14285714285714,3.8041637066310356e-08,0.18181818181818182,0.36363636363636365
JP,JP,4.0,8.0,8.0,4.0,4.0,100.0,100.0,1.583971086952085e-08,0.25,0.5
NL,NL,4.0,15.0,15.0,5.0,10.0,40.0,80.0,1.153878329299567e-07,0.13333333333333333,0.26666666666666666
ZA,US,8.0,80.0,3592.0,42.0,1788.0,0.44742729306487694,19.047619047619047,2.0682641278669342e-08,0.002178649237472767,0.004371584699453552
PK,PK,2.0,4.0,4.0,2.0,2.0,100.0,100.0,4.617544532222837e-09,0.25,0.5
NG,NG,13.0,30.0,30.0,16.0,14.0,92.85714285714286,81.25,3.2344165970077e-08,0.21666666666666667,0.43333333333333335
NZ,NZ,6.0,17.0,17.0,8.0,9.0,66.66666666666666,75.0,6.101281269066504e-07,0.17647058823529413,0.35294117647058826
GB,US,64.0,637.0,3592.0,324.0,1788.0,3.5794183445190155,19.753086419753085,1.6199499755397678e-07,0.015133601324190116,0.030303030303030304
IE,IE,1.0,5.0,5.0,3.0,2.0,50.0,33.33333333333333,1.0118499774559826e-07,0.1,0.2
US,GB,52.0,3592.0,637.0,1804.0,313.0,16.61341853035144,2.882483370288248,1.3162093551260614e-07,0.012296051075904469,0.02456306093528578
SI,SI,2.0,5.0,5.0,2.0,3.0,66.66666666666666,100.0,4.789395894338264e-07,0.2,0.4
HK,HK,3.0,12.0,12.0,7.0,5.0,60.0,42.857142857142854,1.9980286117697205e-07,0.125,0.25
US,PR,1.0,3592.0,2.0,1804.0,1.0,100.0,0.05543237250554324,3.0171990878029584e-09,0.0002782415136338342,0.000554016620498615
GB,AU,3.0,637.0,186.0,324.0,98.0,3.061224489795918,0.9259259259259258,3.2538415504112466e-08,0.0036452004860267314,0.0071090047393364926
US,ZA,6.0,3592.0,80.0,1804.0,38.0,15.789473684210526,0.3325942350332594,1.5511980959002008e-08,0.0016339869281045752,0.003257328990228013
CH,CH,1.0,7.0,7.0,5.0,2.0,50.0,20.0,5.831018030440713e-08,0.07142857142857142,0.14285714285714285
US,NL,4.0,3592.0,15.0,1804.0,10.0,40.0,0.22172949002217296,1.1574999370681754e-08,0.0011089548100914888,0.002205071664829107
US,SE,3.0,3592.0,8.0,1804.0,6.0,50.0,0.1662971175166297,8.861975371648797e-09,0.0008333333333333334,0.0016574585635359116
CU,CU,1.0,2.0,2.0,1.0,1.0,100.0,100.0,4.411706445406059e-08,0.25,0.5
US,CA,45.0,3592.0,238.0,1804.0,131.0,34.35114503816794,2.494456762749446,1.2300836305158436e-07,0.01174934725848564,0.023255813953488372
MX,AU,1.0,32.0,186.0,16.0,98.0,1.0204081632653061,6.25,6.538518846064409e-09,0.0045871559633027525,0.008771929824561403
NG,US,2.0,30.0,3592.0,16.0,1788.0,0.11185682326621924,12.5,3.779267197898353e-09,0.0005521811154058532,0.0011086474501108647
ID,ID,1.0,3.0,3.0,1.0,2.0,50.0,100.0,1.8475711799706967e-09,0.16666666666666666,0.3333333333333333
US,BG,1.0,3592.0,1.0,1804.0,1.0,100.0,0.05543237250554324,2.983157534069956e-09,0.00027831895352073476,0.000554016620498615
DE,SK,2.0,28.0,3.0,15.0,3.0,66.66666666666666,13.333333333333334,2.257670865723761e-08,0.06451612903225806,0.1111111111111111
ES,ES,2.0,11.0,11.0,3.0,8.0,25.0,66.66666666666666,2.1241894172840747e-08,0.09090909090909091,0.18181818181818182
IL,US,2.0,12.0,3592.0,7.0,1788.0,0.11185682326621924,28.57142857142857,5.9295658360332205e-09,0.0005549389567147614,0.0011142061281337048
AU,US,12.0,186.0,3592.0,88.0,1788.0,0.6711409395973155,13.636363636363635,3.393628400461613e-08,0.0031762837480148226,0.006396588486140725
FR,GB,1.0,10.0,637.0,7.0,313.0,0.3194888178913738,14.285714285714285,7.46857827217907e-09,0.0015455950540958269,0.003125
GB,IN,1.0,637.0,29.0,324.0,16.0,6.25,0.30864197530864196,6.977139324162707e-10,0.0015015015015015015,0.0029411764705882353
US,IT,2.0,3592.0,11.0,1804.0,4.0,50.0,0.11086474501108648,5.147515981615121e-09,0.0005550929780738274,0.0011061946902654867
MX,GB,6.0,32.0,637.0,16.0,313.0,1.9169329073482428,37.5,3.0862620425559115e-08,0.008968609865470852,0.0182370820668693
BM,BM,1.0,3.0,3.0,1.0,2.0,50.0,100.0,7.822522607090335e-06,0.16666666666666666,0.3333333333333333
FR,FR,1.0,10.0,10.0,7.0,3.0,33.33333333333333,14.285714285714285,7.456022107523086e-09,0.05,0.1
VN,VN,1.0,2.0,2.0,1.0,1.0,100.0,100.0,5.183382581342356e-09,0.25,0.5
MX,MX,7.0,32.0,32.0,16.0,16.0,43.75,43.75,2.7434728489348456e-08,0.109375,0.21875
US,ID,1.0,3592.0,3.0,1804.0,2.0,50.0,0.05543237250554324,1.6698251660155626e-09,0.0002781641168289291,0.0005537098560354374
IT,IT,1.0,11.0,11.0,7.0,4.0,25.0,14.285714285714285,8.292232055924935e-09,0.045454545454545456,0.09090909090909091
US,MX,4.0,3592.0,32.0,1804.0,16.0,25.0,0.22172949002217296,8.77548905515301e-09,0.0011037527593818985,0.002197802197802198
PR,US,1.0,2.0,3592.0,1.0,1788.0,0.05592841163310962,100.0,3.0171990878029584e-09,0.0002782415136338342,0.0005589714924538849
US,SA,1.0,3592.0,1.0,1804.0,1.0,100.0,0.05543237250554324,2.758559423001615e-09,0.00027831895352073476,0.000554016620498615
PL,SE,1.0,3.0,8.0,2.0,6.0,16.666666666666664,50.0,2.0722671246819095e-08,0.09090909090909091,0.125
US,GR,1.0,3592.0,2.0,1804.0,1.0,100.0,0.05543237250554324,2.9502367778906424e-09,0.0002782415136338342,0.000554016620498615
PA,PA,1.0,5.0,5.0,2.0,3.0,33.33333333333333,50.0,1.1774571588100053e-07,0.1,0.2
NO,GB,2.0,8.0,637.0,5.0,313.0,0.6389776357827476,40.0,2.7707623230243104e-08,0.0031007751937984496,0.006289308176100629
MK,US,1.0,1.0,3592.0,1.0,1788.0,0.05592841163310962,100.0,3.0273400716635575e-09,0.00027831895352073476,0.0005589714924538849
SE,SE,2.0,8.0,8.0,2.0,6.0,33.33333333333333,100.0,9.722469199946759e-08,0.125,0.25
GB,MX,5.0,637.0,32.0,324.0,16.0,31.25,1.5432098765432098,2.5718850354632597e-08,0.007473841554559043,0.014705882352941176
IL,CA,1.0,12.0,238.0,7.0,131.0,0.7633587786259541,14.285714285714285,2.1439645618094478e-08,0.004,0.007246376811594203
PH,PH,1.0,3.0,3.0,2.0,1.0,100.0,50.0,4.624636093166624e-09,0.16666666666666666,0.3333333333333333
KE,US,3.0,11.0,3592.0,7.0,1788.0,0.16778523489932887,42.857142857142854,7.87787205945033e-09,0.0008326394671107411,0.001671309192200557
CN,HK,1.0,1.0,12.0,1.0,5.0,20.0,100.0,7.116311268593498e-10,0.07692307692307693,0.16666666666666666
ZA,CA,1.0,80.0,238.0,42.0,131.0,0.7633587786259541,2.380952380952381,1.0400682983729628e-08,0.0031446540880503146,0.005780346820809248
FR,US,5.0,10.0,3592.0,7.0,1788.0,0.2796420581655481,71.42857142857143,1.26486401788457e-08,0.00138811771238201,0.002785515320334262
US,FR,1.0,3592.0,10.0,1804.0,3.0,33.33333333333333,0.05543237250554324,2.52972803576914e-09,0.000277623542476402,0.0005534034311012728
US,IN,3.0,3592.0,29.0,1804.0,16.0,18.75,0.1662971175166297,1.770269446640449e-09,0.0008285004142502071,0.0016483516483516484
EC,AU,1.0,4.0,186.0,3.0,98.0,1.0204081632653061,33.33333333333333,2.3398397804069725e-08,0.005263157894736842,0.009900990099009901
GB,CA,5.0,637.0,238.0,324.0,131.0,3.816793893129771,1.5432098765432098,4.788186570770398e-08,0.005714285714285714,0.01098901098901099
NZ,AU,2.0,17.0,186.0,8.0,98.0,2.0408163265306123,25.0,6.60473472958086e-08,0.009852216748768473,0.018867924528301886
BR,US,1.0,1.0,3592.0,1.0,1788.0,0.05592841163310962,100.0,1.854293166160151e-09,0.00027831895352073476,0.0005589714924538849
US,ES,5.0,3592.0,11.0,1804.0,8.0,62.5,0.2771618625277162,1.3322096446947853e-08,0.0013877324451845685,0.0027593818984547464
EC,EC,1.0,4.0,4.0,3.0,1.0,100.0,33.33333333333333,2.8779194622296668e-08,0.125,0.25
IE,GB,2.0,5.0,637.0,3.0,313.0,0.6389776357827476,66.66666666666666,2.7864525851864184e-08,0.003115264797507788,0.006329113924050633
CA,GB,2.0,238.0,637.0,107.0,313.0,0.6389776357827476,1.8691588785046727,1.9152746283081592e-08,0.002285714285714286,0.004761904761904762
DK,DK,1.0,2.0,2.0,1.0,1.0,100.0,100.0,8.593201780580154e-08,0.25,0.5
ES,US,1.0,11.0,3592.0,3.0,1788.0,0.05592841163310962,33.33333333333333,2.6644192893895706e-09,0.0002775464890369137,0.0005583472920156337
CH,US,3.0,7.0,3592.0,5.0,1788.0,0.16778523489932887,60.0,8.906983789334038e-09,0.0008335648791330926,0.0016731734523145567
GR,CA,1.0,2.0,238.0,1.0,131.0,0.7633587786259541,100.0,2.0701540426464983e-08,0.004166666666666667,0.007575757575757576
CH,GB,1.0,7.0,637.0,5.0,313.0,0.3194888178913738,20.0,1.3260974912131786e-08,0.0015527950310559005,0.0031446540880503146
US,IL,2.0,3592.0,12.0,1804.0,5.0,40.0,0.11086474501108648,5.9295658360332205e-09,0.0005549389567147614,0.001105583195135434
IT,GB,1.0,11.0,637.0,7.0,313.0,0.3194888178913738,14.285714285714285,7.8658525414896e-09,0.0015432098765432098,0.003125
US,PA,2.0,3592.0,5.0,1804.0,3.0,66.66666666666666,0.11086474501108648,6.015291556880828e-09,0.0005560189046427579,0.0011068068622025456
US,DE,2.0,3592.0,28.0,1804.0,13.0,15.384615384615385,0.11086474501108648,4.8617758002688375e-09,0.0005524861878453039,0.001100715465052284
AU,HK,1.0,186.0,12.0,88.0,5.0,20.0,1.1363636363636365,3.042129816988208e-08,0.005050505050505051,0.010752688172043012
GB,NL,1.0,637.0,15.0,324.0,10.0,10.0,0.30864197530864196,1.1881105068711104e-08,0.0015337423312883436,0.0029940119760479044
HK,GB,1.0,12.0,637.0,7.0,313.0,0.3194888178913738,14.285714285714285,1.3451381762925988e-08,0.0015408320493066256,0.003125
US,TH,1.0,3592.0,1.0,1804.0,1.0,100.0,0.05543237250554324,2.513414691142617e-09,0.00027831895352073476,0.000554016620498615
US,BM,1.0,3592.0,3.0,1804.0,2.0,50.0,0.05543237250554324,3.0459625916622664e-09,0.0002781641168289291,0.0005537098560354374
TR,US,1.0,8.0,3592.0,4.0,1788.0,0.05592841163310962,25.0,2.4291352148919165e-09,0.0002777777777777778,0.0005580357142857143
GB,ZA,1.0,637.0,80.0,324.0,38.0,2.631578947368421,0.30864197530864196,7.974947499923739e-09,0.001394700139470014,0.0027624309392265192
IT,US,5.0,11.0,3592.0,7.0,1788.0,0.2796420581655481,71.42857142857143,1.2868789954037804e-08,0.0013877324451845685,0.002785515320334262
MY,MY,1.0,2.0,2.0,1.0,1.0,100.0,100.0,1.5649561497721877e-08,0.25,0.5
IQ,US,1.0,2.0,3592.0,1.0,1788.0,0.05592841163310962,100.0,2.720723406834565e-09,0.0002782415136338342,0.0005589714924538849
GB,IE,1.0,637.0,5.0,324.0,2.0,50.0,0.30864197530864196,1.3932262925932092e-08,0.001557632398753894,0.003067484662576687
ZA,GB,2.0,80.0,637.0,42.0,313.0,0.6389776357827476,4.761904761904762,1.5949894999847478e-08,0.002789400278940028,0.005633802816901409
US,FI,1.0,3592.0,5.0,1804.0,3.0,33.33333333333333,0.05543237250554324,2.99616637216898e-09,0.00027800945232137893,0.0005534034311012728
US,LB,1.0,3592.0,2.0,1804.0,1.0,100.0,0.05543237250554324,2.9842262514290118e-09,0.0002782415136338342,0.000554016620498615
MX,US,1.0,32.0,3592.0,16.0,1788.0,0.05592841163310962,6.25,2.1938722637882524e-09,0.0002759381898454746,0.0005543237250554324
US,BD,1.0,3592.0,1.0,1804.0,1.0,100.0,0.05543237250554324,2.0354755543823255e-09,0.00027831895352073476,0.000554016620498615
GB,FR,1.0,637.0,10.0,324.0,3.0,33.33333333333333,0.30864197530864196,7.46857827217907e-09,0.0015455950540958269,0.0030581039755351682
AU,IQ,1.0,186.0,2.0,88.0,1.0,100.0,1.1363636363636365,1.5462142567448572e-08,0.005319148936170213,0.011235955056179775
NG,GH,1.0,30.0,1.0,16.0,1.0,100.0,6.25,4.321867541199445e-09,0.03225806451612903,0.058823529411764705
PS,US,1.0,1.0,3592.0,1.0,1788.0,0.05592841163310962,100.0,3.003681050174843e-09,0.00027831895352073476,0.0005589714924538849
HK,US,3.0,12.0,3592.0,7.0,1788.0,0.16778523489932887,42.857142857142854,8.935301545563234e-09,0.000832408435072142,0.001671309192200557
ZW,US,1.0,3.0,3592.0,1.0,1788.0,0.05592841163310962,100.0,2.916429783303055e-09,0.0002781641168289291,0.0005589714924538849
US,MP,1.0,3592.0,1.0,1804.0,1.0,100.0,0.05543237250554324,3.046024773337758e-09,0.00027831895352073476,0.000554016620498615
US,NZ,2.0,3592.0,17.0,1804.0,9.0,22.22222222222222,0.11086474501108648,6.003184275038193e-09,0.0005541701302299807,0.0011031439602868175
SD,US,1.0,1.0,3592.0,1.0,1788.0,0.05592841163310962,100.0,2.695034520980158e-09,0.00027831895352073476,0.0005589714924538849
