Source,Destination,Number of Tweets,All Degree of Source,All Degree of Destination,Vi - Out Degree of Source,Vj - In Degree of Destination,Percentage of Incoming at Destination (Total Tweet / Vj),Percentage of Outgoing From Source (Total Tweet / Vi),Tweets Per Population,Cij (All Degrees),Cij
CH,CH,3.0,22.0,22.0,12.0,10.0,30.0,25.0,1.749305409132214e-07,0.06818181818181818,0.13636363636363635
US,US,5203.0,11437.0,11437.0,5805.0,5632.0,92.3828125,89.62962962962962,7.925614734700916e-06,0.22746349567194193,0.45492699134388387
GB,GB,464.0,1333.0,1333.0,658.0,675.0,68.74074074074073,70.51671732522796,3.4712660343127165e-06,0.17404351087771944,0.3480870217554389
PL,PL,2.0,9.0,9.0,2.0,7.0,28.57142857142857,100.0,2.633597530570405e-08,0.1111111111111111,0.2222222222222222
IN,IN,224.0,583.0,583.0,301.0,282.0,79.43262411347519,74.4186046511628,8.196614810670851e-08,0.19210977701543738,0.38421955403087477
CN,CN,22.0,135.0,135.0,87.0,48.0,45.83333333333333,25.287356321839084,7.869987801518907e-09,0.08148148148148149,0.16296296296296298
CA,CA,186.0,570.0,570.0,261.0,309.0,60.19417475728155,71.26436781609196,2.4741108245221734e-06,0.1631578947368421,0.3263157894736842
IN,RU,1.0,583.0,12.0,301.0,5.0,20.0,0.33222591362126247,6.619047960369859e-10,0.0016806722689075631,0.0032679738562091504
DO,DO,1.0,2.0,2.0,1.0,1.0,100.0,100.0,4.655945204367128e-08,0.25,0.5
NL,NL,23.0,72.0,72.0,26.0,46.0,50.0,88.46153846153845,6.63480039347251e-07,0.1597222222222222,0.3194444444444444
AU,AU,134.0,396.0,396.0,182.0,214.0,62.616822429906534,73.62637362637363,2.6415072172088125e-06,0.1691919191919192,0.3383838383838384
FI,FI,4.0,9.0,9.0,5.0,4.0,100.0,80.0,3.622982315861018e-07,0.2222222222222222,0.4444444444444444
GB,US,127.0,1333.0,11437.0,658.0,5632.0,2.254971590909091,19.300911854103344,3.2145882327117266e-07,0.009945184025058732,0.020190779014308425
HK,HK,52.0,153.0,153.0,75.0,78.0,66.66666666666666,69.33333333333334,3.4632495937341823e-06,0.16993464052287582,0.33986928104575165
CN,US,31.0,135.0,11437.0,87.0,5632.0,0.5504261363636364,35.63218390804598,1.796107579133474e-08,0.0026788800553059107,0.005420528064346914
NZ,NZ,11.0,35.0,35.0,13.0,22.0,50.0,84.61538461538461,1.1185682326621923e-06,0.15714285714285714,0.3142857142857143
FR,FR,3.0,18.0,18.0,11.0,7.0,42.857142857142854,27.27272727272727,2.2368066322569258e-08,0.08333333333333333,0.16666666666666666
KE,KE,23.0,58.0,58.0,28.0,30.0,76.66666666666667,82.14285714285714,2.1873941313128457e-07,0.19827586206896552,0.39655172413793105
CO,CO,4.0,21.0,21.0,8.0,13.0,30.76923076923077,50.0,3.9730276713629905e-08,0.09523809523809523,0.19047619047619047
ZA,ZA,87.0,224.0,224.0,100.0,124.0,70.16129032258065,87.0,7.428498143814699e-07,0.19419642857142858,0.38839285714285715
US,NL,14.0,11437.0,72.0,5805.0,46.0,30.434782608695656,0.24117140396210163,4.051249779738614e-08,0.0012164393083673648,0.002392753375491369
US,CA,103.0,11437.0,570.0,5805.0,309.0,33.33333333333333,1.7743324720068905,2.8155247542918197e-07,0.008578329307903722,0.016846581615963363
NO,NO,3.0,22.0,22.0,13.0,9.0,33.33333333333333,23.076923076923077,2.804841380610244e-07,0.06818181818181818,0.13636363636363635
DE,DE,23.0,88.0,88.0,41.0,47.0,48.93617021276596,56.09756097560976,1.383328859166645e-07,0.13068181818181818,0.26136363636363635
ES,ES,7.0,25.0,25.0,9.0,16.0,43.75,77.77777777777779,7.434662960494262e-08,0.14,0.28
NG,NG,38.0,90.0,90.0,44.0,46.0,82.6086956521739,86.36363636363636,9.4544485143302e-08,0.2111111111111111,0.4222222222222222
IL,IL,15.0,53.0,53.0,26.0,27.0,55.55555555555556,57.692307692307686,8.284272033402185e-07,0.14150943396226415,0.2830188679245283
