Source,Destination,Number of Tweets,All Degree of Source,All Degree of Destination,Vi - Out Degree of Source,Vj - In Degree of Destination,Percentage of Incoming at Destination (Total Tweet / Vj),Percentage of Outgoing From Source (Total Tweet / Vi),Tweets Per Population,Cij (All Degrees),Cij
NG,GU,1.0,998.0,11.0,492.0,11.0,9.090909090909092,0.20325203252032523,4.971886641004473e-09,0.0009910802775024777,0.0019880715705765406
GB,VN,1.0,24326.0,37.0,12224.0,20.0,5.0,0.008180628272251309,6.123829553222971e-09,4.104584821245331e-05,8.167265599477295e-05
IN,MX,1.0,5323.0,520.0,2689.0,257.0,0.38910505836575876,0.03718854592785422,6.693470522116129e-10,0.00017114495978093444,0.00033944331296673454
ZA,ZM,2.0,5501.0,8.0,2716.0,6.0,33.33333333333333,0.07363770250368189,2.6171399109910715e-08,0.0003630422944273008,0.0007347538574577516
NZ,DE,2.0,547.0,1019.0,250.0,496.0,0.4032258064516129,0.8,2.27144186893601e-08,0.001277139208173691,0.002680965147453083
GB,KW,1.0,24326.0,15.0,12224.0,9.0,11.11111111111111,0.008180628272251309,1.4076281735540224e-08,4.108294646892075e-05,8.17460966238862e-05
CA,CH,5.0,12545.0,508.0,6120.0,244.0,2.0491803278688523,0.08169934640522876,1.0830928470078931e-07,0.00038305370412931893,0.0007856693903205531
IL,AU,6.0,599.0,7325.0,328.0,3814.0,0.15731515469323545,1.8292682926829267,1.743293774026765e-07,0.000757193336698637,0.0014485755673587638
CU,US,4.0,32.0,160440.0,14.0,79731.0,0.005016869222761535,28.57142857142857,1.1779499339826794e-08,2.4926466922578392e-05,5.015988463226535e-05
GB,BM,1.0,24326.0,71.0,12224.0,38.0,2.631578947368421,0.008180628272251309,1.494805781603823e-08,4.098864614501783e-05,8.155276463872126e-05
AT,MC,1.0,104.0,52.0,52.0,32.0,3.125,1.9230769230769231,1.1215752838903319e-07,0.00641025641025641,0.011904761904761904
IL,NG,2.0,599.0,998.0,328.0,506.0,0.3952569169960474,0.6097560975609756,9.523043190919603e-09,0.0012523481527864746,0.002398081534772182
JP,NZ,1.0,503.0,547.0,249.0,297.0,0.33670033670033667,0.4016064257028112,7.62300106712105e-09,0.0009523809523809524,0.0018315018315018315
KE,CM,1.0,745.0,7.0,371.0,5.0,20.0,0.2695417789757413,1.2746915236952472e-08,0.0013297872340425532,0.0026595744680851063
IN,ES,1.0,5323.0,277.0,2689.0,149.0,0.6711409395973155,0.03718854592785422,7.07466477753308e-10,0.00017857142857142857,0.00035236081747709656
US,CF,1.0,160440.0,6.0,80709.0,3.0,33.33333333333333,0.0012390191924072905,3.0031409130055307e-09,6.232626553482169e-06,1.2389731390623451e-05
PA,AU,1.0,72.0,7325.0,31.0,3814.0,0.026219192448872573,3.225806451612903,3.3771523351691305e-08,0.000135189941868325,0.0002600780234070221
BW,US,2.0,4.0,160440.0,2.0,79731.0,0.0025084346113807676,100.0,6.050645963937787e-09,1.2465408491436264e-05,2.5083716905171007e-05
VE,VE,1.0,17.0,17.0,13.0,4.0,25.0,7.6923076923076925,1.7534121136720242e-08,0.029411764705882353,0.058823529411764705
IT,GB,18.0,337.0,24326.0,170.0,12102.0,0.1487357461576599,10.588235294117647,1.415853457468128e-07,0.0007298382191947452,0.0014667535853976532
EG,AU,1.0,45.0,7325.0,23.0,3814.0,0.026219192448872573,4.3478260869565215,7.952135776674763e-09,0.000135685210312076,0.00026062027625749283
SI,US,2.0,37.0,160440.0,17.0,79731.0,0.0025084346113807676,11.76470588235294,6.054597899637587e-09,1.2462845142917677e-05,2.5078998846366054e-05
NL,GB,9.0,694.0,24326.0,304.0,12102.0,0.07436787307882994,2.9605263157894735,1.0692994561839994e-07,0.00035971223021582735,0.0007254554247944543
IN,HK,2.0,5323.0,577.0,2689.0,290.0,0.6896551724137931,0.07437709185570844,1.4556833712355194e-09,0.00033898305084745765,0.000671366230278617
IN,VG,1.0,5323.0,21.0,2689.0,8.0,12.5,0.03718854592785422,7.318245246610902e-10,0.00018712574850299402,0.0003707823507601038
NG,IL,1.0,998.0,599.0,492.0,271.0,0.36900369003690037,0.20325203252032523,4.761521595459801e-09,0.0006261740763932373,0.001310615989515072
AM,AM,2.0,4.0,4.0,2.0,2.0,100.0,100.0,3.380970074695772e-07,0.25,0.5
NL,IT,2.0,694.0,337.0,304.0,167.0,1.1976047904191618,0.6578947368421052,2.576315422213141e-08,0.0019398642095053346,0.004246284501061571
CR,US,4.0,9.0,160440.0,6.0,79731.0,0.005016869222761535,66.66666666666666,1.2001665207044147e-08,2.493004007503942e-05,5.016491716518053e-05
EG,US,10.0,45.0,160440.0,23.0,79731.0,0.01254217305690384,43.47826086956522,2.3330275729610278e-08,6.231111941926036e-05,0.00012538556059884143
ZA,IT,4.0,5501.0,337.0,2716.0,167.0,2.3952095808383236,0.14727540500736377,3.3654264324260315e-08,0.0006851661527920521,0.001387443635102324
CH,PK,1.0,508.0,120.0,264.0,67.0,1.4925373134328357,0.3787878787878788,4.441677772711797e-09,0.0015923566878980893,0.0030211480362537764
CA,IT,4.0,12545.0,337.0,6120.0,167.0,2.3952095808383236,0.065359477124183,4.0863587354264355e-08,0.0003105107902499612,0.0006362334976936536
CA,NO,4.0,12545.0,220.0,6120.0,114.0,3.508771929824561,0.065359477124183,9.315940286499633e-08,0.0003133568350959655,0.0006416426050689766
VE,CA,4.0,17.0,12545.0,13.0,6425.0,0.0622568093385214,30.76923076923077,6.050971172553109e-08,0.000318420633657061,0.0006213109661385523
GR,BE,1.0,212.0,306.0,95.0,142.0,0.7042253521126761,1.0526315789473684,4.504428010389193e-08,0.0019305019305019305,0.004219409282700422
PK,SG,1.0,120.0,41.0,53.0,25.0,4.0,1.8867924528301887,4.499055236642274e-09,0.006211180124223602,0.01282051282051282
US,KP,1.0,160440.0,6.0,80709.0,2.0,50.0,0.0012390191924072905,2.825611583000176e-09,6.232626553482169e-06,1.2389884897969298e-05
GB,PK,7.0,24326.0,120.0,12224.0,67.0,10.44776119402985,0.05726439790575916,2.4700094713924614e-08,0.0002863454143827211,0.0005695224147750387
MY,AU,1.0,227.0,7325.0,105.0,3814.0,0.026219192448872573,0.9523809523809524,1.7447718435140655e-08,0.00013241525423728814,0.00025516713447307985
CH,DE,2.0,508.0,1019.0,264.0,496.0,0.4032258064516129,0.7575757575757576,2.1808435985005435e-08,0.0013097576948264572,0.002631578947368421
IT,IL,1.0,337.0,599.0,170.0,271.0,0.36900369003690037,0.5882352941176471,1.4419465956044623e-08,0.0010683760683760685,0.0022675736961451248
AR,AR,2.0,25.0,25.0,10.0,15.0,13.333333333333334,20.0,2.2252529177961307e-08,0.04,0.08
VG,US,10.0,21.0,160440.0,13.0,79731.0,0.01254217305690384,76.92307692307693,3.0462770331916834e-08,6.232043923445572e-05,0.00012540128410914927
KE,ZA,5.0,745.0,5501.0,371.0,2785.0,0.17953321364452424,1.3477088948787064,4.499144321238977e-08,0.0008005123278898495,0.0015842839036755386
US,ML,2.0,160440.0,39.0,80709.0,21.0,9.523809523809524,0.002478038384814581,5.748818803135362e-09,1.2462689822344356e-05,2.477393781741608e-05
PH,HK,1.0,404.0,577.0,195.0,290.0,0.3448275862068966,0.5128205128205128,8.6487223264129e-09,0.0010193679918450561,0.002061855670103093
AR,US,4.0,25.0,160440.0,10.0,79731.0,0.005016869222761535,40.0,1.0718738728157606e-08,2.49275542953292e-05,5.016240077250097e-05
UY,UY,1.0,7.0,7.0,2.0,5.0,20.0,50.0,1.4443628539916701e-07,0.07142857142857142,0.14285714285714285
DE,PK,1.0,1019.0,120.0,523.0,67.0,1.4925373134328357,0.19120458891013384,3.3366909675979047e-09,0.000877963125548727,0.001694915254237288
TH,US,8.0,34.0,160440.0,19.0,79731.0,0.01003373844552307,42.10526315789473,2.0107317529140937e-08,4.9852312524147217e-05,0.00010031347962382445
GL,US,2.0,6.0,160440.0,4.0,79731.0,0.0025084346113807676,50.0,6.092067936256062e-09,1.2465253106964338e-05,2.5083087728099328e-05
SA,IN,3.0,72.0,5323.0,35.0,2634.0,0.11389521640091116,8.571428571428571,2.1418072258952845e-09,0.0005560704355885078,0.0011240164855751218
IT,CH,1.0,337.0,508.0,170.0,244.0,0.4098360655737705,0.5882352941176471,1.451964063076339e-08,0.001183431952662722,0.0024154589371980675
IN,GU,1.0,5323.0,11.0,2689.0,11.0,9.090909090909092,0.03718854592785422,7.317510179578666e-10,0.00018747656542932134,0.00037037037037037035
IQ,GB,2.0,67.0,24326.0,36.0,12102.0,0.016526194017517766,5.555555555555555,1.88422940312097e-08,8.199073504693969e-05,0.00016477179106936892
CA,MX,2.0,12545.0,520.0,6120.0,257.0,0.7782101167315175,0.0326797385620915,1.2109118341087599e-08,0.00015308075009567548,0.00031362709738121374
DE,UA,1.0,1019.0,82.0,523.0,53.0,1.8867924528301887,0.19120458891013384,7.842032973646989e-09,0.0009082652134423251,0.001736111111111111
TW,HR,1.0,57.0,22.0,26.0,11.0,9.090909090909092,3.8461538461538463,3.576295654364472e-08,0.012658227848101266,0.02702702702702703
AU,IN,4.0,7325.0,5323.0,3511.0,2634.0,0.15186028853454822,0.11392765593847907,2.874013189339419e-09,0.00031625553447185326,0.0006509357200976403
BE,IE,2.0,306.0,398.0,164.0,204.0,0.9803921568627451,1.2195121951219512,1.2176190202806015e-07,0.002840909090909091,0.005434782608695652
MX,EG,1.0,520.0,45.0,263.0,22.0,4.545454545454546,0.38022813688212925,4.386665201052579e-09,0.0017699115044247787,0.0035087719298245615
SD,SD,2.0,13.0,13.0,6.0,7.0,28.57142857142857,33.33333333333333,2.335726160212409e-08,0.07692307692307693,0.15384615384615385
CL,CO,1.0,6.0,125.0,2.0,75.0,1.3333333333333335,50.0,1.4431788519572845e-08,0.007633587786259542,0.012987012987012988
SE,DK,1.0,330.0,193.0,133.0,111.0,0.9009009009009009,0.7518796992481203,6.209635043603436e-08,0.0019120458891013384,0.004098360655737705
US,SD,2.0,160440.0,13.0,80709.0,7.0,28.57142857142857,0.002478038384814581,5.390069041960316e-09,1.2464709291817542e-05,2.477823479855295e-05
US,SC,1.0,160440.0,1.0,80709.0,1.0,100.0,0.0012390191924072905,3.045649893992501e-09,6.232820787703891e-06,1.2390038409119069e-05
GB,DK,6.0,24326.0,193.0,12224.0,111.0,5.405405405405405,0.04908376963350785,8.258438699770489e-08,0.0002447081854888046,0.00048642075395216865
IT,AU,3.0,337.0,7325.0,170.0,3814.0,0.07865757734661773,1.7647058823529411,3.5021484454961164e-08,0.00039154267815191856,0.0007530120481927711
US,AQ,4.0,160440.0,6.0,80709.0,4.0,100.0,0.004956076769629162,1.2186111547771646e-08,2.4930506213928675e-05,4.955831154832555e-05
LR,LR,2.0,5.0,5.0,2.0,3.0,66.66666666666666,100.0,2.0253681410401562e-07,0.2,0.4
UG,NG,2.0,50.0,998.0,26.0,506.0,0.3952569169960474,7.6923076923076925,8.155502831951465e-09,0.0019083969465648854,0.0037593984962406013
BS,US,2.0,51.0,160440.0,23.0,79731.0,0.0025084346113807676,8.695652173913043,6.085890075344993e-09,1.2461757980198267e-05,2.5077112119768287e-05
JP,DE,2.0,503.0,1019.0,249.0,496.0,0.4032258064516129,0.8032128514056224,9.551201916085719e-09,0.001314060446780552,0.0026845637583892616
JP,ZA,2.0,503.0,5501.0,249.0,2785.0,0.0718132854578097,0.8032128514056224,1.0821152264319889e-08,0.00033311125916055963,0.0006591957811470006
GB,SD,2.0,24326.0,13.0,12224.0,7.0,28.57142857142857,0.016361256544502618,1.8240246167443838e-08,8.217264472657052e-05,0.0001635189273158368
KW,EG,2.0,15.0,45.0,6.0,22.0,9.090909090909092,33.33333333333333,1.9121344395719433e-08,0.03333333333333333,0.07142857142857142
US,MU,1.0,160440.0,4.0,80709.0,3.0,33.33333333333333,0.0012390191924072905,3.0348531580533257e-09,6.232704245718132e-06,1.2389731390623451e-05
NG,GB,9.0,998.0,24326.0,492.0,12102.0,0.07436787307882994,1.8292682926829267,3.360742001646883e-08,0.000355394092560417,0.0007146260123868509
US,KW,4.0,160440.0,15.0,80709.0,9.0,44.44444444444444,0.004956076769629162,1.2032007329321328e-08,2.4929107849552834e-05,4.955524170569142e-05
BH,BH,1.0,3.0,3.0,1.0,2.0,50.0,100.0,3.0466032810698693e-07,0.16666666666666666,0.3333333333333333
GB,NG,9.0,24326.0,998.0,12224.0,506.0,1.7786561264822136,0.07362565445026178,3.360742001646883e-08,0.000355394092560417,0.0007069913589945011
PL,GB,4.0,279.0,24326.0,127.0,12102.0,0.03305238803503553,3.149606299212598,3.816601642747404e-08,0.0001625685836212152,0.0003270913402567667
SI,NO,1.0,37.0,220.0,17.0,114.0,0.8771929824561403,5.88235294117647,1.344837612203164e-07,0.0038910505836575876,0.007633587786259542
GR,CA,2.0,212.0,12545.0,95.0,6425.0,0.0311284046692607,2.1052631578947367,4.140308085292997e-08,0.00015677667163126126,0.00030674846625766873
