Source,Destination,Number of Tweets,All Degree of Source,All Degree of Destination,Vi - Out Degree of Source,Vj - In Degree of Destination,Percentage of Incoming at Destination (Total Tweet / Vj),Percentage of Outgoing From Source (Total Tweet / Vi),Tweets Per Population,Cij (All Degrees),Cij
GB,GB,116.0,319.0,319.0,160.0,159.0,72.95597484276729,72.5,8.678165085781791e-07,0.18181818181818182,0.36363636363636365
US,US,785.0,1729.0,1729.0,882.0,847.0,92.68004722550177,89.00226757369614,1.1957731244936033e-06,0.22700983227299018,0.45401966454598036
DE,DE,8.0,25.0,25.0,15.0,10.0,80.0,53.333333333333336,4.811578640579634e-08,0.16,0.32
IN,IN,42.0,93.0,93.0,43.0,50.0,84.0,97.67441860465115,1.5368652770007846e-08,0.22580645161290322,0.45161290322580644
US,ZA,6.0,1729.0,53.0,882.0,30.0,20.0,0.6802721088435374,1.5511980959002008e-08,0.003367003367003367,0.006578947368421052
FI,FI,1.0,3.0,3.0,2.0,1.0,100.0,50.0,9.057455789652545e-08,0.16666666666666666,0.3333333333333333
MX,MX,2.0,9.0,9.0,3.0,6.0,33.33333333333333,66.66666666666666,7.838493854099558e-09,0.1111111111111111,0.2222222222222222
AU,AU,24.0,75.0,75.0,35.0,40.0,60.0,68.57142857142857,4.7310577024635444e-07,0.16,0.32
CA,CA,45.0,128.0,128.0,61.0,67.0,67.16417910447761,73.77049180327869,5.985751994811709e-07,0.17578125,0.3515625
NL,NL,4.0,14.0,14.0,6.0,8.0,50.0,66.66666666666666,1.153878329299567e-07,0.14285714285714285,0.2857142857142857
GL,GL,1.0,2.0,2.0,1.0,1.0,100.0,100.0,8.892841262783459e-06,0.25,0.5
NZ,NZ,2.0,6.0,6.0,2.0,4.0,50.0,100.0,2.033760423022168e-07,0.16666666666666666,0.3333333333333333
CO,CO,1.0,4.0,4.0,2.0,2.0,50.0,50.0,9.932569178407476e-09,0.125,0.25
CH,CH,3.0,8.0,8.0,5.0,3.0,100.0,60.0,1.749305409132214e-07,0.1875,0.375
MY,MY,1.0,2.0,2.0,1.0,1.0,100.0,100.0,1.5649561497721877e-08,0.25,0.5
NG,NG,13.0,30.0,30.0,15.0,15.0,86.66666666666667,86.66666666666667,3.2344165970077e-08,0.21666666666666667,0.43333333333333335
GB,US,26.0,319.0,1729.0,160.0,847.0,3.0696576151121606,16.25,6.581046775630307e-08,0.0126953125,0.025819265143992055
ES,ES,2.0,6.0,6.0,2.0,4.0,50.0,100.0,2.1241894172840747e-08,0.16666666666666666,0.3333333333333333
SI,SI,1.0,2.0,2.0,1.0,1.0,100.0,100.0,2.394697947169132e-07,0.25,0.5
ID,ID,2.0,4.0,4.0,2.0,2.0,100.0,100.0,3.6951423599413933e-09,0.25,0.5
SE,SE,2.0,7.0,7.0,2.0,5.0,40.0,100.0,9.722469199946759e-08,0.14285714285714285,0.2857142857142857
IE,IE,1.0,3.0,3.0,1.0,2.0,50.0,100.0,1.0118499774559826e-07,0.16666666666666666,0.3333333333333333
CO,US,1.0,4.0,1729.0,2.0,847.0,0.11806375442739078,50.0,2.6414568420581508e-09,0.0005770340450086555,0.001177856301531213
