Source,Destination,Number of Tweets,All Degree of Source,All Degree of Destination,Vi - Out Degree of Source,Vj - In Degree of Destination,Percentage of Incoming at Destination (Total Tweet / Vj),Percentage of Outgoing From Source (Total Tweet / Vi),Tweets Per Population,Cij (All Degrees),Cij
CH,CH,19.0,60.0,60.0,30.0,30.0,63.33333333333333,63.33333333333333,1.1078934257837354e-06,0.15833333333333333,0.31666666666666665
GB,GB,938.0,2472.0,2472.0,1244.0,1228.0,76.38436482084691,75.40192926045016,7.017343836606311e-06,0.18972491909385114,0.3794498381877023
US,US,2807.0,6668.0,6668.0,3382.0,3286.0,85.42300669506999,82.99822590183324,4.2758409687306305e-06,0.21048290341931614,0.4209658068386323
CN,CN,7.0,46.0,46.0,35.0,11.0,63.63636363636363,20.0,2.504087027756016e-09,0.07608695652173914,0.15217391304347827
IL,IL,5.0,25.0,25.0,14.0,11.0,45.45454545454545,35.714285714285715,2.761424011134062e-07,0.1,0.2
CA,CA,139.0,433.0,433.0,197.0,236.0,58.89830508474576,70.55837563451777,1.8489322828418391e-06,0.1605080831408776,0.3210161662817552
NG,NG,262.0,643.0,643.0,318.0,325.0,80.61538461538461,82.38993710691824,6.518593449353979e-07,0.20373250388802489,0.40746500777604977
GB,US,217.0,2472.0,6668.0,1244.0,3286.0,6.60377358490566,17.44372990353698,5.492642885814526e-07,0.0237417943107221,0.04790286975717439
AU,AU,189.0,517.0,517.0,248.0,269.0,70.26022304832715,76.20967741935483,3.7257079406900415e-06,0.1827852998065764,0.3655705996131528
IN,IN,130.0,310.0,310.0,156.0,154.0,84.4155844155844,83.33333333333334,4.756963952621476e-08,0.20967741935483872,0.41935483870967744
FI,FI,36.0,75.0,75.0,36.0,39.0,92.3076923076923,100.0,3.2606840842749162e-06,0.24,0.48
DE,DE,29.0,103.0,103.0,52.0,51.0,56.86274509803921,55.769230769230774,1.7441972572101176e-07,0.1407766990291262,0.2815533980582524
US,GB,210.0,6668.0,2472.0,3382.0,1228.0,17.100977198697066,6.209343583678297,5.315460857239863e-07,0.022975929978118162,0.0455531453362256
NZ,NZ,19.0,53.0,53.0,24.0,29.0,65.51724137931035,79.16666666666666,1.9320724018710597e-06,0.1792452830188679,0.3584905660377358
TW,TW,1.0,7.0,7.0,3.0,4.0,25.0,33.33333333333333,2.0925410370315312e-08,0.07142857142857142,0.14285714285714285
PL,PL,14.0,34.0,34.0,18.0,16.0,87.5,77.77777777777779,1.8435182713992835e-07,0.20588235294117646,0.4117647058823529
KE,KE,31.0,74.0,74.0,40.0,34.0,91.17647058823529,77.5,2.948226872639053e-07,0.20945945945945946,0.4189189189189189
ZA,ZA,218.0,520.0,520.0,250.0,270.0,80.74074074074075,87.2,1.861393787760465e-06,0.20961538461538462,0.41923076923076924
ES,ES,8.0,26.0,26.0,13.0,13.0,61.53846153846154,61.53846153846154,8.496757669136299e-08,0.15384615384615385,0.3076923076923077
