Source,Destination,Number of Tweets,All Degree of Source,All Degree of Destination,Vi - Out Degree of Source,Vj - In Degree of Destination,Percentage of Incoming at Destination (Total Tweet / Vj),Percentage of Outgoing From Source (Total Tweet / Vi),Tweets Per Population,Cij (All Degrees),Cij
CH,CH,102.0,347.0,347.0,180.0,167.0,61.07784431137725,56.666666666666664,5.947638391049527e-06,0.14697406340057637,0.29394812680115273
US,US,61353.0,131536.0,131536.0,66132.0,65404.0,93.80618922390069,92.77354382144802,9.345766688796949e-05,0.23321752219924582,0.46643504439849165
GB,GB,6999.0,18111.0,18111.0,9081.0,9030.0,77.50830564784053,77.07300958044269,5.236075640981617e-05,0.1932251118105019,0.3864502236210038
PL,PL,41.0,136.0,136.0,65.0,71.0,57.74647887323944,63.07692307692307,5.39887493766933e-07,0.15073529411764705,0.3014705882352941
ZA,ZA,1271.0,3026.0,3026.0,1502.0,1524.0,83.39895013123359,84.62050599201065,1.0852438092860326e-05,0.21001321877065432,0.42002643754130864
IN,IN,1401.0,3197.0,3197.0,1615.0,1582.0,88.55878634639697,86.74922600619195,5.126543459709761e-07,0.21911166718798875,0.4382233343759775
JP,JP,118.0,335.0,335.0,162.0,173.0,68.20809248554913,72.8395061728395,4.6727147065086505e-07,0.1761194029850746,0.3522388059701492
AU,AU,2312.0,5976.0,5976.0,2870.0,3106.0,74.43657437218287,80.5574912891986,4.557585586706548e-05,0.1934404283801874,0.3868808567603748
NO,NO,41.0,165.0,165.0,80.0,85.0,48.23529411764706,51.24999999999999,3.833283220167333e-06,0.12424242424242424,0.24848484848484848
TR,TR,34.0,137.0,137.0,58.0,79.0,43.037974683544306,58.620689655172406,2.0376457448593046e-07,0.12408759124087591,0.24817518248175183
FJ,FJ,18.0,40.0,40.0,21.0,19.0,94.73684210526315,85.71428571428571,1.011289360224641e-05,0.225,0.45
IL,IL,132.0,382.0,382.0,206.0,176.0,75.0,64.07766990291263,7.290159389393923e-06,0.17277486910994763,0.34554973821989526
CA,CA,3896.0,10190.0,10190.0,4962.0,5228.0,74.52180566182096,78.5167271261588,5.1823310603969826e-05,0.19116781157998036,0.3823356231599607
US,RU,9.0,131536.0,62.0,66132.0,30.0,30.0,0.013609145345672292,1.9043062496169964e-08,6.83900971139379e-05,0.00013602974517094404
US,DK,35.0,131536.0,147.0,66132.0,84.0,41.66666666666667,0.05292445412205891,1.0477220134621142e-07,0.000265789813415551,0.0005285731545245862
US,CA,1125.0,131536.0,10190.0,66132.0,5228.0,21.51874521805662,1.7011431682090363,3.075209076289609e-06,0.00793785191143474,0.015765134529147982
BE,BE,54.0,189.0,189.0,99.0,90.0,60.0,54.54545454545454,2.3510859186933534e-06,0.14285714285714285,0.2857142857142857
US,GB,1546.0,131536.0,18111.0,66132.0,9030.0,17.120708748615726,2.3377487449343737,3.913191659663252e-06,0.010330978903686675,0.02056890449961417
DO,DO,5.0,13.0,13.0,6.0,7.0,71.42857142857143,83.33333333333334,2.327972602183564e-07,0.19230769230769232,0.38461538461538464
CA,US,861.0,10190.0,131536.0,4962.0,65404.0,1.3164332456730476,17.35187424425635,2.3535600130536476e-06,0.006075102662884721,0.012236023079328084
HK,HK,186.0,467.0,467.0,229.0,238.0,78.15126050420169,81.22270742358079,1.2387777392972268e-05,0.19914346895074947,0.39828693790149894
NG,NG,238.0,585.0,585.0,295.0,290.0,82.06896551724138,80.67796610169492,5.92147038529102e-07,0.20341880341880342,0.40683760683760684
NL,NL,121.0,417.0,417.0,181.0,236.0,51.271186440677965,66.85082872928176,3.4904819461311904e-06,0.145083932853717,0.290167865707434
DK,DK,37.0,147.0,147.0,63.0,84.0,44.047619047619044,58.730158730158735,3.179484658814657e-06,0.12585034013605442,0.25170068027210885
DE,DE,239.0,823.0,823.0,401.0,422.0,56.6350710900474,59.60099750623441,1.4374591188731658e-06,0.14520048602673147,0.29040097205346294
ID,ID,23.0,73.0,73.0,28.0,45.0,51.11111111111111,82.14285714285714,4.2494137139326025e-08,0.15753424657534246,0.3150684931506849
BE,CA,4.0,189.0,10190.0,99.0,5228.0,0.07651109410864575,4.040404040404041,8.151069144154246e-08,0.00038539358319683977,0.0007508916838746011
ZA,US,176.0,3026.0,131536.0,1502.0,65404.0,0.2690966913338634,11.717709720372836,4.5501810813072553e-07,0.001307947265944323,0.002630556302872687
SE,SE,66.0,232.0,232.0,103.0,129.0,51.162790697674424,64.07766990291263,3.2084148359824305e-06,0.14224137931034483,0.28448275862068967
PH,PH,137.0,302.0,302.0,151.0,151.0,90.72847682119205,90.72847682119205,6.335751447638274e-07,0.22682119205298013,0.45364238410596025
BS,BS,20.0,47.0,47.0,22.0,25.0,80.0,90.9090909090909,2.5675127477007924e-05,0.2127659574468085,0.425531914893617
KE,KE,188.0,432.0,432.0,217.0,215.0,87.44186046511628,86.63594470046083,1.7879569421165868e-06,0.2175925925925926,0.4351851851851852
DE,GB,28.0,823.0,18111.0,401.0,9030.0,0.31007751937984496,6.982543640897755,1.8670748839192868e-07,0.001478821168268723,0.0029689322447248438
FI,FI,57.0,131.0,131.0,60.0,71.0,80.28169014084507,95.0,5.1627498001019505e-06,0.21755725190839695,0.4351145038167939
NZ,NZ,179.0,476.0,476.0,218.0,258.0,69.37984496124031,82.11009174311926,1.8202155786048405e-05,0.1880252100840336,0.3760504201680672
