Source,Destination,Number of Tweets,All Degree of Source,All Degree of Destination,Vi - Out Degree of Source,Vj - In Degree of Destination,Percentage of Incoming at Destination (Total Tweet / Vj),Percentage of Outgoing From Source (Total Tweet / Vi),Tweets Per Population,Cij (All Degrees),Cij
US,US,45290.0,98504.0,98504.0,49904.0,48600.0,93.18930041152264,90.7542481564604,6.898925453288573e-05,0.22988914155770324,0.45977828311540647
CH,CH,107.0,379.0,379.0,182.0,197.0,54.314720812182735,58.791208791208796,6.239189292571563e-06,0.14116094986807387,0.28232189973614774
GB,GB,3270.0,9292.0,9292.0,4629.0,4663.0,70.12652798627494,70.64160725858717,2.4463448129746947e-05,0.1759578131726216,0.3519156263452432
NG,NG,429.0,1067.0,1067.0,521.0,546.0,78.57142857142857,82.34165067178503,1.067357477012541e-06,0.20103092783505155,0.4020618556701031
ZA,ZA,1126.0,2709.0,2709.0,1316.0,1393.0,80.8327351040919,85.56231003039514,9.614355068891208e-06,0.20782576596530086,0.4156515319306017
CA,CA,1971.0,6057.0,6057.0,2727.0,3330.0,59.189189189189186,72.27722772277228,2.6217593737275287e-05,0.16270430906389302,0.32540861812778604
PL,PL,32.0,99.0,99.0,49.0,50.0,64.0,65.3061224489796,4.213756048912648e-07,0.16161616161616163,0.32323232323232326
DE,DE,248.0,796.0,796.0,374.0,422.0,58.767772511848335,66.31016042780749,1.4915893785796867e-06,0.15577889447236182,0.31155778894472363
IN,IN,2910.0,6874.0,6874.0,3452.0,3422.0,85.03798947983636,84.29895712630359,1.064828084779115e-06,0.2116671515856852,0.4233343031713704
TR,TR,48.0,132.0,132.0,59.0,73.0,65.75342465753424,81.35593220338984,2.8766763456837237e-07,0.18181818181818182,0.36363636363636365
CN,CN,24.0,137.0,137.0,78.0,59.0,40.67796610169492,30.76923076923077,8.585441238020626e-09,0.08759124087591241,0.17518248175182483
US,GB,1071.0,98504.0,9292.0,49904.0,4663.0,22.96804632211023,2.1461205514588007,2.7108850371923303e-06,0.009935433596793945,0.01962724723734125
IL,IL,128.0,371.0,371.0,202.0,169.0,75.7396449704142,63.366336633663366,7.069245468503198e-06,0.1725067385444744,0.3450134770889488
CU,CU,37.0,130.0,130.0,44.0,86.0,43.02325581395349,84.0909090909091,1.632331384800242e-06,0.1423076923076923,0.2846153846153846
AU,AU,1549.0,4245.0,4245.0,2117.0,2128.0,72.79135338345864,73.16957959376477,3.053503492131679e-05,0.18244994110718493,0.36489988221436986
US,RU,30.0,98504.0,89.0,49904.0,51.0,58.82352941176471,0.06011542160949022,6.347687498723322e-08,0.0003042812370046555,0.000600540486437794
AT,AT,13.0,50.0,50.0,20.0,30.0,43.333333333333336,65.0,7.3222383023582e-07,0.13,0.26
BE,BE,43.0,131.0,131.0,65.0,66.0,65.15151515151516,66.15384615384615,1.8721610093298926e-06,0.16412213740458015,0.3282442748091603
IT,IT,68.0,250.0,250.0,116.0,134.0,50.74626865671642,58.620689655172406,5.638717798028957e-07,0.136,0.272
DO,DO,4.0,10.0,10.0,6.0,4.0,100.0,66.66666666666666,1.862378081746851e-07,0.2,0.4
ES,ES,42.0,180.0,180.0,73.0,107.0,39.25233644859813,57.534246575342465,4.4607977762965567e-07,0.11666666666666667,0.23333333333333334
HK,HK,117.0,346.0,346.0,167.0,179.0,65.36312849162012,70.05988023952095,7.79231158590191e-06,0.16907514450867053,0.33815028901734107
EG,EG,14.0,56.0,56.0,24.0,32.0,43.75,58.333333333333336,6.9729399029305e-08,0.125,0.25
NL,NL,139.0,462.0,462.0,190.0,272.0,51.10294117647059,73.15789473684211,4.009727194315995e-06,0.15043290043290045,0.3008658008658009
DK,DK,21.0,75.0,75.0,34.0,41.0,51.21951219512195,61.76470588235294,1.8045723739218324e-06,0.14,0.28
