Source,Destination,Number of Tweets,All Degree of Source,All Degree of Destination,Vi - Out Degree of Source,Vj - In Degree of Destination,Percentage of Incoming at Destination (Total Tweet / Vj),Percentage of Outgoing From Source (Total Tweet / Vi),Tweets Per Population,Cij (All Degrees),Cij
CH,CH,19.0,121.0,121.0,81.0,40.0,47.5,23.456790123456788,1.1078934257837354e-06,0.07851239669421488,0.15702479338842976
US,US,18706.0,42365.0,42365.0,21479.0,20886.0,89.56238628746529,87.08971553610503,2.8494435753856492e-05,0.2207718635666234,0.4415437271332468
GB,GB,1296.0,4064.0,4064.0,2071.0,1993.0,65.0275965880582,62.5784645098986,9.695605130321726e-06,0.1594488188976378,0.3188976377952756
PL,PL,24.0,74.0,74.0,34.0,40.0,60.0,70.58823529411765,3.160317036684486e-07,0.16216216216216217,0.32432432432432434
IN,IN,1992.0,5864.0,5864.0,2430.0,3434.0,58.008153756552126,81.9753086419753,7.289132456632293e-07,0.169849931787176,0.339699863574352
CN,CN,53.0,1595.0,1595.0,1451.0,144.0,36.80555555555556,3.652653342522398,1.895951606729555e-08,0.016614420062695926,0.03322884012539185
CA,CA,595.0,1996.0,1996.0,948.0,1048.0,56.77480916030534,62.763713080168785,7.914494304251038e-06,0.14904809619238477,0.29809619238476953
AU,AU,348.0,1203.0,1203.0,564.0,639.0,54.460093896713616,61.702127659574465,6.8600336685721395e-06,0.14463840399002495,0.2892768079800499
CN,AU,22.0,1595.0,1203.0,1451.0,639.0,3.4428794992175273,1.5161957270847692,1.5459433561983486e-08,0.007862759113652609,0.010526315789473684
IN,RU,1.0,5864.0,26.0,2430.0,7.0,14.285714285714285,0.0411522633744856,6.619047960369859e-10,0.00016977928692699492,0.0004103405826836274
US,GB,509.0,42365.0,4064.0,21479.0,1993.0,25.539387857501257,2.3697565063550443,1.2883664649214716e-06,0.01096297572637791,0.021685412406271302
DO,DO,3.0,7.0,7.0,3.0,4.0,75.0,100.0,1.3967835613101382e-07,0.21428571428571427,0.42857142857142855
HK,HK,235.0,1137.0,1137.0,469.0,668.0,35.17964071856288,50.10660980810234,1.565122412552948e-05,0.10334212840809147,0.20668425681618294
NL,NL,54.0,197.0,197.0,73.0,124.0,43.54838709677419,73.97260273972603,1.5577357445544155e-06,0.13705583756345177,0.27411167512690354
