Source,Destination,Number of Tweets,All Degree of Source,All Degree of Destination,Vi - Out Degree of Source,Vj - In Degree of Destination,Percentage of Incoming at Destination (Total Tweet / Vj),Percentage of Outgoing From Source (Total Tweet / Vi),Tweets Per Population,Cij (All Degrees),Cij
CH,CH,16.0,41.0,41.0,19.0,22.0,72.72727272727273,84.21052631578947,9.329628848705141e-07,0.1951219512195122,0.3902439024390244
GB,GB,225.0,634.0,634.0,330.0,304.0,74.01315789473685,68.18181818181817,1.683264779569744e-06,0.1774447949526814,0.3548895899053628
US,US,1047.0,2461.0,2461.0,1241.0,1220.0,85.81967213114754,84.36744560838034,1.5948719252800036e-06,0.2127184071515644,0.4254368143031288
NG,NG,63.0,158.0,158.0,78.0,80.0,78.75,80.76923076923077,1.56744804316527e-07,0.19936708860759494,0.3987341772151899
CA,CA,42.0,144.0,144.0,64.0,80.0,52.5,65.625,5.586701861824262e-07,0.14583333333333334,0.2916666666666667
IN,IN,52.0,123.0,123.0,65.0,58.0,89.65517241379311,80.0,1.9027855810485904e-08,0.21138211382113822,0.42276422764227645
AU,AU,25.0,91.0,91.0,45.0,46.0,54.347826086956516,55.55555555555556,4.928185106732859e-07,0.13736263736263737,0.27472527472527475
FI,FI,33.0,68.0,68.0,33.0,35.0,94.28571428571428,100.0,2.98896041058534e-06,0.2426470588235294,0.4852941176470588
GB,US,78.0,634.0,2461.0,330.0,1220.0,6.393442622950819,23.636363636363637,1.974314032689092e-07,0.025201938610662358,0.05032258064516129
AT,AT,1.0,2.0,2.0,1.0,1.0,100.0,100.0,5.632491001814e-08,0.25,0.5
PK,PK,2.0,7.0,7.0,3.0,4.0,50.0,66.66666666666666,4.617544532222837e-09,0.14285714285714285,0.2857142857142857
IL,IL,3.0,12.0,12.0,8.0,4.0,75.0,37.5,1.656854406680437e-07,0.125,0.25
US,AG,1.0,2461.0,1.0,1241.0,1.0,100.0,0.08058017727639001,3.045654596923284e-09,0.00040617384240454913,0.0008051529790660225
US,SE,4.0,2461.0,21.0,1241.0,12.0,33.33333333333333,0.32232070910556004,1.1815967162198396e-08,0.0016116035455278,0.0031923383878691143
KE,KE,13.0,31.0,31.0,18.0,13.0,100.0,72.22222222222221,1.2363532046550867e-07,0.20967741935483872,0.41935483870967744
ZA,ZA,68.0,163.0,163.0,76.0,87.0,78.16091954022988,89.47368421052632,5.806182457234478e-07,0.2085889570552147,0.4171779141104294
JP,JP,5.0,31.0,31.0,9.0,22.0,22.727272727272727,55.55555555555556,1.979963858690106e-08,0.08064516129032258,0.16129032258064516
TR,TR,1.0,5.0,5.0,1.0,4.0,25.0,100.0,5.993075720174425e-09,0.1,0.2
NL,NL,11.0,32.0,32.0,14.0,18.0,61.111111111111114,78.57142857142857,3.173165405573809e-07,0.171875,0.34375
SI,SI,1.0,3.0,3.0,1.0,2.0,50.0,100.0,2.394697947169132e-07,0.16666666666666666,0.3333333333333333
US,NG,11.0,2461.0,158.0,1241.0,80.0,13.750000000000002,0.8863819500402902,2.078596958844094e-08,0.004200076365024819,0.008327024981074944
KE,US,3.0,31.0,2461.0,18.0,1220.0,0.24590163934426232,16.666666666666664,7.87787205945033e-09,0.001203852327447833,0.0024232633279483036
DE,DE,9.0,30.0,30.0,17.0,13.0,69.23076923076923,52.94117647058824,5.413025970652089e-08,0.15,0.3
CA,US,9.0,144.0,2461.0,64.0,1220.0,0.7377049180327869,14.0625,2.4601672610316874e-08,0.00345489443378119,0.007009345794392523
GB,TR,1.0,634.0,5.0,330.0,4.0,25.0,0.30303030303030304,6.6549530619505585e-09,0.001564945226917058,0.0029940119760479044
US,ZA,13.0,2461.0,163.0,1241.0,87.0,14.942528735632186,1.04754230459307,3.360929207783768e-08,0.004954268292682927,0.009789156626506024
FR,FR,12.0,31.0,31.0,15.0,16.0,75.0,80.0,8.947226529027703e-08,0.1935483870967742,0.3870967741935484
