Source,Destination,Number of Tweets,All Degree of Source,All Degree of Destination,Vi - Out Degree of Source,Vj - In Degree of Destination,Percentage of Incoming at Destination (Total Tweet / Vj),Percentage of Outgoing From Source (Total Tweet / Vi),Tweets Per Population,Cij (All Degrees),Cij
CH,CH,37.0,161.0,161.0,84.0,77.0,48.05194805194805,44.047619047619044,2.1574766712630637e-06,0.11490683229813664,0.22981366459627328
GB,GB,2248.0,6215.0,6215.0,3143.0,3072.0,73.17708333333334,71.52402163538021,1.6817685442101266e-05,0.18085277554304102,0.36170555108608204
US,US,12773.0,28904.0,28904.0,14577.0,14327.0,89.15334682766803,87.6243397132469,1.9456828177269803e-05,0.2209555770827567,0.4419111541655134
CA,CA,802.0,2355.0,2355.0,1158.0,1197.0,67.00083542188806,69.2573402417962,1.0667940221864425e-05,0.170276008492569,0.340552016985138
PL,PL,50.0,143.0,143.0,62.0,81.0,61.72839506172839,80.64516129032258,6.583993826426012e-07,0.17482517482517482,0.34965034965034963
ZA,ZA,1046.0,2475.0,2475.0,1214.0,1261.0,82.95003965107058,86.16144975288303,8.9312747798048e-06,0.2113131313131313,0.4226262626262626
IE,IE,34.0,125.0,125.0,60.0,65.0,52.307692307692314,56.666666666666664,3.4402899233503403e-06,0.136,0.272
US,RU,2.0,28904.0,17.0,14577.0,3.0,66.66666666666666,0.013720244220347122,4.231791665815548e-09,6.915390200892085e-05,0.00013717421124828533
NG,NG,160.0,413.0,413.0,197.0,216.0,74.07407407407408,81.21827411167513,3.9808204270863996e-07,0.1937046004842615,0.387409200968523
BE,BE,37.0,117.0,117.0,65.0,52.0,71.15384615384616,56.92307692307692,1.6109292405861867e-06,0.1581196581196581,0.3162393162393162
FR,GB,16.0,131.0,6215.0,65.0,3072.0,0.5208333333333333,24.615384615384617,1.1949725235486513e-07,0.0025212732429877086,0.005100414408670704
IN,IN,928.0,2126.0,2126.0,1074.0,1052.0,88.212927756654,86.40595903165735,3.3957404215636383e-07,0.21825023518344308,0.43650047036688616
HK,HK,42.0,110.0,110.0,58.0,52.0,80.76923076923077,72.41379310344827,2.797240056477609e-06,0.19090909090909092,0.38181818181818183
AU,AU,454.0,1349.0,1349.0,641.0,708.0,64.12429378531074,70.82683307332293,8.949584153826871e-06,0.1682727946627131,0.3365455893254262
NL,NL,92.0,277.0,277.0,123.0,154.0,59.74025974025974,74.79674796747967,2.653920157389004e-06,0.16606498194945848,0.33212996389891697
DK,DK,16.0,46.0,46.0,19.0,27.0,59.25925925925925,84.21052631578947,1.3749122848928247e-06,0.17391304347826086,0.34782608695652173
DE,DE,42.0,196.0,196.0,122.0,74.0,56.75675675675676,34.42622950819672,2.526078786304308e-07,0.10714285714285714,0.21428571428571427
ID,ID,14.0,33.0,33.0,15.0,18.0,77.77777777777779,93.33333333333333,2.5865996519589753e-08,0.21212121212121213,0.42424242424242425
KE,KE,123.0,313.0,313.0,154.0,159.0,77.35849056603774,79.87012987012987,1.1697803397890435e-06,0.1964856230031949,0.3929712460063898
PH,PH,41.0,102.0,102.0,44.0,58.0,70.6896551724138,93.18181818181817,1.8961007981983158e-07,0.20098039215686275,0.4019607843137255
PR,PR,4.0,22.0,22.0,13.0,9.0,44.44444444444444,30.76923076923077,6.262340725191581e-07,0.09090909090909091,0.18181818181818182
NP,NP,15.0,35.0,35.0,18.0,17.0,88.23529411764706,83.33333333333334,2.621579232338683e-07,0.21428571428571427,0.42857142857142855
DE,ZA,5.0,196.0,2475.0,122.0,1261.0,0.3965107057890563,4.098360655737705,3.528803922003016e-08,0.0018719580681392737,0.0036153289949385392
JP,JP,63.0,168.0,168.0,87.0,81.0,77.77777777777779,72.41379310344827,2.4947544619495335e-07,0.1875,0.375
FI,FI,63.0,132.0,132.0,65.0,67.0,94.02985074626866,96.92307692307692,5.706197147481103e-06,0.23863636363636365,0.4772727272727273
CA,US,272.0,2355.0,28904.0,1158.0,14327.0,1.8985132965729044,23.488773747841105,7.435172166673543e-07,0.008701493969736716,0.01756538585728124
CN,NZ,1.0,52.0,71.0,31.0,39.0,2.564102564102564,3.225806451612903,7.129453769769975e-10,0.008130081300813009,0.014285714285714285
MX,MX,16.0,106.0,106.0,57.0,49.0,32.6530612244898,28.07017543859649,6.270795083279647e-08,0.07547169811320754,0.1509433962264151
CO,CO,13.0,39.0,39.0,16.0,23.0,56.52173913043478,81.25,1.291233993192972e-07,0.16666666666666666,0.3333333333333333
ZW,ZW,30.0,70.0,70.0,33.0,37.0,81.08108108108108,90.9090909090909,1.024207625184801e-06,0.21428571428571427,0.42857142857142855
UA,UA,3.0,23.0,23.0,3.0,20.0,15.0,100.0,3.379508306324491e-08,0.06521739130434782,0.13043478260869565
BG,BG,6.0,14.0,14.0,6.0,8.0,75.0,100.0,4.3006060557407287e-07,0.21428571428571427,0.42857142857142855
FR,FR,39.0,131.0,131.0,65.0,66.0,59.09090909090909,60.0,2.9078486219340035e-07,0.14885496183206107,0.29770992366412213
US,CA,294.0,28904.0,2355.0,14577.0,1197.0,24.561403508771928,2.016875900391027,8.036546386036845e-07,0.00940529127611248,0.018638265500190185
KR,KR,4.0,13.0,13.0,7.0,6.0,66.66666666666666,57.14285714285714,3.8677913120820633e-08,0.15384615384615385,0.3076923076923077
US,GB,601.0,28904.0,6215.0,14577.0,3072.0,19.563802083333336,4.12293338821431,1.5212342739053133e-06,0.017113243543381076,0.034052920845373674
NZ,NZ,21.0,71.0,71.0,32.0,39.0,53.84615384615385,65.625,2.1354484441732766e-06,0.14788732394366197,0.29577464788732394
TH,TH,2.0,7.0,7.0,3.0,4.0,50.0,66.66666666666666,1.4362537034160806e-08,0.14285714285714285,0.2857142857142857
IL,IL,80.0,217.0,217.0,122.0,95.0,84.21052631578947,65.57377049180327,4.418278417814499e-06,0.18433179723502305,0.3686635944700461
TR,TR,7.0,27.0,27.0,16.0,11.0,63.63636363636363,43.75,4.195153004122098e-08,0.12962962962962962,0.25925925925925924
US,ZA,134.0,28904.0,2475.0,14577.0,1261.0,10.626486915146709,0.9192563627632572,3.464342414177115e-07,0.00427037190477708,0.00846066422528097
IN,ZA,5.0,2126.0,2475.0,1074.0,1261.0,0.3965107057890563,0.4655493482309125,3.508830966828955e-09,0.0010867202782003911,0.0021413276231263384
GB,US,599.0,6215.0,28904.0,3143.0,14327.0,4.180917149438123,19.058224626153354,1.5161719302317514e-06,0.017056294313619408,0.03428734974241557
SE,SE,23.0,98.0,98.0,30.0,68.0,33.82352941176471,76.66666666666667,1.1180839579938774e-06,0.11734693877551021,0.23469387755102042
BD,BD,6.0,17.0,17.0,9.0,8.0,75.0,66.66666666666666,1.8399697248928172e-08,0.17647058823529413,0.35294117647058826
CG,CG,10.0,34.0,34.0,24.0,10.0,100.0,41.66666666666667,9.292802835717371e-07,0.14705882352941177,0.29411764705882354
US,HK,7.0,28904.0,110.0,14577.0,52.0,13.461538461538462,0.04802085477121493,2.0849036939647545e-08,0.00024126283862962707,0.0004785016063982501
KH,KH,4.0,10.0,10.0,5.0,5.0,80.0,80.0,1.2131106692962053e-07,0.2,0.4
CG,SS,1.0,34.0,2.0,24.0,2.0,50.0,4.166666666666666,6.081755457356829e-08,0.027777777777777776,0.038461538461538464
CN,CN,8.0,52.0,52.0,31.0,21.0,38.095238095238095,25.806451612903224,2.8618137460068754e-09,0.07692307692307693,0.15384615384615385
GR,GR,31.0,94.0,94.0,41.0,53.0,58.490566037735846,75.60975609756098,1.4463917750885052e-06,0.16489361702127658,0.32978723404255317
US,IT,20.0,28904.0,82.0,14577.0,47.0,42.5531914893617,0.13720244220347122,5.1475159816151215e-08,0.0006899882701994066,0.0013676148796498905
BS,BS,1.0,4.0,4.0,1.0,3.0,33.33333333333333,100.0,1.2837563738503962e-06,0.125,0.25
ZA,US,123.0,2475.0,28904.0,1214.0,14327.0,0.8585188804355413,10.131795716639209,3.1799560965954117e-07,0.0039198189872207525,0.007914548613345345
US,CO,6.0,28904.0,39.0,14577.0,23.0,26.08695652173913,0.041160732661041366,1.5848741052348905e-08,0.00020730401133261928,0.00041095890410958907
US,IR,4.0,28904.0,10.0,14577.0,7.0,57.14285714285714,0.027440488440694244,9.728728299138179e-09,0.0001383412879573909,0.00027427317608337906
AU,US,121.0,1349.0,28904.0,641.0,14327.0,0.8445592238430935,18.876755070202808,3.421908637132126e-07,0.0039996033451227975,0.008083912346338856
BE,CH,2.0,117.0,161.0,65.0,77.0,2.5974025974025974,3.076923076923077,9.970642937467069e-08,0.007194244604316547,0.014084507042253521
PA,PA,6.0,27.0,27.0,10.0,17.0,35.294117647058826,60.0,7.064742952860032e-07,0.1111111111111111,0.2222222222222222
US,MV,2.0,28904.0,5.0,14577.0,3.0,66.66666666666666,0.013720244220347122,6.083271297146523e-09,6.91826074924764e-05,0.00013717421124828533
US,IN,98.0,28904.0,2126.0,14577.0,1052.0,9.315589353612168,0.672291966797009,5.7828801923588e-08,0.0031582339671285854,0.006270394778936593
US,AU,155.0,28904.0,1349.0,14577.0,708.0,21.89265536723164,1.063318927076902,4.383436683929583e-07,0.005123458830529204,0.010140660778541054
GB,GI,2.0,6215.0,2.0,3143.0,2.0,100.0,0.06363347120585428,2.9909625375062964e-08,0.00032169856844137045,0.0006359300476947536
US,JP,14.0,28904.0,168.0,14577.0,81.0,17.28395061728395,0.09604170954242985,3.0802778447579307e-08,0.00048156301596037425,0.0009551098376313276
RU,RU,1.0,17.0,17.0,14.0,3.0,33.33333333333333,7.142857142857142,3.4632386053302635e-09,0.029411764705882353,0.058823529411764705
CZ,CZ,1.0,2.0,2.0,1.0,1.0,100.0,100.0,4.686163418327529e-08,0.25,0.5
IN,US,97.0,2126.0,28904.0,1074.0,14327.0,0.6770433447337195,9.031657355679702,5.7238712108041185e-08,0.0031260070899129873,0.006298292318680605
US,RO,5.0,28904.0,49.0,14577.0,28.0,17.857142857142858,0.034300610550867805,1.438451258425775e-08,0.00017269367595758642,0.00034234851078397807
FJ,FJ,1.0,3.0,3.0,2.0,1.0,100.0,50.0,5.618274223470228e-07,0.16666666666666666,0.3333333333333333
ZA,LC,1.0,2475.0,1.0,1214.0,1.0,100.0,0.08237232289950577,1.7023867121226616e-08,0.0004038772213247173,0.0008230452674897119
US,ZW,4.0,28904.0,70.0,14577.0,37.0,10.81081081081081,0.027440488440694244,1.166571913321222e-08,0.0001380548077586802,0.0002737101409607226
GB,PT,5.0,6215.0,57.0,3143.0,39.0,12.82051282051282,0.1590836780146357,6.484762843533229e-08,0.0007971938775510204,0.0015713387806411063
AT,AT,7.0,24.0,24.0,12.0,12.0,58.333333333333336,58.333333333333336,3.9427437012698e-07,0.14583333333333334,0.2916666666666667
US,MY,4.0,28904.0,24.0,14577.0,13.0,30.76923076923077,0.027440488440694244,1.1105271589133824e-08,0.00013827433628318584,0.00027416038382453733
US,UA,14.0,28904.0,23.0,14577.0,20.0,70.0,0.09604170954242985,3.757131727061835e-08,0.0004839769073875618,0.000959101185175036
BN,BN,3.0,6.0,6.0,3.0,3.0,100.0,100.0,3.461924599282228e-06,0.25,0.5
PT,PT,6.0,57.0,57.0,18.0,39.0,15.384615384615385,33.33333333333333,2.921295337408151e-07,0.05263157894736842,0.10526315789473684
AU,MX,2.0,1349.0,106.0,641.0,49.0,4.081632653061225,0.31201248049922,1.3077037692128818e-08,0.0013745704467353953,0.002898550724637681
US,FR,14.0,28904.0,131.0,14577.0,66.0,21.21212121212121,0.09604170954242985,3.541619250076796e-08,0.00048217668331324264,0.0009560882332855289
CA,ZA,5.0,2355.0,2475.0,1158.0,1261.0,0.3965107057890563,0.4317789291882556,5.2003414918648146e-08,0.0010351966873706005,0.002066969822240595
US,NZ,9.0,28904.0,71.0,14577.0,39.0,23.076923076923077,0.06174109899156205,2.701432923767187e-08,0.0003106125970664366,0.0006157635467980296
GH,GH,4.0,27.0,27.0,13.0,14.0,28.57142857142857,30.76923076923077,6.575085370908455e-08,0.07407407407407407,0.14814814814814814
IT,IT,14.0,82.0,82.0,35.0,47.0,29.78723404255319,40.0,1.160912487829491e-07,0.08536585365853659,0.17073170731707318
US,CL,1.0,28904.0,4.0,14577.0,2.0,50.0,0.006860122110173561,2.8802543389008235e-09,3.4592500345925e-05,6.859181013786954e-05
ES,ES,24.0,80.0,80.0,34.0,46.0,52.17391304347826,70.58823529411765,2.5490273007408896e-07,0.15,0.3
IL,US,23.0,217.0,28904.0,122.0,14327.0,0.16053605081314998,18.852459016393443,6.819000711438203e-08,0.0007898080423062395,0.0015918056612914389
RW,RW,5.0,11.0,11.0,6.0,5.0,100.0,83.33333333333334,1.9798922146678336e-07,0.22727272727272727,0.45454545454545453
MX,US,12.0,106.0,28904.0,57.0,14327.0,0.08375793955468695,21.052631578947366,2.632646716545903e-08,0.0004136504653567735,0.0008342602892102336
RO,RO,20.0,49.0,49.0,21.0,28.0,71.42857142857143,95.23809523809523,5.166211488993076e-07,0.20408163265306123,0.40816326530612246
CH,CA,3.0,161.0,2355.0,84.0,1197.0,0.2506265664160401,3.571428571428571,6.498557082047359e-08,0.0011923688394276629,0.00234192037470726
CF,CF,1.0,3.0,3.0,2.0,1.0,100.0,50.0,1.0536996976935567e-07,0.16666666666666666,0.3333333333333333
IN,FI,1.0,2126.0,132.0,1074.0,67.0,1.4925373134328357,0.0931098696461825,7.288958760782779e-10,0.0004428697962798937,0.0008764241893076249
US,KE,22.0,28904.0,313.0,14577.0,159.0,13.836477987421384,0.15092268642381834,5.777106176930242e-08,0.0007529862751138036,0.001492942453854506
US,TR,3.0,28904.0,27.0,14577.0,11.0,27.27272727272727,0.020580366330520683,7.287405644675749e-09,0.00010369499844457502,0.0002056484782012613
GB,AU,51.0,6215.0,1349.0,3143.0,708.0,7.203389830508475,1.6226535157492843,5.531530635699119e-07,0.0067424643046007406,0.013243313425084394
US,NG,35.0,28904.0,413.0,14577.0,216.0,16.203703703703702,0.24010427385607463,6.613717596322116e-08,0.0011938465736603336,0.0023659839113094033
IN,GB,19.0,2126.0,6215.0,1074.0,3072.0,0.6184895833333333,1.7690875232774672,1.3256564715909143e-08,0.002277904328018223,0.004582730342498794
NO,NO,13.0,55.0,55.0,26.0,29.0,44.827586206896555,50.0,1.2154312649311056e-06,0.11818181818181818,0.23636363636363636
CN,US,9.0,52.0,28904.0,31.0,14327.0,0.06281845466601522,29.03225806451613,5.214505874903634e-09,0.0003108164111065064,0.0006268282490597576
AG,AG,1.0,3.0,3.0,1.0,2.0,50.0,100.0,5.148376202145843e-06,0.16666666666666666,0.3333333333333333
GB,CO,2.0,6215.0,39.0,3143.0,23.0,8.695652173913043,0.06363347120585428,1.70686551149195e-08,0.0003197953309881676,0.0006317119393556538
IT,US,10.0,82.0,28904.0,35.0,14327.0,0.06979828296223912,28.57142857142857,2.5737579908075607e-08,0.0003449941350997033,0.0006962818548948615
NL,US,21.0,277.0,28904.0,123.0,14327.0,0.14657639422070218,17.073170731707318,6.076874669607921e-08,0.0007196463452246325,0.0014532871972318339
RU,CA,1.0,17.0,2355.0,14.0,1197.0,0.0835421888053467,7.142857142857142,5.495628867476685e-09,0.00042158516020236085,0.0008257638315441783
PE,PE,2.0,6.0,6.0,4.0,2.0,100.0,50.0,3.075933761981108e-08,0.16666666666666666,0.3333333333333333
KE,US,16.0,313.0,28904.0,154.0,14327.0,0.11167725273958261,10.38961038961039,4.201531765040176e-08,0.0005476263819009481,0.0011048960707133485
IR,IR,3.0,10.0,10.0,3.0,7.0,42.857142857142854,100.0,1.809105459342369e-08,0.15,0.3
BR,BR,6.0,20.0,20.0,8.0,12.0,50.0,75.0,1.4214672937883438e-08,0.15,0.3
AU,GB,29.0,1349.0,6215.0,641.0,3072.0,0.9440104166666666,4.5241809672386895,3.145380165397538e-07,0.0038339502908514016,0.007810395906275249
MC,MC,2.0,26.0,26.0,8.0,18.0,11.11111111111111,25.0,2.56647161482394e-05,0.038461538461538464,0.07692307692307693
TZ,TZ,1.0,3.0,3.0,1.0,2.0,50.0,100.0,8.619877751859339e-09,0.16666666666666666,0.3333333333333333
MY,MY,8.0,24.0,24.0,11.0,13.0,61.53846153846154,72.72727272727273,1.2519649198177502e-07,0.16666666666666666,0.3333333333333333
LB,LB,8.0,31.0,31.0,17.0,14.0,57.14285714285714,47.05882352941176,5.834549958552816e-07,0.12903225806451613,0.25806451612903225
CA,IN,1.0,2355.0,2126.0,1158.0,1052.0,0.09505703422053231,0.08635578583765112,7.122471530441412e-10,0.0002231644722160232,0.00045248868778280545
KR,US,2.0,13.0,28904.0,7.0,14327.0,0.013959656592447826,28.57142857142857,5.263869611465177e-09,6.916346785627831e-05,0.00013952839402818474
CN,IN,3.0,52.0,2126.0,31.0,1052.0,0.28517110266159695,9.67741935483871,1.085331374066124e-09,0.0013774104683195593,0.002770083102493075
US,PA,10.0,28904.0,27.0,14577.0,17.0,58.82352941176471,0.06860122110173561,3.0076457784404146e-08,0.0003456499948152501,0.0006852131012744963
NL,BE,1.0,277.0,117.0,123.0,52.0,1.9230769230769231,0.8130081300813009,3.4701852957491445e-08,0.0025380710659898475,0.005714285714285714
CL,CL,1.0,4.0,4.0,2.0,2.0,50.0,50.0,2.6382386949625153e-08,0.125,0.25
GB,JP,2.0,6215.0,168.0,3143.0,81.0,2.4691358024691357,0.06363347120585428,1.03573634245951e-08,0.00031333228889237035,0.0006203473945409429
GB,CH,10.0,6215.0,161.0,3143.0,77.0,12.987012987012985,0.3181673560292714,1.3260974912131787e-07,0.0015683814303638645,0.003105590062111801
US,BR,4.0,28904.0,20.0,14577.0,12.0,33.33333333333333,0.027440488440694244,7.417172664640604e-09,0.00013829345871940258,0.00027417917609157583
US,GU,7.0,28904.0,10.0,14577.0,10.0,70.0,0.04802085477121493,2.1315026478271917e-08,0.00024209725392543405,0.0004798793446219236
BB,BB,1.0,3.0,3.0,1.0,2.0,50.0,100.0,1.7420085358418255e-06,0.16666666666666666,0.3333333333333333
UG,UG,7.0,19.0,19.0,9.0,10.0,70.0,77.77777777777779,7.906103679197961e-08,0.18421052631578946,0.3684210526315789
US,TW,3.0,28904.0,17.0,14577.0,9.0,33.33333333333333,0.020580366330520683,8.51948606813697e-09,0.00010373085301338128,0.00020567667626491157
SA,SA,6.0,23.0,23.0,10.0,13.0,46.15384615384615,60.0,8.754388283033342e-08,0.13043478260869565,0.2608695652173913
EG,EG,4.0,16.0,16.0,6.0,10.0,40.0,66.66666666666666,1.9922685436944286e-08,0.125,0.25
CG,ZA,5.0,34.0,2475.0,24.0,1261.0,0.3965107057890563,20.833333333333336,7.819980544514004e-08,0.0019928258270227183,0.0038910505836575876
DE,CH,3.0,196.0,161.0,122.0,77.0,3.896103896103896,2.459016393442623,3.271265397750815e-08,0.008403361344537815,0.01507537688442211
CM,CM,1.0,3.0,3.0,2.0,1.0,100.0,50.0,1.9322640956733516e-08,0.16666666666666666,0.3333333333333333
US,NL,40.0,28904.0,277.0,14577.0,154.0,25.97402597402597,0.27440488440694244,1.1574999370681752e-07,0.0013707549432850142,0.0027153621614282807
CH,ES,1.0,161.0,80.0,84.0,46.0,2.1739130434782608,1.1904761904761905,1.7968931107172043e-08,0.004149377593360996,0.007692307692307693
US,MC,6.0,28904.0,26.0,14577.0,18.0,33.33333333333333,0.041160732661041366,1.8277164778086723e-08,0.00020739716557207052,0.00041109969167523125
MX,ZA,1.0,106.0,2475.0,57.0,1261.0,0.07930214115781126,1.7543859649122806,5.372479395856526e-09,0.0003874467260751647,0.0007587253414264037
US,MX,17.0,28904.0,106.0,14577.0,49.0,34.69387755102041,0.11662207587295054,3.729582848440029e-08,0.0005860048259220958,0.0011623136879529605
IQ,IQ,5.0,12.0,12.0,7.0,5.0,100.0,71.42857142857143,6.359740016880785e-08,0.20833333333333334,0.4166666666666667
GR,US,7.0,94.0,28904.0,41.0,14327.0,0.0488587980735674,17.073170731707318,2.0651657445234496e-08,0.0002413959583419546,0.00048719376391982185
PK,PK,10.0,34.0,34.0,11.0,23.0,43.47826086956522,90.9090909090909,2.3087722661114187e-08,0.14705882352941177,0.29411764705882354
TW,TW,4.0,17.0,17.0,8.0,9.0,44.44444444444444,50.0,8.370164148126125e-08,0.11764705882352941,0.23529411764705882
CA,ID,1.0,2355.0,33.0,1158.0,18.0,5.555555555555555,0.08635578583765112,3.244490214828404e-09,0.0004187604690117253,0.0008503401360544217
GB,NL,6.0,6215.0,277.0,3143.0,154.0,3.896103896103896,0.19090041361756285,7.128663041226662e-08,0.0009242144177449168,0.0018198362147406734
GB,CA,42.0,6215.0,2355.0,3143.0,1197.0,3.508771929824561,1.3363028953229399,4.0220767194471344e-07,0.004900816802800466,0.00967741935483871
US,RS,5.0,28904.0,11.0,14577.0,8.0,62.5,0.034300610550867805,1.4917157654468852e-08,0.00017292062943109114,0.00034281796366129587
CG,BE,1.0,34.0,117.0,24.0,52.0,1.9230769230769231,4.166666666666666,5.9295933135059594e-08,0.006622516556291391,0.013157894736842105
JP,CA,4.0,168.0,2355.0,87.0,1197.0,0.3341687552213868,4.597701149425287,2.4411947761385638e-08,0.0015854141894569957,0.003115264797507788
GB,MC,7.0,6215.0,26.0,3143.0,18.0,38.88888888888889,0.22271714922048996,1.0467545010331393e-07,0.0011216151257811247,0.002214489085732363
GB,IE,11.0,6215.0,125.0,3143.0,65.0,16.923076923076923,0.34998409163219857,1.53254892185253e-07,0.0017350157728706626,0.003428927680798005
MZ,ZA,1.0,2.0,2475.0,1.0,1261.0,0.07930214115781126,100.0,1.1245519307173452e-08,0.0004037141703673799,0.000792393026941363
US,LB,5.0,28904.0,31.0,14577.0,14.0,35.714285714285715,0.034300610550867805,1.492113125714506e-08,0.00017280110592707794,0.0003426769926667124
CU,CU,3.0,16.0,16.0,6.0,10.0,30.0,50.0,1.3235119336218176e-07,0.09375,0.1875
GB,PL,11.0,6215.0,143.0,3143.0,81.0,13.580246913580247,0.34998409163219857,1.0495654517555361e-07,0.0017301038062283738,0.003411910669975186
RU,SE,1.0,17.0,98.0,14.0,68.0,1.4705882352941175,7.142857142857142,6.465838247952327e-09,0.008695652173913044,0.012195121951219513
US,PR,5.0,28904.0,22.0,14577.0,9.0,55.55555555555556,0.034300610550867805,1.5085995439014793e-08,0.00017285487105026619,0.0003427944604415193
NZ,US,7.0,71.0,28904.0,32.0,14327.0,0.0488587980735674,21.875,2.1011144962633676e-08,0.00024158757549611734,0.00048749912946584025
CH,US,21.0,161.0,28904.0,84.0,14327.0,0.14657639422070218,25.0,6.234888652533827e-08,0.0007225184930328574,0.0014572201790299076
DE,MC,1.0,196.0,26.0,122.0,18.0,5.555555555555555,0.819672131147541,1.2023311325022651e-08,0.0045045045045045045,0.007142857142857143
US,PL,13.0,28904.0,143.0,14577.0,81.0,16.049382716049383,0.08918158743225629,3.549871906012543e-08,0.00044755052156849245,0.0008868877063719471
US,DE,22.0,28904.0,196.0,14577.0,74.0,29.72972972972973,0.15092268642381834,5.347953380295722e-08,0.0007560137457044674,0.0015016039860760357
US,BE,6.0,28904.0,117.0,14577.0,52.0,11.538461538461538,0.041160732661041366,1.7661417659977664e-08,0.00020674683849626133,0.0004101442340556429
DE,BE,1.0,196.0,117.0,122.0,52.0,1.9230769230769231,0.819672131147541,1.0568941554535305e-08,0.003194888178913738,0.005747126436781609
ZA,BW,1.0,2475.0,2.0,1214.0,2.0,50.0,0.08237232289950577,1.6430622427960636e-08,0.0004037141703673799,0.0008223684210526315
MC,AU,1.0,26.0,1349.0,8.0,708.0,0.14124293785310735,12.5,3.936500933285324e-08,0.0007272727272727272,0.0013966480446927375
ZA,AU,3.0,2475.0,1349.0,1214.0,708.0,0.423728813559322,0.2471169686985173,3.574723402499902e-08,0.0007845188284518828,0.0015608740894901144
GB,AR,6.0,6215.0,13.0,3143.0,10.0,60.0,0.19090041361756285,5.368017069793267e-08,0.0009633911368015414,0.0019029495718363464
RU,NL,2.0,17.0,277.0,14.0,154.0,1.2987012987012987,14.285714285714285,1.2368095421835074e-08,0.006802721088435374,0.011904761904761904
GB,SE,8.0,6215.0,98.0,3143.0,68.0,11.76470588235294,0.2545338848234171,1.0373463083918023e-07,0.0012672263583082528,0.002491435689816257
US,SE,27.0,28904.0,98.0,14577.0,68.0,39.705882352941174,0.18522329697468615,7.975777834483918e-08,0.0009309702779118681,0.0018436326391259815
