2020-12-18T00:55:03,8,1408,,1339735819708489730
2020-02-21T02:46:42,200,55,"Cave Creek, AZ",1230685162028974080
2010-04-18T00:39:57,5970,13,Bogotá D.C. / Colombia,134285389
2020-04-11T22:59:43,0,15,,1249109845883535364
2020-04-12T03:17:06,0,0,,1249174597481558016
2017-07-23T03:47:27,80,60044,"New York, NY",888968778255667201
2018-02-08T04:07:56,73,34700,,961451506426892288
2012-03-26T05:24:29,547,161,"Blitar, Jawa Timur",536948177
2021-07-04T16:52:53,1,49,,1411729594844069888
2021-02-03T07:10:27,131,5,,1356862563909210118
2020-12-17T04:11:23,2725,53365,she/her | 17,1339422885841154048
2011-03-18T22:33:54,221,279,Wolverhampton,268503283
2018-07-05T09:17:48,50,4047,,1014800502511398912
2014-12-31T10:26:05,582,3288,Pozoblanco (Córdoba) España,2952900262
2016-08-07T16:25:12,206,3372,Yo momma house 😗,762323718995529729
2020-04-13T15:17:04,62,478,he/him | 19,1249718223840387079
2016-06-21T02:26:38,45,2741,"São José, Brasil",745080455687450625
2018-10-12T05:49:34,61,30274,19 she/her,1050624496304979968
2017-01-05T18:56:37,63,4068,َ,817082393005883393
2020-12-17T04:49:33,1,830,Perú ,1339432451270205442
2020-02-23T16:13:26,1,16,,1231612929591644162
2013-04-10T16:13:18,896,19786,mansoura . egypt,1342268442
2019-09-26T20:34:45,3,53,,1177320574810566656
2016-03-12T11:59:59,1,0,India,708623568397938688
2017-07-22T05:19:57,170,742,"Indian Springs Village, AL",888629665488748544
2019-09-26T03:05:58,86,1909,,1177056636856233984
2011-03-18T23:25:18,171,548,España,268521861
2020-09-09T09:06:05,60,157,"Mzantsi, South Africa",1303620609415487488
2017-06-03T11:12:58,99,9065,"London, England",870961503347892229
2014-06-06T15:08:24,786,45673,,2550255992
2020-04-11T07:57:08,0,0,,1248882694861160449
2018-07-06T02:24:57,192,69,"Calpulalpan, Tlaxcala",1015058992836628481
2010-04-18T02:02:08,13,404,Eastern US,134306240
2013-01-09T13:41:10,2093,2199,Italië,1073812616
2013-07-21T14:40:27,9,47,Trans nzoia county,1610692375
2014-12-31T02:18:21,675,22940,shanikoleen,2952915458
2015-10-07T18:43:53,200,1290,,3892425929
2020-04-11T14:03:31,0,130,,1248974799092584448
2013-04-10T16:07:49,12603,1695,El Salvador,1342255830
2020-06-01T05:03:28,0,19,,1267320800354480129
2014-03-16T20:31:13,147,742,,2416048246
2021-02-05T08:06:37,5,146,,1357601392639229953
2010-04-18T02:14:49,1311,19762,French America,134309410
2012-11-10T18:12:11,78,460,,939608292
2020-05-31T13:47:31,35,1662,,1267090270132162560
2021-05-13T09:56:49,3,195,"Patna, India",1392780813175975940
2014-12-31T11:02:51,3,825,,2952907211
2011-11-01T14:25:25,569,2805,,402744511
2020-01-03T05:05:01,1,0,,1212962984097509377
2017-06-03T14:22:18,5562,69246,"Uttar Pradesh, India",871009147151687680
2021-05-14T23:07:02,6,21,,1393342052927254531
2018-03-28T10:35:33,1436,24375,,978943667384631298
2017-01-05T23:31:15,230,22227,Portugal,817151503592984577
2011-03-19T00:20:10,212,5601,,268541403
2020-06-01T03:33:39,108,9655,,1267298074071896064
2018-05-18T08:26:55,0,6,,997393080587255808
2020-06-01T10:22:04,81,302,,1267400955852709895
2017-01-05T00:05:48,156,7369,"Avondale, AZ",816797810888556544
2020-02-23T14:05:25,0,18,,1231580742972530688
2018-08-25T00:42:59,50,2171,"Córdoba, Argentina",1033152726241366016
2011-11-01T15:02:18,243,1477,,402766307
2016-06-19T18:16:13,340,10348,,744594649117921280
2020-09-08T07:45:10,43,3,,1303237812670656512
2020-06-01T10:41:08,99,14823,"Charon, Plutosystem",1267405758431461382
2013-04-10T16:23:21,416,4607,"Texas, USA",1342307744
2017-09-10T16:44:51,21,418,,906921419703013376
2016-04-30T06:27:49,80,3756,"台南市, 台灣",726296982747156482
2014-03-28T14:25:40,8,276,"Brasília, Brasil",2415994399
2018-05-18T11:44:08,9,45,"Lahore, Pakistan",997442711484534784
2019-01-20T04:55:36,38,323,,1086849704065814529
2018-12-03T12:26:32,161,4520,"Maumelle, AR",1069568566662438913
2018-10-14T15:30:07,3,487,,1051495373133504514
2011-11-01T15:16:59,6,157,West Vancouver,402775082
2020-06-01T13:19:24,0,2,,1267445527010070529
2011-11-01T15:12:31,4,0,,402772413
2021-02-04T22:18:35,1,0,,1357453444303507457
2014-10-09T06:36:38,2944,2717,🏎⛽️🚀,2818664333
2020-02-23T08:08:13,0,1,,1231490837093195778
2013-10-21T19:21:19,334,294,"Charlton, SE7",2147571020
2016-01-21T07:31:19,48,653,"Banten, Indonesia",4831967265
2011-11-01T15:06:09,48,405,colombia,402768591
2015-05-20T10:46:50,32,2287,,3221298650
2015-05-20T10:48:33,26,58,"Islamabad, Pakistan",3221299334
2020-01-03T08:52:52,1,18,Maldives,1213020308220694530
2020-09-08T14:01:26,1,1,,1303332534013616129
2018-07-05T20:09:06,1421,54911,"Orange County, California",1014964406650671104
2018-02-06T22:28:01,84,28789,United States,961003575831941120
2020-09-07T18:49:51,38,2044,"California, USA",1303042716331208704
2021-02-04T05:47:02,9,296,,1357203227159089153
2016-01-02T18:35:29,157,169,,4697746434
2017-01-05T14:29:06,412,8518,"Mount Dora, FL",817015066843381761
2019-05-01T15:48:12,59,12769,"Rio de Janeiro, Brasil",1123615107311906816
2016-06-19T18:50:59,28,45,Skull Town,744603397160996864
2010-04-18T04:46:42,202,39140,"Edinburg, Texas",134346599
2018-05-18T09:31:04,997,16427,Costa Leona,997409222684950528
2016-03-11T14:09:15,1590,1555,,708293714507079680
2015-04-29T13:50:15,7,145,U.P .   Allahabad,3221407809
2017-09-11T12:45:51,3095,109577,,907223664470368256
2019-09-25T02:36:09,4,4177,,1176686756420292608
2020-07-20T15:58:06,367,9097,"she/her, 17 ",1285242519110868993
2020-04-12T02:36:21,58,25,,1249164383378440192
2010-04-18T05:32:07,436,3903,"Quintana Roo, México",134356845
2020-02-21T00:12:38,214,104966,,1230646426255925249
2020-09-09T15:02:26,242,15932,,1303709783808122880
2016-11-16T10:27:01,7,41,,798834752937566212
2011-03-19T02:07:29,339,1204,Kuwait,268579531
2011-11-01T15:58:34,48,79,,402800016
2019-11-13T17:27:22,19,665,,1194668060734578689
2018-03-27T17:55:09,6,17,,978691911837016064
2010-04-18T05:40:01,5,92,Chicago,134358515
2011-03-19T01:54:39,40,316,"Midland, Michigan",268574915
2019-06-18T20:15:58,3,149,"Elizabeth City, NC",1141077113170255874
2020-09-07T13:01:06,7,211,,1302954875257577474
2011-03-19T02:00:35,271,3052,,268577100
2012-11-10T18:32:52,2053,2821,,939656246
2014-07-27T08:48:57,688,7547,plm,2684526384
2018-05-18T00:09:45,404,7507,"Pahoa, HI",997267962015854592
2019-04-30T02:08:55,66,356,,1123046543031001089
2013-10-21T19:58:39,103,117,venezuela caracas,2147665914
2018-02-07T00:09:02,33,414,,961028997072089089
2017-04-13T19:22:37,18,1321,,852602944004517889
2011-11-01T16:03:46,150,88,"Manhattan, NY",402802962
2020-06-01T04:56:17,17,769,"West Java, Indonesia",1267318952176152576
2010-04-18T06:51:17,257,3421,,134373044
2020-01-04T17:22:11,35,7522,,1213510918979538945
2010-04-18T06:38:34,126,1774,"San Diego, CA",134370459
2021-10-09T13:08:09,2,9,,1446824696046047239
2018-05-15T16:16:40,28,132,Brasil,996424130059755522
2011-03-19T02:55:57,130,318,Philippines,268596528
2019-08-06T12:35:44,207,13742,"Wiesbaden, Deutschland",1158718294460903424
2020-12-16T05:15:20,0,0,,1339076534041276416
2015-09-20T06:21:41,7057,4789,शिवपालगंज,3624056245
2020-04-12T19:49:03,0,115,,1249424074012418048
2020-07-20T10:53:24,49,23,"Manistique, MI",1285165819719299072
2011-11-01T16:19:53,48,11060,はばタン,402812492
2019-09-26T16:06:52,29,174,Fai Chai Station BL03 ,1177253168519897088
2020-01-04T03:00:56,333,29899,,1213294132786950144
2017-04-13T21:49:49,761,131443,,852639991050252289
2018-03-27T21:21:41,1192,1137,,978743886981074945
2020-09-07T15:49:50,67,28796,,1302997475024924672
2020-01-04T13:10:32,3,124,,1213447582036328448
2021-07-02T12:03:14,3,29,,1410932016195977222
2020-07-19T22:51:13,180,777,,1284984101263626242
2013-04-10T16:43:19,59,1734,"Marseille, France",1342357801
2021-07-02T20:16:22,0,11,,1411056089882374144
2019-06-17T15:58:07,80,562,,1140649835193872399
2019-08-06T11:34:32,1123,2326,here,1158702895124111360
2019-09-26T12:53:15,126,14784,,1177204443189669888
2017-04-13T20:07:29,279,7743,baradero ,852614234802462720
2010-04-18T08:29:51,1348,131302,Pakistan,134392546
2020-05-31T08:40:30,768,3885,India,1267013008636751872
2013-02-22T12:09:21,4,18,,1208148032
2020-05-30T13:51:03,17,448,,1266728781257019397
2021-03-26T08:27:39,712,7746,,1375363756432052227
2011-11-01T16:45:56,56,503,,402827531
2020-12-16T05:19:41,7,1628,United States of America,1339077617849421824
2020-07-20T10:00:18,18,655,,1285151906978058240
2012-09-05T22:01:06,573,49506,,805472718
2021-02-05T08:12:41,160,974,,1357602951712313344
2019-11-15T13:06:27,81,177,,1195327168026304513
2021-10-09T18:36:49,25,700,,1446907428524670979
2015-12-09T18:41:41,11,870,,4429368743
2020-12-16T11:28:46,196,8111,,1339170563626049537
2011-03-19T04:13:31,5,8567,,268622673
2018-10-12T09:40:19,11,243,"Ghaziabad, India",1050682568557899776
2015-03-15T22:23:33,117,4660,,3087165679
2011-03-19T03:55:17,1104,369,"Magelang, Jawa Tengah",268616627
2012-03-26T09:16:12,572,1618,Australia,537065065
2010-04-18T09:21:08,258,313,"Melbourne, Victoria",134402392
2020-10-27T12:52:52,234,14596,,1321072216755347456
2013-02-22T12:08:38,45,304,,1208129292
2020-01-04T10:23:28,0,354,,1213405512026320897
2021-02-05T09:23:04,0,97,,1357620596377485314
