createdAt,followers,favourites,location,userId
2019-08-07T11:35:09,0,33,"['none', 'none', 'none', 'none', 'none']",1159065438682173440
2020-01-02T15:02:07,26,752,"['none', 'none', 'none', 'none', 'none']",1212750830027173888
2014-03-28T13:45:36,209,441,"['none', 'none', 'none', 'none', 'none']",2415929634
2017-12-20T05:19:28,353,7045,"['none', 'none', 'none', 'none', 'none']",943350113619140609
2020-10-27T10:08:40,2,0,"['none', 'none', 'none', 'none', 'none']",1321030905478090752
2015-07-02T17:21:41,107,4294,"['US', 'United States', 'NC', 'North Carolina', 'Charlotte']",3355445560
2006-12-08T10:45:41,939,2291,"['none', 'none', 'none', 'none', 'none']",50153
2011-03-18T21:58:14,394,10068,"['US', 'United States', 'GA', 'Georgia', 'Athens']",268490383
2020-02-22T23:54:12,136,129,"['US', 'United States', 'IL', 'Illinois', 'Chicago']",1231366573891424256
2012-11-10T18:00:35,111,104,"['none', 'none', 'none', 'none', 'none']",939586602
2020-01-02T21:28:27,2,208,"['none', 'none', 'none', 'none', 'none']",1212848109157404672
2017-01-06T02:20:54,18,221,"['none', 'none', 'none', 'none', 'none']",817194200131371008
2021-03-26T20:00:42,2,0,"['none', 'none', 'none', 'none', 'none']",1375538143244476422
2016-09-27T02:12:06,91,14599,"['none', 'none', 'none', 'none', 'none']",780590810299441152
2017-10-30T22:08:41,92,203,"['none', 'none', 'none', 'none', 'none']",925122310260035584
2020-07-21T08:31:51,46,45,"['none', 'none', 'none', 'none', 'none']",1285492583247028225
2019-09-26T19:26:43,8,37,"['none', 'none', 'none', 'none', 'none']",1177303422187520000
2014-03-28T13:57:11,2,59,"['none', 'none', 'none', 'none', 'none']",2415948314
2019-11-13T14:52:49,130,160,"['none', 'none', 'none', 'none', 'none']",1194629107796983808
2013-06-02T05:03:39,142,2654,"['none', 'none', 'none', 'none', 'none']",1476444103
2013-01-09T13:34:25,139,13103,"['none', 'none', 'none', 'none', 'none']",1073785506
2014-06-06T14:29:31,88273,273,"['US', 'United States', 'CA', 'California', 'Los Angeles']",2550166808
2019-09-26T12:29:27,6,11,"['none', 'none', 'none', 'none', 'none']",1177198420706115584
2013-10-21T21:29:53,550,2609,"['none', 'none', 'none', 'none', 'none']",2147512947
2020-02-22T20:06:32,123,4232,"['none', 'none', 'none', 'none', 'none']",1231309257821294595
2017-02-24T05:16:36,1686,9326,"['none', 'none', 'none', 'none', 'none']",834995418882789378
2020-12-18T00:55:03,8,1408,"['none', 'none', 'none', 'none', 'none']",1339735819708489730
2020-02-21T02:46:42,200,55,"['none', 'none', 'none', 'none', 'none']",1230685162028974080
2010-04-18T00:39:57,5970,13,"['none', 'none', 'none', 'none', 'none']",134285389
2020-04-11T22:59:43,0,15,"['none', 'none', 'none', 'none', 'none']",1249109845883535364
2020-04-12T03:17:06,0,0,"['none', 'none', 'none', 'none', 'none']",1249174597481558016
2017-07-23T03:47:27,80,60044,"['US', 'United States', 'NY', 'New York', 'New York']",888968778255667201
2018-02-08T04:07:56,73,34700,"['none', 'none', 'none', 'none', 'none']",961451506426892288
2012-03-26T05:24:29,547,161,"['none', 'none', 'none', 'none', 'none']",536948177
2021-07-04T16:52:53,1,49,"['none', 'none', 'none', 'none', 'none']",1411729594844069888
2021-02-03T07:10:27,131,5,"['none', 'none', 'none', 'none', 'none']",1356862563909210118
2020-12-17T04:11:23,2725,53365,"['none', 'none', 'none', 'none', 'none']",1339422885841154048
2011-03-18T22:33:54,221,279,"['none', 'none', 'none', 'none', 'none']",268503283
2018-07-05T09:17:48,50,4047,"['none', 'none', 'none', 'none', 'none']",1014800502511398912
2014-12-31T10:26:05,582,3288,"['none', 'none', 'none', 'none', 'none']",2952900262
2016-08-07T16:25:12,206,3372,"['none', 'none', 'none', 'none', 'none']",762323718995529729
2020-04-13T15:17:04,62,478,"['none', 'none', 'none', 'none', 'none']",1249718223840387079
2016-06-21T02:26:38,45,2741,"['none', 'none', 'none', 'none', 'none']",745080455687450625
2018-10-12T05:49:34,61,30274,"['none', 'none', 'none', 'none', 'none']",1050624496304979968
2017-01-05T18:56:37,63,4068,"['none', 'none', 'none', 'none', 'none']",817082393005883393
2020-12-17T04:49:33,1,830,"['none', 'none', 'none', 'none', 'none']",1339432451270205442
2020-02-23T16:13:26,1,16,"['none', 'none', 'none', 'none', 'none']",1231612929591644162
2013-04-10T16:13:18,896,19786,"['none', 'none', 'none', 'none', 'none']",1342268442
2019-09-26T20:34:45,3,53,"['none', 'none', 'none', 'none', 'none']",1177320574810566656
2016-03-12T11:59:59,1,0,"['IN', 'India', None, None, None]",708623568397938688
2017-07-22T05:19:57,170,742,"['US', 'United States', 'AL', 'Alabama', 'Indian Springs Village']",888629665488748544
2019-09-26T03:05:58,86,1909,"['none', 'none', 'none', 'none', 'none']",1177056636856233984
2011-03-18T23:25:18,171,548,"['none', 'none', 'none', 'none', 'none']",268521861
2020-09-09T09:06:05,60,157,"['none', 'none', 'none', 'none', 'none']",1303620609415487488
2017-06-03T11:12:58,99,9065,"['none', 'none', 'none', 'none', 'none']",870961503347892229
2014-06-06T15:08:24,786,45673,"['none', 'none', 'none', 'none', 'none']",2550255992
2020-04-11T07:57:08,0,0,"['none', 'none', 'none', 'none', 'none']",1248882694861160449
2018-07-06T02:24:57,192,69,"['none', 'none', 'none', 'none', 'none']",1015058992836628481
2010-04-18T02:02:08,13,404,"['none', 'none', 'none', 'none', 'none']",134306240
2013-01-09T13:41:10,2093,2199,"['none', 'none', 'none', 'none', 'none']",1073812616
2013-07-21T14:40:27,9,47,"['none', 'none', 'none', 'none', 'none']",1610692375
2014-12-31T02:18:21,675,22940,"['none', 'none', 'none', 'none', 'none']",2952915458
2015-10-07T18:43:53,200,1290,"['none', 'none', 'none', 'none', 'none']",3892425929
2020-04-11T14:03:31,0,130,"['none', 'none', 'none', 'none', 'none']",1248974799092584448
2013-04-10T16:07:49,12603,1695,"['none', 'none', 'none', 'none', 'none']",1342255830
2020-06-01T05:03:28,0,19,"['none', 'none', 'none', 'none', 'none']",1267320800354480129
2014-03-16T20:31:13,147,742,"['none', 'none', 'none', 'none', 'none']",2416048246
2021-02-05T08:06:37,5,146,"['none', 'none', 'none', 'none', 'none']",1357601392639229953
2010-04-18T02:14:49,1311,19762,"['none', 'none', 'none', 'none', 'none']",134309410
2012-11-10T18:12:11,78,460,"['none', 'none', 'none', 'none', 'none']",939608292
2020-05-31T13:47:31,35,1662,"['none', 'none', 'none', 'none', 'none']",1267090270132162560
2021-05-13T09:56:49,3,195,"['none', 'none', 'none', 'none', 'none']",1392780813175975940
2014-12-31T11:02:51,3,825,"['none', 'none', 'none', 'none', 'none']",2952907211
2011-11-01T14:25:25,569,2805,"['none', 'none', 'none', 'none', 'none']",402744511
2020-01-03T05:05:01,1,0,"['none', 'none', 'none', 'none', 'none']",1212962984097509377
2017-06-03T14:22:18,5562,69246,"['none', 'none', 'none', 'none', 'none']",871009147151687680
2021-05-14T23:07:02,6,21,"['none', 'none', 'none', 'none', 'none']",1393342052927254531
2018-03-28T10:35:33,1436,24375,"['none', 'none', 'none', 'none', 'none']",978943667384631298
2017-01-05T23:31:15,230,22227,"['none', 'none', 'none', 'none', 'none']",817151503592984577
2011-03-19T00:20:10,212,5601,"['none', 'none', 'none', 'none', 'none']",268541403
2020-06-01T03:33:39,108,9655,"['none', 'none', 'none', 'none', 'none']",1267298074071896064
2018-05-18T08:26:55,0,6,"['none', 'none', 'none', 'none', 'none']",997393080587255808
2020-06-01T10:22:04,81,302,"['none', 'none', 'none', 'none', 'none']",1267400955852709895
2017-01-05T00:05:48,156,7369,"['none', 'none', 'none', 'none', 'none']",816797810888556544
2020-02-23T14:05:25,0,18,"['none', 'none', 'none', 'none', 'none']",1231580742972530688
2018-08-25T00:42:59,50,2171,"['none', 'none', 'none', 'none', 'none']",1033152726241366016
2011-11-01T15:02:18,243,1477,"['none', 'none', 'none', 'none', 'none']",402766307
2016-06-19T18:16:13,340,10348,"['none', 'none', 'none', 'none', 'none']",744594649117921280
2020-09-08T07:45:10,43,3,"['none', 'none', 'none', 'none', 'none']",1303237812670656512
2020-06-01T10:41:08,99,14823,"['none', 'none', 'none', 'none', 'none']",1267405758431461382
2013-04-10T16:23:21,416,4607,"['none', 'none', 'none', 'none', 'none']",1342307744
2017-09-10T16:44:51,21,418,"['none', 'none', 'none', 'none', 'none']",906921419703013376
2016-04-30T06:27:49,80,3756,"['none', 'none', 'none', 'none', 'none']",726296982747156482
2014-03-28T14:25:40,8,276,"['none', 'none', 'none', 'none', 'none']",2415994399
2018-05-18T11:44:08,9,45,"['none', 'none', 'none', 'none', 'none']",997442711484534784
2019-01-20T04:55:36,38,323,"['none', 'none', 'none', 'none', 'none']",1086849704065814529
2018-12-03T12:26:32,161,4520,"['none', 'none', 'none', 'none', 'none']",1069568566662438913
2018-10-14T15:30:07,3,487,"['none', 'none', 'none', 'none', 'none']",1051495373133504514
2011-11-01T15:16:59,6,157,"['CA', 'Canada', 'BC', 'British Columbia', 'West Vancouver']",402775082
2020-06-01T13:19:24,0,2,"['none', 'none', 'none', 'none', 'none']",1267445527010070529
2011-11-01T15:12:31,4,0,"['none', 'none', 'none', 'none', 'none']",402772413
2021-02-04T22:18:35,1,0,"['none', 'none', 'none', 'none', 'none']",1357453444303507457
2014-10-09T06:36:38,2944,2717,"['none', 'none', 'none', 'none', 'none']",2818664333
2020-02-23T08:08:13,0,1,"['none', 'none', 'none', 'none', 'none']",1231490837093195778
2013-10-21T19:21:19,334,294,"['none', 'none', 'none', 'none', 'none']",2147571020
2016-01-21T07:31:19,48,653,"['none', 'none', 'none', 'none', 'none']",4831967265
2011-11-01T15:06:09,48,405,"['none', 'none', 'none', 'none', 'none']",402768591
2015-05-20T10:46:50,32,2287,"['none', 'none', 'none', 'none', 'none']",3221298650
2015-05-20T10:48:33,26,58,"['none', 'none', 'none', 'none', 'none']",3221299334
2020-01-03T08:52:52,1,18,"['none', 'none', 'none', 'none', 'none']",1213020308220694530
2020-09-08T14:01:26,1,1,"['none', 'none', 'none', 'none', 'none']",1303332534013616129
2018-07-05T20:09:06,1421,54911,"['none', 'none', 'none', 'none', 'none']",1014964406650671104
2018-02-06T22:28:01,84,28789,"['none', 'none', 'none', 'none', 'none']",961003575831941120
2020-09-07T18:49:51,38,2044,"['US', 'United States', 'CA', 'California', None]",1303042716331208704
2021-02-04T05:47:02,9,296,"['none', 'none', 'none', 'none', 'none']",1357203227159089153
2016-01-02T18:35:29,157,169,"['none', 'none', 'none', 'none', 'none']",4697746434
2017-01-05T14:29:06,412,8518,"['none', 'none', 'none', 'none', 'none']",817015066843381761
2019-05-01T15:48:12,59,12769,"['none', 'none', 'none', 'none', 'none']",1123615107311906816
2016-06-19T18:50:59,28,45,"['none', 'none', 'none', 'none', 'none']",744603397160996864
2010-04-18T04:46:42,202,39140,"['none', 'none', 'none', 'none', 'none']",134346599
2018-05-18T09:31:04,997,16427,"['none', 'none', 'none', 'none', 'none']",997409222684950528
2016-03-11T14:09:15,1590,1555,"['none', 'none', 'none', 'none', 'none']",708293714507079680
2015-04-29T13:50:15,7,145,"['none', 'none', 'none', 'none', 'none']",3221407809
2017-09-11T12:45:51,3095,109577,"['none', 'none', 'none', 'none', 'none']",907223664470368256
2019-09-25T02:36:09,4,4177,"['none', 'none', 'none', 'none', 'none']",1176686756420292608
2020-07-20T15:58:06,367,9097,"['none', 'none', 'none', 'none', 'none']",1285242519110868993
2020-04-12T02:36:21,58,25,"['none', 'none', 'none', 'none', 'none']",1249164383378440192
2010-04-18T05:32:07,436,3903,"['none', 'none', 'none', 'none', 'none']",134356845
2020-02-21T00:12:38,214,104966,"['none', 'none', 'none', 'none', 'none']",1230646426255925249
2020-09-09T15:02:26,242,15932,"['none', 'none', 'none', 'none', 'none']",1303709783808122880
2016-11-16T10:27:01,7,41,"['none', 'none', 'none', 'none', 'none']",798834752937566212
2011-03-19T02:07:29,339,1204,"['none', 'none', 'none', 'none', 'none']",268579531
2011-11-01T15:58:34,48,79,"['none', 'none', 'none', 'none', 'none']",402800016
2019-11-13T17:27:22,19,665,"['none', 'none', 'none', 'none', 'none']",1194668060734578689
2018-03-27T17:55:09,6,17,"['none', 'none', 'none', 'none', 'none']",978691911837016064
2010-04-18T05:40:01,5,92,"['none', 'none', 'none', 'none', 'none']",134358515
2011-03-19T01:54:39,40,316,"['none', 'none', 'none', 'none', 'none']",268574915
2019-06-18T20:15:58,3,149,"['none', 'none', 'none', 'none', 'none']",1141077113170255874
2020-09-07T13:01:06,7,211,"['none', 'none', 'none', 'none', 'none']",1302954875257577474
2011-03-19T02:00:35,271,3052,"['none', 'none', 'none', 'none', 'none']",268577100
2012-11-10T18:32:52,2053,2821,"['none', 'none', 'none', 'none', 'none']",939656246
2014-07-27T08:48:57,688,7547,"['none', 'none', 'none', 'none', 'none']",2684526384
2018-05-18T00:09:45,404,7507,"['none', 'none', 'none', 'none', 'none']",997267962015854592
2019-04-30T02:08:55,66,356,"['none', 'none', 'none', 'none', 'none']",1123046543031001089
2013-10-21T19:58:39,103,117,"['none', 'none', 'none', 'none', 'none']",2147665914
2018-02-07T00:09:02,33,414,"['none', 'none', 'none', 'none', 'none']",961028997072089089
2017-04-13T19:22:37,18,1321,"['none', 'none', 'none', 'none', 'none']",852602944004517889
2011-11-01T16:03:46,150,88,"['none', 'none', 'none', 'none', 'none']",402802962
2020-06-01T04:56:17,17,769,"['ID', 'Indonesia', 'West Java', 'West Java', None]",1267318952176152576
2010-04-18T06:51:17,257,3421,"['none', 'none', 'none', 'none', 'none']",134373044
2020-01-04T17:22:11,35,7522,"['none', 'none', 'none', 'none', 'none']",1213510918979538945
