i,j,count
'ZW','ZA',510
'AU','ZA',507
'FR','IN',502
'CH','IN',500
'ES','MX',500
'DE','FR',499
'CU','IN',492
'KE','UG',485
'US','RO',485
'CH','CA',481
'US','MA',481
'IN','ID',479
'ZA','CA',476
'PE','PE',467
'CL','US',465
'IN',None,462
'CO','AU',458
'IN','NZ',457
'CA','HK',455
'US','KW',453
'GB','VE',452
'MX','ES',452
'US','SD',451
'BE','NL',447
'CA','MX',445
'ZA','MY',444
'NZ','AU',443
'US','SK',438
'IN','PL',436
'MX','IN',436
'JP','GB',436
'AU','NZ',435
'AU','IT',432
'NA','NA',428
'ES','VE',424
'NL','GB',421
'IN','TH',421
'IL','CO',420
'CO','CL',416
'IT','DE',415
'CA','NL',414
'IN','AE',411
'US','PY',411
'BE','CA',411
'AU','SE',410
'DE','AU',404
'NZ','GB',403
'DE','NG',403
'IL','ZA',403
'AU','MX',401
'ZA','NG',400
'TH','AU',398
'EG','US',397
'GB','DK',396
'CH','FR',395
'US',None,395
'CN','MY',393
'NG','DE',388
'BE','AU',385
'CG','KE',384
'AT','CH',382
'KE','IN',380
'IN','IT',380
'IT','CH',378
'SE','GB',374
'NG','ZA',373
'KR','PH',370
'JP','CA',369
'CN','MX',367
'TZ','TZ',366
'FR','CA',358
'GB','HR',357
'RW','RW',356
'AT','AT',355
'CA','ID',352
'OM','OM',352
'CO','DE',351
'US','EC',351
'KE','GB',349
'CO','IT',348
'PT','GB',347
'SE','ZA',347
'SG','SG',346
'KR','HK',344
'CN','VE',344
'HK','BR',343
'IL','DE',343
'US','HU',343
'AU','PH',340
'CH','IT',339
'CO','CA',338
'CA','IT',338
'MX','CA',337
'CM','CM',330
'ZA','DE',327
'HK','SE',325
'NL','DE',323
'US','HR',323
'CH','AU',322
'CH','NL',321
'IL','CA',320
'CN','JP',319
'PY','PY',319
'PK','AE',317
'PT','NG',316
'GB','IQ',315
'US','SV',315
'US','JM',315
'IT','CA',313
'VE','CU',312
'VG','US',311
'US','CM',309
'KR','VN',309
'MY','MX',309
'AU','NL',307
'SV','SV',306
'NL','BE',304
'HK','KE',304
'RU','ZA',303
'IT','AU',303
'CN','CA',300
'EG','MY',300
'ES','CL',299
'US','NP',299
'IQ','GB',298
'CN','GB',295
'GB','BM',294
'GB','BN',293
'AU','MY',291
'GB','JE',291
'JP','MY',290
'CA','SE',289
'CA','JP',289
'NG','UG',286
'MY','CA',285
'US','CR',284
'GB','AR',283
'IN','PH',283
'BD','GB',282
'FR','ES',281
'IL','VE',280
'BD','US',280
'IL','GB',277
'JP','ID',275
'GB','EG',274
'CG','US',274
'GB','ZW',269
'TH','TW',268
'ES','IN',268
'MX','MY',267
'BR','GB',267
'CA','CH',264
'US','UY',262
'CN','ID',261
'IL','IT',260
'IN','NL',258
'FR','CO',258
'IR','BR',257
'US','TZ',257
'GB','CN',254
'CL','GB',252
'ZA','BW',250
'SG','ID',250
'CN','CU',250
'AE','US',250
'US','MV',249
'AU','NG',249
'DE','BE',248
'DE','ZA',244
'KH','KH',244
'US','CZ',242
'GB','KR',242
'NO','GB',242
'RU','GB',239
'VI','US',238
'IN','CN',237
'ZA','IT',235
'FR','BR',235
'IL','SE',234
'TH','JP',234
'US','CW',234
'BM','GB',233
'FI','US',233
'TR','IN',233
'TH','CN',231
'FJ','AU',231
'US','IR',229
'CO','EC',226
'HK','SG',226
'TH','IN',226
'JE','JE',223
'CO','AR',223
'US','NA',222
'BS','US',222
'TR','GR',222
'FR','AU',221
'MR','MR',221
'TH','HK',220
'BE','FR',219
'VI','VI',219
'IN','CO',219
'TR','GB',217
'AG','IN',215
'CU','IT',212
'CA','KE',212
'ID','KR',211
'ES','IT',211
'JP','HK',211
'TH','CA',209
'CN','PK',209
'LT','TR',209
'HK','BE',209
'CA','CO',209
'PT','BR',208
'TR','NG',207
'LB','AU',207
'VE','CL',204
'IN','ZA',204
'US','MC',201
'IT','FR',201
'JP','AU',201
'RS','US',200
'ZA','MX',198
'NL','CA',198
'DK','GB',198
'US','QA',196
'IN','CH',196
'US','TN',196
'NG','EG',195
'HK','MX',195
'CN','TH',194
'JO','JO',194
'NG','NL',194
'US','GU',193
'NG','GH',192
'TR','IT',192
'CG','ZA',191
'CO','PY',188
'CO','GB',188
'IN','BR',187
'AU','AT',186
'QA','IN',186
'KE','AU',185
'ZA','ID',185
'BM','US',184
'BE','IE',184
'NG','TR',182
'NP','US',182
'RO','RO',182
'US','JO',182
'US','MU',181
'KR','JP',180
'KR','CO',180
'IT','ES',180
'GR','MX',178
'US','PG',178
'ZA','JP',178
'CH','BE',177
'KP','VE',177
'AT','NL',177
'CA','ES',176
'PL','DE',175
'MC','GB',175
'US','KH',174
'AU','ES',173
'BR','PT',172
'GH','NG',171
'TW','JP',171
'NL','IN',171
'IL','KE',171
'CA','BR',171
'AU','PK',171
'KR','AU',170
'IN','LB',170
'IT','PL',169
'MY','AU',169
'US','CD',169
'IQ','US',169
'AG','US',169
'CO','BE',169
'JP','DE',169
'CZ','US',168
'KP','US',167
'DK','CA',167
'CN','DE',167
'HR','GB',166
None,'US',166
'AU','NO',165
'CU','PA',165
'DK','BE',164
'MX','DE',164
'CN','AU',164
'FR','MA',160
'HK','IT',160
'US','TT',159
'GB','TW',159
'HR','US',159
'GB','RU',158
'FR','MX',157
'NZ','IN',156
'NG','MU',155
'MX','AR',155
'MY','JP',154
'PR','GB',154
'DE','JP',154
'TW','CN',154
'US','TC',153
'IT','TR',153
'GB','PR',152
'DO','US',151
'US','MZ',150
'DE','ES',150
'IN','MX',149
'CO','PR',149
'CH','NG',148
'CA','IL',146
'PE','US',146
'PK','MY',146
'KR','PL',145
'IT','CL',145
'BD','IN',145
'IQ','IN',144
'LB','LB',143
'IT','NL',142
'CH','JP',142
'PL','HK',141
'HK','VE',139
'US','BH',139
'MY','KR',137
'IT','CU',137
'US','HT',137
'ID','JP',136
'KE','HK',136
'GB','RS',135
'DE','ID',135
'CU','ES',134
'CH','SE',134
'SV','US',134
'DE','KE',134
'BE','NG',133
'AU','FR',133
'DE','PL',132
'SE','DE',132
'GB',None,132
'UY','US',132
'IN','BD',131
'SE','NO',131
'TH','LA',131
'MY','IT',131
'DE','MX',131
'CU','CA',131
'GB','HU',130
'ES','AR',130
'DE','SE',130
'ID','MX',129
'MA','FR',128
'BE','CH',128
'JO','US',128
'KE','TZ',128
'TR','HK',128
'JP','PH',128
'NG','GR',127
'ES','DE',127
'US','EE',127
'GB','QA',127
'NO','IN',127
'IT','NG',127
'US','VG',126
'LB','JO',126
'ZW','GB',125
'GR','CY',124
'KW','IN',124
'HK','FR',124
'ES','CA',124
'MV','IN',124
'PK','CA',124
'ID','CA',123
'NL','FR',123
'US','GS',123
'BE','NO',122
'JP','IN',121
'MY','NG',121
'PK','AU',120
'US','JE',120
'PH','PK',120
'NG','ZW',120
'GB','CM',119
'VN','ZA',119
'CA','IE',119
'ID','TH',119
'MX','PY',119
'MC','TR',119
'IN','ES',118
'TT','TT',118
'GB','MC',118
'NO','CA',118
'KW','US',118
'BE','ES',118
'CA','NO',117
'ID','PK',117
'DE','GR',116
'NL','ID',116
'PH','GB',116
'MY','SA',116
'MX','BR',116
'NL','NG',116
'UY','CO',116
'MX','VE',116
'DE','LI',116
'MC','US',115
'EG','IN',115
'LB','GB',115
'HR','HR',115
'SD','US',114
'IT','JP',114
'CA','PK',114
'AE','IN',114
'GH','GB',114
'MA','US',114
'DE','EG',113
'NG','IT',113
'KE','ZW',113
'GB','IL',113
'TR','CH',113
'US','LA',112
'GB','UG',112
'CN','ZA',112
'HK','NL',111
'IN','FR',111
'US','IS',110
'IL','MY',110
'ES','FR',110
'TR','CA',110
'MX','SE',110
'AE','SA',109
'ZA','PG',109
'AU','TW',109
'CU','FR',109
'HK','ES',109
'IT','CO',109
'DE','NO',109
'MX','IT',108
'IT','BE',108
'AR','MX',108
'ES','PR',108
'NG','IE',108
'DK','PL',107
'HK','DK',107
'NL','AU',107
'KR','MY',107
'TW','CA',106
'MX','NL',106
'FR','NL',106
'EG','FR',106
'PK','IT',106
'RO','US',106
'IL','BE',105
'CO','BR',105
'GB','NP',105
'US','DJ',105
'CN','KR',104
'CN','PL',104
'IT','GR',104
'NO','CO',104
'ES','JP',104
'ID','AU',104
'IN','CU',104
'CH','PL',104
'TZ','KE',104
'GB','IR',103
'PK',None,103
'RW','US',103
'US','GD',103
'NL','IT',103
'SG','IN',103
'NZ','CA',103
'MM','MM',103
'TW','HK',102
'KE','GH',102
'NL','CH',102
'TR','MY',101
'AT','IT',101
'MX','PR',100
'GB','CL',99
'NG','FR',99
'PR','ID',99
'PS','AU',99
'AR','ES',99
'DE','VE',98
'PH','AU',98
'CA','SA',98
'HU','US',98
'NG','ES',98
'US','HN',98
'JP','TW',97
'GB','LB',97
'CA','NZ',97
'DE','HK',97
'ZW','ID',97
'SE','CO',96
'BR','CA',96
'JP','CN',96
'IL','ES',96
'ID','SG',96
'MX','JP',96
'PL','CA',96
'NG','KE',95
'IE','CA',95
'KE','CA',95
'CH','MX',95
'FJ','IN',95
'TR','NL',95
'ZW','PK',94
'NP','MY',94
'SE','IN',94
'IT','AT',94
'IT','LB',93
'TW','IN',93
