i,j,count
'IT','ES',180
'TT','US',49
'KR','CO',180
'DK','US',756
'CH','IT',339
'US','PL',3884
'DE','SE',130
'PK','SA',550
'AT','CH',382
'FI','FI',536
'SG','SG',346
'MX','IN',436
'HK','PH',558
'IN','TH',421
'NL','GB',421
'NG','MU',155
'NG','NL',194
'CA','IN',2379
'IN','TW',91
'CA','NG',596
'AG','IN',215
'GB','DK',396
'RS','AT',52
'VN','VN',633
'GU','US',66
'SE','CA',81
'AE','AE',581
'CA','CU',82
'TW','IN',93
'TR','US',2312
'VC','US',85
'MX','ID',614
'US','CH',5215
'SE','AU',52
'BE','NG',133
'US','RS',1194
'CZ','VE',740
'CN','KR',104
'IT','BE',108
'NZ','US',1753
'CO','EG',14
'IL','US',2855
'ES','PR',108
'NG','KR',23
'GB','NO',1324
'MY','NG',121
'AU','PK',171
'IN','NP',1317
'IQ','IT',25
'SV','IN',11
'HK','SI',69
'US','CU',1523
'IN','LB',170
'GH','NG',171
'US','MA',481
'US','LB',978
'AU','MY',291
'KR','GB',539
'CN','TH',194
'CO','AU',458
'VN','US',898
'CG','CG',722
'NL','ID',116
'MR','FR',58
'BM','US',184
'HK','TH',82
'CN','DE',167
'US','NO',4785
'NL','MX',89
'VE','SV',12
'CA','MX',445
'NZ','IN',156
'US','VN',543
'GB','BR',807
'CG','ZA',191
'ZA','ES',45
'PR','US',1976
'GB','NL',1536
'IT','CA',313
'HR','US',159
'MY','DE',65
'CR','CR',81
'CA','CO',209
'DJ','DJ',1254
'VG','US',311
'IN','NG',1501
'US','MC',201
'SG','ID',250
'CH','AU',322
'FR','BE',81
'MV','US',25
'CA','PH',792
'US','GS',123
'CN','DO',73
'CA','JP',289
'ID','TC',33
'GB','VE',452
'US','BH',139
'GB','RS',135
'FR','GB',1035
'PR','GR',2
'US','RO',485
'TR','MY',101
'ZA','ZW',2122
'CA','MY',681
'ID','TL',21
'TH','JP',234
'CG','NG',703
'US','GR',3198
'CG','US',274
'PR','PR',2582
'KR','JP',180
'BE','IN',832
'AU','PH',340
'CN','PL',104
'UG','ZA',73
'US','CN',2765
'LB','AU',207
'CA','CH',264
'PR','GB',154
'IN','JP',947
'AR','US',518
'ZW','US',835
'IL','GB',277
'GB','RO',80
'AU','AT',186
'CA','FR',691
'KE','GB',349
'KE','TZ',128
'GR','NL',54
'CU','IE',16
'GB','ID',1431
'GB','AE',521
'US','DK',1560
'IT','SE',80
'AU','IT',432
'IN','CO',219
'AU','ZA',507
'JO','JO',194
'AT','US',967
'PE','VE',55
'RS','RS',644
'CU','IT',212
'PK','NL',28
'NL','CH',102
'LB','BD',26
'LB','US',1329
'US','UY',262
'US','ZW',696
'BE','CO',602
'MV','BE',1
'KW','KW',563
'US','LU',20
'KR','TH',633
'HK','BR',343
'IT','TR',153
'UY','US',132
'SG','CH',18
'IE','GB',1315
'KH','US',68
'PH','CA',614
'ES','DE',127
'TZ','AU',3
'IN','TJ',35
'KE','NG',882
'KR','MX',72
'NL','PH',23
'CN','VE',344
'EG','MY',300
'SA','US',589
'US','BD',801
'HK','MY',1059
'CA','IT',338
'BF','ES',47
'ZA','KE',1719
'IN','CU',104
'FR','KW',54
'IT','NL',142
'JP','IN',121
'HR','GB',166
'CA','ZA',1076
'AU','IE',80
'ZW','GH',34
'CO','DE',351
'SK','SK',3
'GB','BW',32
'KR','HK',344
'HU','GB',73
'KE','UG',485
