Country Code,Country Name,Connections,Latitude,Longitude,Population
CH,Switzerland,19.0,42.10269285,14.41590530501923,8574832
GB,United Kingdom,938.0,54.7023545,-3.2765753,66834405
US,United States,2807.0,50.5663266,13.820670539566608,328239523
CN,China,7.0,44.45807035,7.558136691151624,1397715000
IL,Israel,5.0,40.0796606,-89.4337288,9053300
CA,Canada,139.0,61.0666922,-107.991707,37589262
NG,Nigeria,262.0,8.16698,48.9978971,200963599
AU,Australia,189.0,47.7563917,7.0194428,25364307
IN,India,130.0,40.3270127,-86.1746933,1366417754
FI,Finland,36.0,38.0452481,-100.8199963,5520314
DE,Germany,29.0,38.6920451,-75.4013315,83132799
NZ,New Zealand,19.0,55.7385724,37.5457233,4917000
TW,"Taiwan, Province of China",1.0,51.225458950000004,7.320144326476649,
PL,Poland,14.0,52.215933,19.134422,37970874
KE,Kenya,31.0,1.4419683,38.4313975,52573973
ZA,South Africa,218.0,14.9661596,-89.5180314,58558270
ES,Spain,8.0,39.3260685,-4.8379791,47076781
AT,Austria,2.0,44.826012649999996,8.202686328987273,8877067
PK,Pakistan,6.0,49.9927121,22.177107,216565318
NO,Norway,24.0,61.1529386,8.7876653,5347896
NL,Netherlands,25.0,53.8217327,-61.2295532,17332850
JP,Japan,9.0,26.9207888,75.7866539,126264931
RU,Russian Federation,3.0,54.7023545,-3.2765753,144373535
IE,Ireland,12.0,52.865196,-7.9794599,4941444
HK,Hong Kong,10.0,22.350627,114.1849161,7507400
TR,Turkey,1.0,42.6539486,12.439652829139407,83429615
BE,Belgium,12.0,52.5170365,13.3888599,11484055
MX,Mexico,24.0,23.6585116,-102.0077097,127575529
IT,Italy,7.0,42.6384261,12.674297,60297396
SI,Slovenia,2.0,43.1672254,11.467181161339118,2087946
BR,Brazil,1.0,25.6440845,85.906508,211049527
SE,Sweden,17.0,-10.6743911,-37.3773519,10285453
FR,France,14.0,46.603354,1.8883335,67059887
BH,Bahrain,1.0,-19.9225776,-43.9451356,1641172
GH,Ghana,5.0,8.0300284,-1.0800271,30417856
PT,Portugal,8.0,43.9740957,10.868708114044026,10269417
RO,Romania,4.0,44.97720615,12.274190436964231,19356544
RS,Serbia,2.0,-29.8425284,-53.7680577,6944975
CO,Colombia,1.0,45.939475900000005,9.149410145408947,50339443
MU,Mauritius,1.0,0.6301215,127.9720219,1265711
DM,Dominica,1.0,46.07128725,14.523876695618853,71808
SG,Singapore,1.0,10.7763897,106.7011391,5703569
AR,Argentina,2.0,41.3787291,-0.7639373,44938712
PA,Panama,2.0,-3.6241814,-51.993035773868115,4246439
HU,Hungary,1.0,50.5180856,5.2408138,9769949
DK,Denmark,3.0,38.8790615,-97.1893341,5818553
MZ,Mozambique,1.0,52.5461934,21.2073404,30366036
IM,Isle of Man,1.0,5.5859456,7.0669651,84584
GU,Guam,1.0,13.4499943,144.7651677,167294
BS,Bahamas,1.0,47.5579097,7.5927728,389482
PH,Philippines,2.0,12.7503486,122.7312101,108116615
FJ,Fiji,2.0,-31.9591579,116.1417347,889953
NP,Nepal,1.0,9.6600005,-0.3943799,28608710
EC,Ecuador,1.0,50.8431406,4.383206,17373662
LB,Lebanon,2.0,52.1001754,15.3605075,6855713
MY,Malaysia,4.0,39.7837304,-100.445882,31949777
JM,Jamaica,1.0,49.1249179,16.682771628867208,2948279
EG,Egypt,1.0,56.1787643,10.4249793,100388073
ZW,Zimbabwe,1.0,-18.4554963,29.7468414,14645468
SA,Saudi Arabia,1.0,-30.5343665,135.6301212,34268528
UG,Uganda,1.0,1.5333554,32.2166578,44269594
NA,Namibia,1.0,19.1976001,105.060676,2494530
JE,Jersey,1.0,49.2214561,-2.1358386,
KW,Kuwait,1.0,-23.9028101,24.9214122,4207083
