Country Code,Country Name,Connections,Latitude,Longitude,Population
CH,Switzerland,16.0,46.7985624,8.2319736,8574832
GB,United Kingdom,225.0,54.7023545,-3.2765753,66834405
US,United States,1047.0,39.7837304,-100.445882,328239523
NG,Nigeria,63.0,9.6000359,7.9999721,200963599
CA,Canada,42.0,61.0666922,-107.991707,37589262
IN,India,52.0,22.3511148,78.6677428,1366417754
AU,Australia,25.0,-24.7761086,134.755,25364307
FI,Finland,33.0,63.2467777,25.9209164,5520314
AT,Austria,1.0,47.59397,14.12456,8877067
PK,Pakistan,2.0,30.3308401,71.247499,216565318
IL,Israel,3.0,40.0796606,-89.4337288,9053300
KE,Kenya,13.0,1.4419683,38.4313975,52573973
ZA,South Africa,68.0,-28.8166236,24.991639,58558270
JP,Japan,5.0,36.5748441,139.2394179,126264931
TR,Turkey,1.0,38.9597594,34.9249653,83429615
NL,Netherlands,11.0,52.24764975,5.541246849406163,17332850
SI,Slovenia,1.0,46.1199444,14.8153333,2087946
DE,Germany,9.0,51.1638175,10.4478313,83132799
FR,France,12.0,46.603354,1.8883335,67059887
BH,Bahrain,1.0,44.3053476,17.5961467,1641172
NO,Norway,15.0,61.1529386,8.7876653,5347896
PL,Poland,2.0,52.215933,19.134422,37970874
PT,Portugal,8.0,39.6621648,-8.1353519,10269417
IE,Ireland,2.0,52.865196,-7.9794599,4941444
BE,Belgium,5.0,50.6402809,4.6667145,11484055
SE,Sweden,7.0,59.6749712,14.5208584,10285453
RO,Romania,4.0,45.9852129,24.6859225,19356544
CO,Colombia,1.0,4.099917,-72.9088133,50339443
DM,Dominica,1.0,15.4113138,-61.3653618,71808
NZ,New Zealand,3.0,-41.5000831,172.8344077,4917000
AR,Argentina,1.0,-34.9964963,-64.9672817,44938712
PA,Panama,1.0,8.559559,-81.1308434,4246439
IT,Italy,1.0,42.6384261,12.674297,60297396
CN,China,2.0,35.000074,104.999927,1397715000
GH,Ghana,1.0,8.0300284,-1.0800271,30417856
PH,Philippines,1.0,12.7503486,122.7312101,108116615
MX,Mexico,1.0,23.6585116,-102.0077097,127575529
HK,Hong Kong,3.0,22.350627,114.1849161,7507400
MY,Malaysia,1.0,39.7837304,-100.445882,31949777
UG,Uganda,1.0,1.5333554,32.2166578,44269594
NA,Namibia,1.0,-23.2335499,17.3231107,2494530
DK,Denmark,1.0,55.670249,10.3333283,5818553
