Country Code,Country Name,Connections,Latitude,Longitude,Population
GB,United Kingdom,116.0,54.7023545,-3.2765753,66834405
US,United States,785.0,50.5663266,13.820670539566608,328239523
DE,Germany,8.0,38.6920451,-75.4013315,83132799
IN,India,42.0,40.3270127,-86.1746933,1366417754
FI,Finland,1.0,38.0452481,-100.8199963,5520314
MX,Mexico,2.0,23.6585116,-102.0077097,127575529
AU,Australia,24.0,47.7563917,7.0194428,25364307
CA,Canada,45.0,61.0666922,-107.991707,37589262
NL,Netherlands,4.0,53.8217327,-61.2295532,17332850
GL,Greenland,1.0,46.9796562,9.108812,56225
NZ,New Zealand,2.0,55.7385724,37.5457233,4917000
CO,Colombia,1.0,45.939475900000005,9.149410145408947,50339443
CH,Switzerland,3.0,42.10269285,14.41590530501923,8574832
MY,Malaysia,1.0,39.7837304,-100.445882,31949777
NG,Nigeria,13.0,8.16698,48.9978971,200963599
ES,Spain,2.0,39.3260685,-4.8379791,47076781
SI,Slovenia,1.0,43.1672254,11.467181161339118,2087946
ID,Indonesia,2.0,43.6447642,-114.015407,270625568
SE,Sweden,2.0,-10.6743911,-37.3773519,10285453
IE,Ireland,1.0,52.865196,-7.9794599,4941444
ZA,South Africa,22.0,14.9661596,-89.5180314,58558270
HK,Hong Kong,1.0,22.350627,114.1849161,7507400
SG,Singapore,1.0,10.7763897,106.7011391,5703569
PL,Poland,1.0,52.215933,19.134422,37970874
HU,Hungary,1.0,50.5180856,5.2408138,9769949
IT,Italy,1.0,42.6384261,12.674297,60297396
PA,Panama,1.0,-3.6241814,-51.993035773868115,4246439
LB,Lebanon,1.0,52.1001754,15.3605075,6855713
FR,France,1.0,46.603354,1.8883335,67059887
BN,Brunei Darussalam,1.0,4.4137155,114.5653908,433285
KE,Kenya,1.0,1.4419683,38.4313975,52573973
