Country Code,Country Name,Connections,Latitude,Longitude,Population
CH,Switzerland,3.0,42.10269285,14.41590530501923,8574832
GB,United Kingdom,713.0,54.7023545,-3.2765753,66834405
US,United States,1760.0,50.5663266,13.820670539566608,328239523
CN,China,5.0,44.45807035,7.558136691151624,1397715000
IL,Israel,2.0,40.0796606,-89.4337288,9053300
CA,Canada,97.0,61.0666922,-107.991707,37589262
NG,Nigeria,199.0,8.16698,48.9978971,200963599
AU,Australia,164.0,47.7563917,7.0194428,25364307
IN,India,78.0,40.3270127,-86.1746933,1366417754
FI,Finland,3.0,38.0452481,-100.8199963,5520314
DE,Germany,20.0,38.6920451,-75.4013315,83132799
NZ,New Zealand,16.0,55.7385724,37.5457233,4917000
TW,"Taiwan, Province of China",1.0,51.225458950000004,7.320144326476649,
PL,Poland,12.0,52.215933,19.134422,37970874
KE,Kenya,18.0,1.4419683,38.4313975,52573973
ZA,South Africa,150.0,14.9661596,-89.5180314,58558270
ES,Spain,8.0,39.3260685,-4.8379791,47076781
NO,Norway,9.0,61.1529386,8.7876653,5347896
NL,Netherlands,14.0,53.8217327,-61.2295532,17332850
RU,Russian Federation,3.0,54.7023545,-3.2765753,144373535
IE,Ireland,10.0,52.865196,-7.9794599,4941444
HK,Hong Kong,7.0,22.350627,114.1849161,7507400
PK,Pakistan,4.0,49.9927121,22.177107,216565318
BE,Belgium,7.0,52.5170365,13.3888599,11484055
MX,Mexico,23.0,23.6585116,-102.0077097,127575529
IT,Italy,6.0,42.6384261,12.674297,60297396
BR,Brazil,1.0,25.6440845,85.906508,211049527
SE,Sweden,10.0,-10.6743911,-37.3773519,10285453
FR,France,2.0,46.603354,1.8883335,67059887
GH,Ghana,4.0,8.0300284,-1.0800271,30417856
RS,Serbia,2.0,-29.8425284,-53.7680577,6944975
MU,Mauritius,1.0,0.6301215,127.9720219,1265711
SG,Singapore,1.0,10.7763897,106.7011391,5703569
JP,Japan,4.0,26.9207888,75.7866539,126264931
HU,Hungary,1.0,50.5180856,5.2408138,9769949
DK,Denmark,2.0,38.8790615,-97.1893341,5818553
MZ,Mozambique,1.0,52.5461934,21.2073404,30366036
IM,Isle of Man,1.0,5.5859456,7.0669651,84584
PA,Panama,1.0,-3.6241814,-51.993035773868115,4246439
GU,Guam,1.0,13.4499943,144.7651677,167294
AR,Argentina,1.0,41.3787291,-0.7639373,44938712
BS,Bahamas,1.0,47.5579097,7.5927728,389482
FJ,Fiji,2.0,-31.9591579,116.1417347,889953
NP,Nepal,1.0,9.6600005,-0.3943799,28608710
EC,Ecuador,1.0,50.8431406,4.383206,17373662
AT,Austria,1.0,44.826012649999996,8.202686328987273,8877067
LB,Lebanon,2.0,52.1001754,15.3605075,6855713
PH,Philippines,1.0,12.7503486,122.7312101,108116615
SI,Slovenia,1.0,43.1672254,11.467181161339118,2087946
MY,Malaysia,3.0,39.7837304,-100.445882,31949777
JM,Jamaica,1.0,49.1249179,16.682771628867208,2948279
EG,Egypt,1.0,56.1787643,10.4249793,100388073
ZW,Zimbabwe,1.0,-18.4554963,29.7468414,14645468
SA,Saudi Arabia,1.0,-30.5343665,135.6301212,34268528
JE,Jersey,1.0,49.2214561,-2.1358386,
KW,Kuwait,1.0,-18.256111,18.970201,4207083
