Country Code,Country Name,Connections,Latitude,Longitude,Population
US,United States,3423.0,50.5663266,13.820670539566608,328239523
GB,United Kingdom,503.0,54.7023545,-3.2765753,66834405
CA,Canada,152.0,61.0666922,-107.991707,37589262
DE,Germany,17.0,38.6920451,-75.4013315,83132799
IN,India,158.0,40.3270127,-86.1746933,1366417754
JP,Japan,5.0,26.9207888,75.7866539,126264931
AU,Australia,76.0,47.7563917,7.0194428,25364307
FI,Finland,7.0,38.0452481,-100.8199963,5520314
MX,Mexico,5.0,23.6585116,-102.0077097,127575529
NZ,New Zealand,5.0,55.7385724,37.5457233,4917000
FR,France,12.0,46.603354,1.8883335,67059887
NL,Netherlands,7.0,53.8217327,-61.2295532,17332850
PL,Poland,7.0,52.215933,19.134422,37970874
GL,Greenland,1.0,46.9796562,9.108812,56225
IL,Israel,2.0,40.0796606,-89.4337288,9053300
ZA,South Africa,165.0,14.9661596,-89.5180314,58558270
CO,Colombia,2.0,45.939475900000005,9.149410145408947,50339443
NP,Nepal,1.0,9.6600005,-0.3943799,28608710
CZ,Czechia,1.0,38.82996034999999,16.43155687627833,10669709
CH,Switzerland,4.0,42.10269285,14.41590530501923,8574832
GR,Greece,2.0,38.9953683,21.9877132,10716322
HK,Hong Kong,5.0,22.350627,114.1849161,7507400
MY,Malaysia,3.0,39.7837304,-100.445882,31949777
NG,Nigeria,38.0,8.16698,48.9978971,200963599
IE,Ireland,3.0,52.865196,-7.9794599,4941444
ES,Spain,3.0,39.3260685,-4.8379791,47076781
SD,Sudan,1.0,44.6471761,-100.348761,42813238
SI,Slovenia,2.0,43.1672254,11.467181161339118,2087946
KE,Kenya,16.0,1.4419683,38.4313975,52573973
ID,Indonesia,3.0,43.6447642,-114.015407,270625568
PH,Philippines,6.0,12.7503486,122.7312101,108116615
SE,Sweden,6.0,-10.6743911,-37.3773519,10285453
EG,Egypt,1.0,56.1787643,10.4249793,100388073
VN,Viet Nam,1.0,40.750214150000005,-73.96727182919946,96462106
PA,Panama,2.0,-3.6241814,-51.993035773868115,4246439
PF,French Polynesia,3.0,24.2962469,76.89388910776435,279287
RO,Romania,1.0,44.97720615,12.274190436964231,19356544
PK,Pakistan,1.0,49.9927121,22.177107,216565318
ER,Eritrea,1.0,52.865196,-7.9794599,3497117
SG,Singapore,1.0,10.7763897,106.7011391,5703569
RU,Russian Federation,1.0,54.7023545,-3.2765753,144373535
IT,Italy,3.0,42.6384261,12.674297,60297396
HU,Hungary,1.0,50.5180856,5.2408138,9769949
BR,Brazil,1.0,25.6440845,85.906508,211049527
CN,China,2.0,44.45807035,7.558136691151624,1397715000
NO,Norway,2.0,61.1529386,8.7876653,5347896
IQ,Iraq,1.0,33.0955793,44.1749775,39309783
HR,Croatia,1.0,29.0,76.0,4067500
LB,Lebanon,1.0,52.1001754,15.3605075,6855713
QA,Qatar,1.0,25.3336984,51.2295295,2832067
PT,Portugal,1.0,43.9740957,10.868708114044026,10269417
RS,Serbia,1.0,-29.8425284,-53.7680577,6944975
IS,Iceland,1.0,41.64950915,14.208061831039291,361313
UA,Ukraine,1.0,-8.8613303,121.2037997,44385155
MM,Myanmar,1.0,14.5736108,121.0329706,54045420
TR,Turkey,1.0,42.6539486,12.439652829139407,83429615
ZW,Zimbabwe,1.0,-18.4554963,29.7468414,14645468
PR,Puerto Rico,1.0,50.0874654,14.4212535,3193694
KW,Kuwait,1.0,-23.9028101,24.9214122,4207083
BN,Brunei Darussalam,1.0,4.4137155,114.5653908,433285
AE,United Arab Emirates,1.0,39.7837304,-100.445882,9770529
