Country Code,Country Name,Connections,Latitude,Longitude,Population
US,United States,2638.0,39.7837304,-100.445882,328239523
GB,United Kingdom,387.0,54.7023545,-3.2765753,66834405
CA,Canada,107.0,61.0666922,-107.991707,37589262
IN,India,116.0,22.3511148,78.6677428,1366417754
JP,Japan,5.0,36.5748441,139.2394179,126264931
AU,Australia,52.0,-24.7761086,134.755,25364307
FI,Finland,6.0,63.2467777,25.9209164,5520314
NZ,New Zealand,3.0,-41.5000831,172.8344077,4917000
FR,France,11.0,46.603354,1.8883335,67059887
DE,Germany,9.0,51.1638175,10.4478313,83132799
NL,Netherlands,3.0,52.24764975,5.541246849406163,17332850
PL,Poland,6.0,52.215933,19.134422,37970874
IL,Israel,2.0,40.0796606,-89.4337288,9053300
ZA,South Africa,143.0,-28.8166236,24.991639,58558270
CO,Colombia,1.0,4.099917,-72.9088133,50339443
NP,Nepal,1.0,28.1083929,84.0917139,28608710
CZ,Czechia,1.0,49.7439047,15.3381061,10669709
GR,Greece,2.0,38.9953683,21.9877132,10716322
HK,Hong Kong,4.0,22.350627,114.1849161,7507400
MX,Mexico,3.0,23.6585116,-102.0077097,127575529
IE,Ireland,2.0,52.865196,-7.9794599,4941444
ES,Spain,1.0,39.3260685,-4.8379791,47076781
SD,Sudan,1.0,14.5844444,29.4917691,42813238
KE,Kenya,15.0,1.4419683,38.4313975,52573973
ID,Indonesia,1.0,-2.4833826,117.8902853,270625568
PH,Philippines,6.0,12.7503486,122.7312101,108116615
NG,Nigeria,25.0,9.6000359,7.9999721,200963599
CH,Switzerland,1.0,46.7985624,8.2319736,8574832
EG,Egypt,1.0,26.2540493,29.2675469,100388073
VN,Viet Nam,1.0,15.9266657,107.9650855,96462106
PA,Panama,1.0,8.559559,-81.1308434,4246439
PF,French Polynesia,3.0,52.84141645,26.0967247878145,279287
SE,Sweden,4.0,59.6749712,14.5208584,10285453
RO,Romania,1.0,45.9852129,24.6859225,19356544
PK,Pakistan,1.0,30.3308401,71.247499,216565318
ER,Eritrea,1.0,52.865196,-7.9794599,3497117
MY,Malaysia,2.0,39.7837304,-100.445882,31949777
RU,Russian Federation,1.0,54.7023545,-3.2765753,144373535
IT,Italy,2.0,42.6384261,12.674297,60297396
BR,Brazil,1.0,-10.3333333,-53.2,211049527
CN,China,2.0,35.000074,104.999927,1397715000
NO,Norway,2.0,61.1529386,8.7876653,5347896
IQ,Iraq,1.0,33.0955793,44.1749775,39309783
HR,Croatia,1.0,45.3658443,15.6575209,4067500
QA,Qatar,1.0,25.3336984,51.2295295,2832067
PT,Portugal,1.0,39.6621648,-8.1353519,10269417
RS,Serbia,1.0,44.1534121,20.55144,6944975
IS,Iceland,1.0,64.9841821,-18.1059013,361313
UA,Ukraine,1.0,49.4871968,31.2718321,44385155
MM,Myanmar,1.0,17.1750495,95.9999652,54045420
TR,Turkey,1.0,38.9597594,34.9249653,83429615
ZW,Zimbabwe,1.0,-18.4554963,29.7468414,14645468
SI,Slovenia,1.0,46.1199444,14.8153333,2087946
PR,Puerto Rico,1.0,50.0874654,14.4212535,3193694
KW,Kuwait,1.0,29.2733964,47.4979476,4207083
AE,United Arab Emirates,1.0,24.0002488,53.9994829,9770529
