Country Code,Country Name,Connections,Latitude,Longitude,Population
US,United States,2107.0,50.5663266,13.820670539566608,328239523
HK,Hong Kong,2.0,22.350627,114.1849161,7507400
AU,Australia,44.0,47.7563917,7.0194428,25364307
GB,United Kingdom,106.0,54.7023545,-3.2765753,66834405
CA,Canada,55.0,61.0666922,-107.991707,37589262
DE,Germany,5.0,38.6920451,-75.4013315,83132799
KE,Kenya,5.0,1.4419683,38.4313975,52573973
GL,Greenland,1.0,46.9796562,9.108812,56225
ZA,South Africa,8.0,14.9661596,-89.5180314,58558270
NP,Nepal,1.0,9.6600005,-0.3943799,28608710
IT,Italy,1.0,42.6384261,12.674297,60297396
TR,Turkey,1.0,42.6539486,12.439652829139407,83429615
PL,Poland,1.0,52.215933,19.134422,37970874
AT,Austria,1.0,44.826012649999996,8.202686328987273,8877067
NZ,New Zealand,5.0,55.7385724,37.5457233,4917000
JP,Japan,1.0,26.9207888,75.7866539,126264931
IN,India,8.0,40.3270127,-86.1746933,1366417754
RU,Russian Federation,1.0,54.7023545,-3.2765753,144373535
IL,Israel,2.0,40.0796606,-89.4337288,9053300
AE,United Arab Emirates,1.0,39.7837304,-100.445882,9770529
NL,Netherlands,2.0,53.8217327,-61.2295532,17332850
KH,Cambodia,1.0,31.5563051,49.0058885,16486542
MY,Malaysia,2.0,39.7837304,-100.445882,31949777
BE,Belgium,2.0,52.5170365,13.3888599,11484055
FI,Finland,1.0,38.0452481,-100.8199963,5520314
IE,Ireland,3.0,52.865196,-7.9794599,4941444
SE,Sweden,1.0,-10.6743911,-37.3773519,10285453
PR,Puerto Rico,1.0,50.0874654,14.4212535,3193694
CN,China,1.0,44.45807035,7.558136691151624,1397715000
PH,Philippines,1.0,12.7503486,122.7312101,108116615
CH,Switzerland,1.0,42.10269285,14.41590530501923,8574832
DK,Denmark,2.0,38.8790615,-97.1893341,5818553
NG,Nigeria,2.0,8.16698,48.9978971,200963599
ES,Spain,1.0,39.3260685,-4.8379791,47076781
KR,"Korea, Republic of",1.0,50.40939265,15.68500539430977,51709098
MX,Mexico,1.0,23.6585116,-102.0077097,127575529
PE,Peru,1.0,-6.8699697,-75.0458515,32510453
ZW,Zimbabwe,1.0,-18.4554963,29.7468414,14645468
