i,j,count
'CA','CA',25
'US','RU',8
'US','US',91613
'GB','MY',3668
'IN','IN',921323
'KR','US',11128
i,j,count
'CA','CA',25
'US','RU',8
'US','US',91613
'GB','MY',3668
'IN','IN',921323
'KR','US',11128
