i,j,count
'US','US',60197.0
'MY','MY',46513.0
'US','JP',1085.0
'GB','IT',87.0
'US','US',112267.0
'US','US',18317.0
'US','US',1880.0
'US','US',105033.0
'US','US',188.0
'NL','US',6.0
'US','GB',197.0
'IN','IN',444.0
'NZ','GB',115.0
'GB','IN',20959.0
'US','US',649.0
'US','US',1268.0
'MX','MX',12344.0
'US','US',9416.0
'US','US',15768.0
'EG','IT',7.0
'US','US',71.0
'US','US',83.0
'US','US',626.0
'ZA','ZA',5122.0
'US','US',95163.0
'DE','DE',24339.0
'US','US',4403.0
'US','US',10202.0
'US','US',32746.0
'SE','US',5.0
'US','US',40.0
'US','GB',371.0
'IQ','IQ',9115.0
'US','DE',175.0
'US','US',24.0
'CA','CA',2506.0
'US','IN',75592.0
'US','US',2933.0
'US','US',90.0
'HK','US',8058.0
'US','US',572854.0
'US','US',620.0
'CA','CA',4485.0
'IN','IN',112461.0
'US','US',927.0
'US','SA',101.0
'US','US',11318.0
'US','US',27.0
'US','US',8.0
'US','US',3.0
'US','ZA',3234.0
'US','US',4.0
'US','US',27824.0
'US','US',342.0
'US','US',3658.0
'SE','SE',1536.0
'GB','US',11073.0
'ES','ES',3197.0
'ZA','ZA',5090.0
'AU','US',12.0
'US','US',470.0
'US','US',31270.0
'US','US',45710.0
'US','US',757.0
'US','JP',989.0
'US','US',840.0
'US','US',4573.0
'IN','PK',1414.0
'US','US',5672.0
'JP','US',633.0
'IN','IN',8358.0
'US','US',1511.0
'GB','US',569.0
'US','US',442.0
'CO','ES',85.0
'US','US',94.0
'US','US',56.0
'VE','VE',7624.0
'US','US',738.0
'US','US',123.0
'US','US',5.0
'AU','AU',3457.0
'US','US',10696.0
'US','US',2672.0
'HK','HK',249610.0
'US','US',8511.0
'GB','JP',1764.0
'US','US',1326.0
'US','US',20.0
'DE','DE',1688.0
'US','US',1187.0
'US','US',40.0
'US','US',44.0
'US','CM',328.0
'CA','CA',273.0
'US','US',1.0
'CL','CL',1011.0
'US','GB',37.0
'US','US',13.0
'US','US',4159.0
'US','US',474.0
'US','US',62.0
'GB','US',2881.0
'US','US',25770.0
'US','US',11.0
'AU','FR',1.0
'US','US',5.0
'GB','GB',99.0
'AR','AR',8727.0
'US','CA',6.0
'US','US',217.0
'US','SG',837.0
'US','US',
'US','CA',471.0
'US','US',9062.0
'US','US',7915.0
'US','MY',253.0
'CA','CA',5.0
'US','US',17685.0
'CA','CA',25302.0
'US','US',11.0
'US','JP',4.0
'US','ZW',2404.0
'GB','GB',258.0
'US','US',108.0
'CO','US',2430.0
'DE','US',8.0
'US','US',645.0
'GB','US',153.0
'ID','ID',1288.0
'US','US',57338.0
'US','US',24.0
'US','US',20039.0
'US','US',1629.0
'IN','IN',1209.0
'US','US',45.0
'US','US',2655.0
'DE','DE',4327.0
'US','US',5.0
'US','US',2303.0
'US','US',938.0
'CA','CA',426.0
