NUM,TEXT
674785.0," ,rt @jeffreestar: i’m gonna give away $5,000 to 3 random people who retweets this and follows me! ❤️ quarantine is lasting way longer than e…
"
349511.0," ,rt @realdonaldtrump: tonight, @flotus and i tested positive for covid-19. we will begin our quarantine and recovery process immediately. we…
"
333221.0," ,rt @moreki_mo: i swear we are fighting two pandemics  covid 19 and stupidity
"
318827.0," ,rt @elonmusk: the coronavirus panic is dumb
"
